Compound,sample,isotope,treatment,tank,tube,enrichment
Pantothenate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.0011015193262326442
Pantothenate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.0017823284331685832
Pantothenate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,5.323713568645711e-4
Pantothenate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.0036454715244097777
Pantothenate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.002807815481001029
Pantothenate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.0023349458547586846
Pantothenate,13C_High-H1_I21,13C,High,H1,I21,0.004919905412153636
Pantothenate,13C_High-H2_I22,13C,High,H2,I22,0.0034091283548817225
Pantothenate,13C_High-H3_I23,13C,High,H3,I23,0.003533280061814137
Pantothenate,13C_High-H4_I24,13C,High,H4,I24,0.007818507802062637
Pantothenate,13C_High-H5_I25,13C,High,H5,I25,0.0037484663608552187
Pantothenate,13C_High-H6_I26,13C,High,H6,I26,0.0014298335759469702
Phenylalanine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.0032175085186947174
Phenylalanine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.0033567732555091078
Phenylalanine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.002148847321959951
Phenylalanine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.00417734197391481
Phenylalanine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.0030624597402057027
Phenylalanine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.0027218270142802493
Phenylalanine,13C_High-H1_I21,13C,High,H1,I21,0.0015039232222424212
Phenylalanine,13C_High-H2_I22,13C,High,H2,I22,0.0016319626167631456
Phenylalanine,13C_High-H3_I23,13C,High,H3,I23,0.0017856076049540875
Phenylalanine,13C_High-H4_I24,13C,High,H4,I24,0.0012641754995254334
Phenylalanine,13C_High-H5_I25,13C,High,H5,I25,0.0021464069922877845
Phenylalanine,13C_High-H6_I26,13C,High,H6,I26,0.002150461756433053
Proline,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.04632849734648363
Proline,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.05181250465534951
Proline,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.05245950595545754
Proline,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.06059105235722585
Proline,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.05057734535378884
Proline,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.05426943464763576
Proline,13C_High-H1_I21,13C,High,H1,I21,0.07302201587918522
Proline,13C_High-H2_I22,13C,High,H2,I22,0.08770054116123759
Proline,13C_High-H3_I23,13C,High,H3,I23,0.04900323232837975
Proline,13C_High-H4_I24,13C,High,H4,I24,0.07902595330104147
Proline,13C_High-H5_I25,13C,High,H5,I25,0.07111063745665691
Proline,13C_High-H6_I26,13C,High,H6,I26,0.066337050406618
Pyruvate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.19319270443651024
Pyruvate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.22265767253036337
Pyruvate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.19007400171855662
Pyruvate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.2070218529119278
Pyruvate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.18216397071404097
Pyruvate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.1804307922349632
Pyruvate,13C_High-H1_I21,13C,High,H1,I21,0.1619069973330374
Pyruvate,13C_High-H2_I22,13C,High,H2,I22,0.18706979010081182
Pyruvate,13C_High-H3_I23,13C,High,H3,I23,0.1770019047570898
Pyruvate,13C_High-H4_I24,13C,High,H4,I24,0.1464141127895641
Pyruvate,13C_High-H5_I25,13C,High,H5,I25,0.16345115732574875
Pyruvate,13C_High-H6_I26,13C,High,H6,I26,0.19131592905607633
Sorbitol,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.04906246132248617
Sorbitol,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.052033564873697785
Sorbitol,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.044680586744060925
Sorbitol,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.05612472746365174
Sorbitol,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.03844774922911522
Sorbitol,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.051534051981140645
Sorbitol,13C_High-H1_I21,13C,High,H1,I21,0.03485715401924257
Sorbitol,13C_High-H2_I22,13C,High,H2,I22,0.03321516806523286
Sorbitol,13C_High-H3_I23,13C,High,H3,I23,0.047672556049822616
Sorbitol,13C_High-H4_I24,13C,High,H4,I24,0.0340905749717789
Sorbitol,13C_High-H5_I25,13C,High,H5,I25,0.03920322991562865
Sorbitol,13C_High-H6_I26,13C,High,H6,I26,0.034318196534562494
Taurine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.014993764230471635
Taurine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.011986076245279184
Taurine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.013746072777170501
Taurine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.015312873534706952
Taurine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.012306167886246576
Taurine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.011818018763596193
Taurine,13C_High-H1_I21,13C,High,H1,I21,0.017721995263672498
Taurine,13C_High-H2_I22,13C,High,H2,I22,0.014460264158176294
Taurine,13C_High-H3_I23,13C,High,H3,I23,0.020097889075967292
Taurine,13C_High-H4_I24,13C,High,H4,I24,0.02166542335584567
Taurine,13C_High-H5_I25,13C,High,H5,I25,0.021368330655610276
Taurine,13C_High-H6_I26,13C,High,H6,I26,0.01970645895147336
Thymidine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,7.994710582097941e-4
Thymidine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0
Thymidine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0
Thymidine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0
Thymidine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0
Thymidine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,7.697928932258629e-4
Thymidine,13C_High-H1_I21,13C,High,H1,I21,0
Thymidine,13C_High-H2_I22,13C,High,H2,I22,0
Thymidine,13C_High-H3_I23,13C,High,H3,I23,0
Thymidine,13C_High-H4_I24,13C,High,H4,I24,0
Thymidine,13C_High-H5_I25,13C,High,H5,I25,0
Thymidine,13C_High-H6_I26,13C,High,H6,I26,0
Tryptophan,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.025729414875243797
Tryptophan,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.027466157739999355
Tryptophan,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.016758266379100897
Tryptophan,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.02981166541049972
Tryptophan,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.03600400346583946
Tryptophan,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.022098375588276115
Tryptophan,13C_High-H1_I21,13C,High,H1,I21,0.008933743822766859
Tryptophan,13C_High-H2_I22,13C,High,H2,I22,0.01292205595600383
Tryptophan,13C_High-H3_I23,13C,High,H3,I23,0.007450753745311739
Tryptophan,13C_High-H4_I24,13C,High,H4,I24,0.013359886938741832
Tryptophan,13C_High-H5_I25,13C,High,H5,I25,0.007335698761958784
Tryptophan,13C_High-H6_I26,13C,High,H6,I26,0.008673814574379358
Tyrosine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.004656194089304953
Tyrosine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.0042367012286956725
Tyrosine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.008887955422365512
Tyrosine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.007118413472193608
Tyrosine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.007392503082421935
Tyrosine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.004333196775174721
Tyrosine,13C_High-H1_I21,13C,High,H1,I21,0.004423851697900098
Tyrosine,13C_High-H2_I22,13C,High,H2,I22,0.007361326442357152
Tyrosine,13C_High-H3_I23,13C,High,H3,I23,0.0023403504726041474
Tyrosine,13C_High-H4_I24,13C,High,H4,I24,0.0055683469740797475
Tyrosine,13C_High-H5_I25,13C,High,H5,I25,0.0032636414230447462
Tyrosine,13C_High-H6_I26,13C,High,H6,I26,0.0016494540984823083
Valine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.010015839257929168
Valine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.008097921864745812
Valine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.007528579514872931
Valine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.008296416629376854
Valine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.009195096589628735
Valine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.007262160669769209
Valine,13C_High-H1_I21,13C,High,H1,I21,0.015102105680398808
Valine,13C_High-H2_I22,13C,High,H2,I22,0.00523756284464201
Valine,13C_High-H3_I23,13C,High,H3,I23,0.025751265146937395
Valine,13C_High-H4_I24,13C,High,H4,I24,0.015246838736100716
Valine,13C_High-H5_I25,13C,High,H5,I25,0.013043832925328753
Valine,13C_High-H6_I26,13C,High,H6,I26,0.023119355766659768
