Compound,sample,isotope,treatment,tank,tube,enrichment
Arginine-Glutamine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.06117617141612625
Arginine-Glutamine,13C_High-H1_I21,13C,High,H1,I21,0.10733052637571365
Arginine-Glutamine,13C_High-H2_I22,13C,High,H2,I22,0.06043236770615232
Arginine-Glutamine,13C_High-H3_I23,13C,High,H3,I23,0.13575883578603948
Arginine-Glutamine,13C_High-H4_I24,13C,High,H4,I24,0.06755231132973458
Arginine-Glutamine,13C_High-H5_I25,13C,High,H5,I25,0.11253243215050673
Arginine-Glutamine,13C_High-H6_I26,13C,High,H6,I26,0.11775952979355399
Asparagine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.04154044556211137
Asparagine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.05852626395295714
Asparagine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.041935554688284096
Asparagine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.03239429407714361
Asparagine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.03862338118715091
Asparagine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.036983343696825946
Asparagine,13C_High-H1_I21,13C,High,H1,I21,0.07454713140563776
Asparagine,13C_High-H2_I22,13C,High,H2,I22,0.06358665245920882
Asparagine,13C_High-H3_I23,13C,High,H3,I23,0.10242537584457606
Asparagine,13C_High-H4_I24,13C,High,H4,I24,0.024514835721367756
Asparagine,13C_High-H5_I25,13C,High,H5,I25,0.08352750980289289
Asparagine,13C_High-H6_I26,13C,High,H6,I26,0.09269615189194527
Aspartate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.17221903220702162
Aspartate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.18665214269599192
Aspartate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.18767523349709941
Aspartate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.20000649513551208
Aspartate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.18250667781807373
Aspartate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.1738045823970524
Aspartate,13C_High-H1_I21,13C,High,H1,I21,0.19126627515343875
Aspartate,13C_High-H2_I22,13C,High,H2,I22,0.21300053349075493
Aspartate,13C_High-H3_I23,13C,High,H3,I23,0.194231820737185
Aspartate,13C_High-H4_I24,13C,High,H4,I24,0.18747373345775134
Aspartate,13C_High-H5_I25,13C,High,H5,I25,0.19728703307402523
Aspartate,13C_High-H6_I26,13C,High,H6,I26,0.211457348410034
Citrate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.25137286902641826
Citrate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.25120676732723896
Citrate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.308222266896038
Citrate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.25486723002621914
Citrate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.22491243819490606
Citrate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.23379895024632844
Citrate,13C_High-H1_I21,13C,High,H1,I21,0.2079672312524421
Citrate,13C_High-H2_I22,13C,High,H2,I22,0.19774277784694758
Citrate,13C_High-H3_I23,13C,High,H3,I23,0.26019219742263755
Citrate,13C_High-H4_I24,13C,High,H4,I24,0.21780370349483458
Citrate,13C_High-H5_I25,13C,High,H5,I25,0.22581121332780826
Citrate,13C_High-H6_I26,13C,High,H6,I26,0.24909067925433306
Citrulline,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.04693354940263819
Citrulline,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.0469695362095629
Citrulline,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.04505279824570262
Citrulline,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.05630024105822936
Citrulline,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.04666361048216308
Citrulline,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.05537943915841301
Citrulline,13C_High-H1_I21,13C,High,H1,I21,0.05105348129523179
Citrulline,13C_High-H2_I22,13C,High,H2,I22,0.09741593653664836
Citrulline,13C_High-H3_I23,13C,High,H3,I23,0.0548915827047868
Citrulline,13C_High-H4_I24,13C,High,H4,I24,0.08628942307705852
Citrulline,13C_High-H5_I25,13C,High,H5,I25,0.058823320490164165
Citrulline,13C_High-H6_I26,13C,High,H6,I26,0.061657286284071515
Dihydroxyacetone phosphate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.182346944678899
Dihydroxyacetone phosphate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.21421856821848403
Dihydroxyacetone phosphate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.22813435200519608
Dihydroxyacetone phosphate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.22084581084903374
