Compound,Position,sample,isotope,treatment,tank,tube,label
Glucose-6-phosphate,1,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.18074547395870283
Glucose-6-phosphate,1,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.17672957253539495
Glucose-6-phosphate,1,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.1734298536409271
Glucose-6-phosphate,1,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.170892948541819
Glucose-6-phosphate,1,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.17402890994048434
Glucose-6-phosphate,1,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.18314460551356307
Glucose-6-phosphate,1,13C_High-H1_I21,13C,High,H1,I21,0.15331707116581447
Glucose-6-phosphate,1,13C_High-H2_I22,13C,High,H2,I22,0.16073553896997256
Glucose-6-phosphate,1,13C_High-H3_I23,13C,High,H3,I23,0.16373572183911894
Glucose-6-phosphate,1,13C_High-H4_I24,13C,High,H4,I24,0.15982190119308318
Glucose-6-phosphate,1,13C_High-H5_I25,13C,High,H5,I25,0.15483134932701334
Glucose-6-phosphate,1,13C_High-H6_I26,13C,High,H6,I26,0.16297789796417556
Glucose-6-phosphate,2,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.1595158315621125
Glucose-6-phosphate,2,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.17436196911422663
Glucose-6-phosphate,2,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.17623272822526698
Glucose-6-phosphate,2,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.17262737523766722
Glucose-6-phosphate,2,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.15021014513264577
Glucose-6-phosphate,2,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.16916759131881076
Glucose-6-phosphate,2,13C_High-H1_I21,13C,High,H1,I21,0.1298814578696254
Glucose-6-phosphate,2,13C_High-H2_I22,13C,High,H2,I22,0.14322319054723368
Glucose-6-phosphate,2,13C_High-H3_I23,13C,High,H3,I23,0.14196452628398168
Glucose-6-phosphate,2,13C_High-H4_I24,13C,High,H4,I24,0.1293966986929647
Glucose-6-phosphate,2,13C_High-H5_I25,13C,High,H5,I25,0.1306466598570726
