Compound,Position,sample,isotope,treatment,tank,tube,label
Glucose,1,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.0794032901287805
Glucose,1,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.08219157454118037
Glucose,1,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.07876945759568736
Glucose,1,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.07221163176270444
Glucose,1,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.07237763804663219
Glucose,1,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.08448231273144095
Glucose,1,13C_High-H1_I21,13C,High,H1,I21,0.057166294026207584
Glucose,1,13C_High-H2_I22,13C,High,H2,I22,0.05318447599291015
Glucose,1,13C_High-H3_I23,13C,High,H3,I23,0.06705836069804261
Glucose,1,13C_High-H4_I24,13C,High,H4,I24,0.05672298441857077
Glucose,1,13C_High-H5_I25,13C,High,H5,I25,0.06166393639170378
Glucose,1,13C_High-H6_I26,13C,High,H6,I26,0.053952944456066805
Glucose,2,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.09920668278968865
Glucose,2,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.11383078730029317
Glucose,2,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.11140928626866135
Glucose,2,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.11050565514864924
Glucose,2,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.09337168254081052
Glucose,2,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.09899592145390773
Glucose,2,13C_High-H1_I21,13C,High,H1,I21,0.09379036682537865
Glucose,2,13C_High-H2_I22,13C,High,H2,I22,0.07889991466305234
Glucose,2,13C_High-H3_I23,13C,High,H3,I23,0.11260107000981487
Glucose,2,13C_High-H4_I24,13C,High,H4,I24,0.08110447058970546
Glucose,2,13C_High-H5_I25,13C,High,H5,I25,0.08908530738028182
Glucose,2,13C_High-H6_I26,13C,High,H6,I26,0.09143364488039561
Glucose,3,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.10725490413300502
Glucose,3,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.12904588374582474
Glucose,3,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.13636855293565298
Glucose,3,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.11664832405424663
Glucose,3,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.10313990154035639
Glucose,3,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.10161498248613336
Glucose,3,13C_High-H1_I21,13C,High,H1,I21,0.11767525712993626
Glucose,3,13C_High-H2_I22,13C,High,H2,I22,0.1212780164689085
Glucose,3,13C_High-H3_I23,13C,High,H3,I23,0.1365457670168712
Glucose,3,13C_High-H4_I24,13C,High,H4,I24,0.09627324374114432
Glucose,3,13C_High-H5_I25,13C,High,H5,I25,0.11566879391569092
Glucose,3,13C_High-H6_I26,13C,High,H6,I26,0.11450303046777019
Glucose,4,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.0698705188682168
Glucose,4,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.08925165368862836
Glucose,4,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.0946865378053003
Glucose,4,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.08703878090364116
Glucose,4,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.07440439878006277
Glucose,4,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.06318761090045566
Glucose,4,13C_High-H1_I21,13C,High,H1,I21,0.08915878052682849
Glucose,4,13C_High-H2_I22,13C,High,H2,I22,0.09898183453542339
Glucose,4,13C_High-H3_I23,13C,High,H3,I23,0.10745635907342763
Glucose,4,13C_High-H4_I24,13C,High,H4,I24,0.06493421848261202
Glucose,4,13C_High-H5_I25,13C,High,H5,I25,0.09061158997988385
Glucose,4,13C_High-H6_I26,13C,High,H6,I26,0.08344316205424208
Glucose,5,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.029644046612844258
Glucose,5,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.03611280412765216
Glucose,5,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.040025932020019535
Glucose,5,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.03627017629416449
Glucose,5,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.026226359947459494
Glucose,5,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.022274937855406508
Glucose,5,13C_High-H1_I21,13C,High,H1,I21,0.03572575563394565
Glucose,5,13C_High-H2_I22,13C,High,H2,I22,0.04949315255387861
Glucose,5,13C_High-H3_I23,13C,High,H3,I23,0.04274743656441818
Glucose,5,13C_High-H4_I24,13C,High,H4,I24,0.028711353089435107
Glucose,5,13C_High-H5_I25,13C,High,H5,I25,0.036670516013348434
Glucose,5,13C_High-H6_I26,13C,High,H6,I26,0.037870710060274475
Glucose,6,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.0034613277572895086
Glucose,6,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.0052310547777928654
Glucose,6,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.0038187108266180257
Glucose,6,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.006026671589773912
Glucose,6,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.0029790554714781516
Glucose,6,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.0039847357141592306
Glucose,6,13C_High-H1_I21,13C,High,H1,I21,0.005553559966026015
Glucose,6,13C_High-H2_I22,13C,High,H2,I22,0.007148434535995963
Glucose,6,13C_High-H3_I23,13C,High,H3,I23,0.006948386866766254
Glucose,6,13C_High-H4_I24,13C,High,H4,I24,0.002017191251166736
Glucose,6,13C_High-H5_I25,13C,High,H5,I25,0.005040607774018433
Glucose,6,13C_High-H6_I26,13C,High,H6,I26,0.006377756430058237
