Compound,sample,species,isotope,fraction,treatment,tube,enrichment
Glucose-6-phosphate,Mcap_13C_Host_1hr_rep1,Mcap,13C,Host,1hr,rep1,0.09056163076876413
Glucose-6-phosphate,Mcap_13C_Host_1hr_rep2,Mcap,13C,Host,1hr,rep2,0.06810173382726463
Glucose-6-phosphate,Mcap_13C_Host_3hr_rep1,Mcap,13C,Host,3hr,rep1,0.28860817945390876
Glucose-6-phosphate,Mcap_13C_Host_3hr_rep2,Mcap,13C,Host,3hr,rep2,0.21922849690023227
Glucose-6-phosphate,Mcap_13C_Host_6hr_rep1,Mcap,13C,Host,6hr,rep1,0.3331807965700671
Glucose-6-phosphate,Mcap_13C_Host_6hr_rep2,Mcap,13C,Host,6hr,rep2,0.3253883550288494
Glucose-6-phosphate,Mcap_13C_Host_12hr_rep1,Mcap,13C,Host,12hr,rep1,0.30859059192902366
Glucose-6-phosphate,Mcap_13C_Host_12hr_rep2,Mcap,13C,Host,12hr,rep2,0.2960686692063688
Glucose-6-phosphate,Mcap_13C_Host_24hr_rep1,Mcap,13C,Host,24hr,rep1,0.29739638222037323
Glucose-6-phosphate,Mcap_13C_Host_24hr_rep2,Mcap,13C,Host,24hr,rep2,0.2879464278731498
Fructose-6-phosphate,Mcap_13C_Host_1hr_rep1,Mcap,13C,Host,1hr,rep1,0.09426038431357912
Fructose-6-phosphate,Mcap_13C_Host_1hr_rep2,Mcap,13C,Host,1hr,rep2,0.0784367459814489
Fructose-6-phosphate,Mcap_13C_Host_3hr_rep1,Mcap,13C,Host,3hr,rep1,0.3029979257924019
Fructose-6-phosphate,Mcap_13C_Host_3hr_rep2,Mcap,13C,Host,3hr,rep2,0.23888845814486223
Fructose-6-phosphate,Mcap_13C_Host_6hr_rep1,Mcap,13C,Host,6hr,rep1,0.3246123892546857
Fructose-6-phosphate,Mcap_13C_Host_6hr_rep2,Mcap,13C,Host,6hr,rep2,0.32210776939829344
Fructose-6-phosphate,Mcap_13C_Host_12hr_rep1,Mcap,13C,Host,12hr,rep1,0.30381823644515343
Fructose-6-phosphate,Mcap_13C_Host_12hr_rep2,Mcap,13C,Host,12hr,rep2,0.2962405228437014
Fructose-6-phosphate,Mcap_13C_Host_24hr_rep1,Mcap,13C,Host,24hr,rep1,0.2930169649884763
Fructose-6-phosphate,Mcap_13C_Host_24hr_rep2,Mcap,13C,Host,24hr,rep2,0.28040245501961625
Glucose,Mcap_13C_Host_1hr_rep1,Mcap,13C,Host,1hr,rep1,0.36427983325441443
Glucose,Mcap_13C_Host_1hr_rep2,Mcap,13C,Host,1hr,rep2,0.303098836060566
Glucose,Mcap_13C_Host_3hr_rep1,Mcap,13C,Host,3hr,rep1,0.4065321316867312
Glucose,Mcap_13C_Host_3hr_rep2,Mcap,13C,Host,3hr,rep2,0.3458534014887154
Glucose,Mcap_13C_Host_6hr_rep1,Mcap,13C,Host,6hr,rep1,0.43520866868761604
Glucose,Mcap_13C_Host_6hr_rep2,Mcap,13C,Host,6hr,rep2,0.41767769571036495
Glucose,Mcap_13C_Host_12hr_rep1,Mcap,13C,Host,12hr,rep1,0.37493245588437035
Glucose,Mcap_13C_Host_12hr_rep2,Mcap,13C,Host,12hr,rep2,0.3572319241243662
Glucose,Mcap_13C_Host_24hr_rep1,Mcap,13C,Host,24hr,rep1,0.3535420298786354
Glucose,Mcap_13C_Host_24hr_rep2,Mcap,13C,Host,24hr,rep2,0.3242894906920024
Pyruvate,Mcap_13C_Host_1hr_rep1,Mcap,13C,Host,1hr,rep1,0.0777857457186716
Pyruvate,Mcap_13C_Host_1hr_rep2,Mcap,13C,Host,1hr,rep2,0.08040968450518754
Pyruvate,Mcap_13C_Host_3hr_rep1,Mcap,13C,Host,3hr,rep1,0.21024216999291004
Pyruvate,Mcap_13C_Host_3hr_rep2,Mcap,13C,Host,3hr,rep2,0.19610699825545322
Pyruvate,Mcap_13C_Host_6hr_rep1,Mcap,13C,Host,6hr,rep1,0.27421047717226593
Pyruvate,Mcap_13C_Host_6hr_rep2,Mcap,13C,Host,6hr,rep2,0.2505455274980613
Pyruvate,Mcap_13C_Host_12hr_rep1,Mcap,13C,Host,12hr,rep1,0.28183304148695254
Pyruvate,Mcap_13C_Host_12hr_rep2,Mcap,13C,Host,12hr,rep2,0.2583244443119423
Pyruvate,Mcap_13C_Host_24hr_rep1,Mcap,13C,Host,24hr,rep1,0.22018650220627345
Pyruvate,Mcap_13C_Host_24hr_rep2,Mcap,13C,Host,24hr,rep2,0.22726078654528323
