Compound,sample,isotope,treatment,tank,tube,enrichment
Glucose,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.17467527386466641
Glucose,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.21099129407312875
Glucose,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.21874696087016265
Glucose,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.20147232480779556
Glucose,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.1691940725726233
Glucose,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.16255877504357782
Glucose,13C_High-H1_I21,13C,High,H1,I21,0.194393009856662
Glucose,13C_High-H2_I22,13C,High,H2,I22,0.2101836771421338
Glucose,13C_High-H3_I23,13C,High,H3,I23,0.2311917903474475
Glucose,13C_High-H4_I24,13C,High,H4,I24,0.15385807395100645
Glucose,13C_High-H5_I25,13C,High,H5,I25,0.19381391992162136
Glucose,13C_High-H6_I26,13C,High,H6,I26,0.1902870104531431
