Compound,sample,isotope,treatment,tank,tube,log.intensity.norm
Aconitate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,1.0302494156979747
Aconitate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,1.1002913803091063
Aconitate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,1.2412588161664333
Aconitate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.9783767319598714
Aconitate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.9639847225048329
Aconitate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.9468482645950069
Aconitate,13C_High-H1_I21,13C,High,H1,I21,1.0104426564132745
Aconitate,13C_High-H2_I22,13C,High,H2,I22,1.2868850401177017
Aconitate,13C_High-H3_I23,13C,High,H3,I23,1.005394000858092
Aconitate,13C_High-H4_I24,13C,High,H4,I24,1.2027956247296487
Aconitate,13C_High-H5_I25,13C,High,H5,I25,1.188676592933402
Aconitate,13C_High-H6_I26,13C,High,H6,I26,1.388705131529023
Adenosine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,1.6847217365930194
Adenosine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,1.4831545521446339
Adenosine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,1.4314130796065059
Adenosine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,1.5855261094865238
Adenosine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,1.3577217548772895
Adenosine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,1.496495797989819
Adenosine,13C_High-H1_I21,13C,High,H1,I21,1.4060089425535442
Adenosine,13C_High-H2_I22,13C,High,H2,I22,1.9372217452875053
Adenosine,13C_High-H3_I23,13C,High,H3,I23,1.5128310165386114
Adenosine,13C_High-H4_I24,13C,High,H4,I24,2.1685605481470893
Adenosine,13C_High-H5_I25,13C,High,H5,I25,1.9029092131752254
Adenosine,13C_High-H6_I26,13C,High,H6,I26,1.8438669925174294
ADP-D-Glucose,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.03287155341138703
ADP-D-Glucose,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.052585827416287076
ADP-D-Glucose,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.06199514538853229
