Date,Sample.ID,Chamber.ID,Plate,Cross,Temperature,Type,Salinity,Run,Volume,Org.Number,Notes
20210616,1,A1,710,4x210,27,Sample,34,1,0.00008,6,
20210616,7,B1,710,222x4,27,Sample,34,1,0.00008,6,
20210616,13,C1,710,Blank,27,Blank,34,1,0.00008,NA,
20210616,19,D1,710,Blank,27,Blank,34,1,0.00008,NA,
20210616,2,A2,710,222x210,27,Sample,34,1,0.00008,6,
20210616,8,B2,710,210x4,27,Sample,34,1,0.00008,6,
20210616,14,C2,710,222x210,27,Sample,34,1,0.00008,6,
20210616,20,D2,710,Blank,27,Blank,34,1,0.00008,NA,
20210616,3,A3,710,Blank,27,Blank,34,1,0.00008,NA,
20210616,9,B3,710,4x210,27,Sample,34,1,0.00008,6,
20210616,15,C3,710,4x210,27,Sample,34,1,0.00008,6,
20210616,21,D3,710,222x210,27,Sample,34,1,0.00008,6,
20210616,4,A4,710,4x210,27,Sample,34,1,0.00008,6,
20210616,10,B4,710,222x210,27,Sample,34,1,0.00008,6,
20210616,16,C4,710,222x204,27,Sample,34,1,0.00008,6,
20210616,22,D4,710,222x4,27,Sample,34,1,0.00008,6,
20210616,5,A5,710,222x4,27,Sample,34,1,0.00008,6,
20210616,11,B5,710,210x4,27,Sample,34,1,0.00008,6,
20210616,17,C5,710,222x204,27,Sample,34,1,0.00008,6,
20210616,23,D5,710,222x204,27,Sample,34,1,0.00008,6,
20210616,6,A6,710,210x4,27,Sample,34,1,0.00008,6,
20210616,18,C6,710,222x4,27,Sample,34,1,0.00008,6,
20210616,24,D6,710,210x4,27,Sample,34,1,0.00008,6,
20210616,1,A1,641,4x210,30,Sample,34,2,0.00008,6,
20210616,7,B1,641,222x4,30,Sample,34,2,0.00008,6,
20210616,13,C1,641,Blank,30,Blank,34,2,0.00008,NA,
20210616,19,D1,641,Blank,30,Blank,34,2,0.00008,NA,
20210616,2,A2,641,222x210,30,Sample,34,2,0.00008,6,
