Measurement Name :,Plate2_20211207_PR_34C,,Generated On :,"07/12/2021, 10:40:10",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"07/12/2021, 10:00:22",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"07/12/2021, 10:39:38",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,C6,D6,,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
07.12.21 10:00:24,0.03,184.65,175.2,191.92,135.2,160.95,174.19,195.07,183.37,152.63,213.8,172.17,171.41,168.4,162.68,176.47,158.98,173.93,169.65,176.97,174.94,185.43,168.65,178.25,,,34,965,34,32.99,965D6-(E1);
07.12.21 10:00:39,0.28,188.28,207.3,185.17,165.66,145.88,167.15,209.46,183.37,179.01,176.97,205.96,168.9,163.67,180.29,168.15,190.1,196.12,176.72,187.24,164.66,204.35,175.7,202.22,,,34,965,34,33,965D6-(E1);
07.12.21 10:00:54,0.53,208.92,174.94,200.62,152.63,170.66,173.93,224.25,185.69,205.42,247.78,196.91,201.15,170.66,181.31,181.83,184.4,192.19,163.42,206.77,191.4,198.24,183.88,193.5,,,34,965,34,33.05,965D6-(E1);
07.12.21 10:01:09,0.78,170.41,186.72,178.76,165.91,152.87,185.43,169.4,198.5,175.45,175.96,145.4,171.41,171.41,181.06,177.48,140.63,189.58,175.96,215.71,178.76,200.36,172.17,198.24,,,34,965,34,33.08,965D6-(E1);
07.12.21 10:01:24,1.03,195.33,184.91,197.44,139.92,191.92,135.2,200.62,186.2,195.6,197.71,174.94,183.37,187.5,200.09,176.72,185.17,181.83,184.4,207.57,189.84,195.6,191.14,197.71,,,34,965,34,33.1,965D6-(E1);
07.12.21 10:01:39,1.28,201.15,214.07,207.04,165.91,174.69,205.69,204.09,188.8,203.28,190.1,176.47,192.97,191.66,171.41,195.86,192.19,214.07,186.72,217.62,176.97,230.95,200.36,212.17,,,34,965,34,33.13,965D6-(E1);
07.12.21 10:01:54,1.53,207.57,207.57,189.58,143.73,201.69,164.66,223.97,188.54,192.19,216.8,191.92,165.16,174.44,192.45,192.19,200.09,173.43,174.19,195.07,183.62,223.97,176.97,201.69,,,34,965,34,33.16,965D6-(E1);
07.12.21 10:02:09,1.78,211.08,204.89,199.82,183.37,200.09,196.91,217.35,201.69,185.95,206.23,209.19,167.9,189.06,184.14,194.81,191.14,177.23,188.8,229.82,205.69,207.04,210,205.96,,,34,965,34,33.17,965D6-(E1);
