Measurement Name :,Plate3_20211206_27C_PR,,Generated On :,"06/12/2021, 12:25:53",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"06/12/2021, 11:47:44",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"06/12/2021, 12:25:42",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,C6,D6,,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
06.12.21 11:47:46,0.03,139.18,157,188.42,191.43,180.65,191.73,144.5,170.91,192.04,145.35,167.7,127.01,153.57,150.15,187.82,163.92,171.79,166.53,176.5,212.61,186.02,176.5,151.86,,,27,965,34,27.57,
06.12.21 11:48:01,0.28,145.06,176.5,192.64,208.88,193.85,211.67,139.46,190.22,199.33,159.59,178.27,121.82,168.28,172.08,212.61,170.32,164.79,179.75,179.75,222.97,205.47,202.09,166.24,,,27,965,34,27.46,965D6-(E1);
06.12.21 11:48:16,0.53,145.35,159.3,184.52,187.52,181.84,206.09,135,188.12,183.03,190.22,161.03,126.19,176.5,172.96,212.92,171.2,167.7,161.31,184.52,208.26,196.28,208.88,164.5,,,27,965,34,27.39,
06.12.21 11:48:32,0.8,159.01,152.14,185.42,203.93,194.76,199.94,135.28,197.5,188.12,161.89,145.63,121.28,177.98,174.73,207.02,171.5,170.91,180.94,188.12,201.17,190.22,190.22,163.92,,,27,965,34,27.36,
06.12.21 11:48:47,1.05,155.28,163.05,209.81,226.15,200.25,216.36,143.1,185.42,183.62,168.57,160.45,134.45,179.75,182.73,207.33,167.99,188.12,177.98,208.26,211.98,193.25,204.24,163.92,,,27,965,34,27.35,
06.12.21 11:49:02,1.3,148.45,159.87,195.67,208.26,203.63,205.78,139.73,179.75,204.55,140.01,157.86,139.18,167.4,169.15,218.24,158.72,176.79,170.62,186.92,206.09,191.73,191.43,151,,,27,965,34,27.36,
06.12.21 11:49:17,1.55,171.2,147.04,194.76,195.37,195.98,202.7,143.94,199.03,190.53,170.03,154.71,143.38,164.21,165.08,200.86,172.08,165.37,174.43,187.52,216.04,192.34,187.22,165.95,,,27,965,34,27.36,
06.12.21 11:49:32,1.8,159.59,171.2,197.5,197.5,203.63,211.67,144.5,199.33,203.01,173.55,153,135.56,182.13,179.46,203.63,164.5,196.59,186.62,205.47,222.03,190.53,204.55,161.31,,,27,965,34,27.38,
06.12.21 11:49:47,2.05,178.57,200.86,222.66,238.35,204.55,229.02,172.38,202.09,223.93,175.32,197.5,130.3,183.62,192.34,240.62,186.32,195.07,194.46,202.09,235.44,202.7,206.09,175.91,,,27,965,34,27.4,
06.12.21 11:50:02,2.3,161.89,157.86,200.86,209.5,198.72,220.13,145.35,197.5,201.78,170.91,160.16,121.55,174.43,181.54,208.57,172.96,173.84,191.13,186.32,229.98,205.47,204.55,163.92,,,27,965,34,27.4,
