Measurement Name :,Plate2_20211206_31C_PR,,Generated On :,"06/12/2021, 10:26:08",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
06.12.21 09:51:13,2.85,143.24,200.79,109.42,178.34,165.96,111.35,161.71,155.4,179.7,151.23,193.77,144.52,139.66,133.84,115.73,163.57,155.66,196.85,133.33,135.86,161.18,178.61,160.13,,,31,965,34,29.81,
06.12.21 09:51:28,3.1,147.87,190.43,103.65,187.66,132.58,119.65,174,149.93,174.27,151.49,179.7,141.45,151.49,120.39,120.14,159.34,141.45,176.17,133.59,120.88,132.83,156.97,173.19,,,31,965,34,29.85,
06.12.21 09:51:43,3.35,145.29,168.89,104.13,187.11,163.3,116.95,153.57,153.83,173.19,149.68,199.95,154.36,178.34,127.32,125.58,181.07,148.12,180.25,146.06,113.54,145.55,146.58,173.19,,,31,965,34,29.88,965B6-(E1);
06.12.21 09:51:58,3.6,158.55,178.34,108.21,193.49,154.62,153.05,164.1,157.5,180.52,182.43,185.73,159.6,156.71,142.73,142.21,191.82,152.79,189.6,166.76,116.46,152.79,167.56,197.69,,,31,965,34,29.92,
06.12.21 09:52:13,3.85,154.62,167.29,110.62,211.34,154.88,133.08,158.02,156.71,192.1,163.57,179.97,151.75,133.84,147.61,142.73,151.49,132.33,184.08,144.78,126.33,130.82,156.45,166.49,,,31,965,34,29.96,
06.12.21 09:52:28,4.1,145.55,174.81,124.59,203.63,153.83,136.62,146.58,143.24,172.65,151.23,200.79,146.32,151.75,164.1,128.82,159.6,154.09,196.57,149.42,122.86,152.79,165.16,148.38,,,31,965,34,29.99,
06.12.21 09:52:43,4.35,149.16,162.77,100.55,199.95,142.21,125.33,153.83,146.06,183.53,171.31,149.68,142.73,196.01,130.07,135.35,169.43,154.09,188.49,165.16,115.24,131.07,156.45,153.83,,,31,965,34,30.05,
06.12.21 09:52:58,4.6,156.97,197.98,131.57,187.11,166.76,134.85,158.29,167.83,171.58,152.79,192.94,162.51,142.47,143.49,131.32,154.88,159.07,175.62,123.1,119.9,134.09,168.09,160.92,,,31,965,34,30.06,
06.12.21 09:53:13,4.85,165.69,173.46,124.84,222.08,184.63,155.66,186.28,166.49,202.49,178.88,205.05,146.32,171.04,138.65,140.68,155.14,171.04,202.78,138.65,134.09,141.96,161.18,145.03,,,31,965,34,30.1,
06.12.21 09:53:28,5.1,161.45,172.92,131.07,210.19,152.53,130.32,154.88,167.29,197.41,179.16,207.04,154.62,179.16,158.55,123.84,169.97,149.68,206.19,131.07,163.04,159.34,174.54,150.71,,,31,965,34,30.14,
06.12.21 09:53:43,5.35,155.4,176.44,143.24,206.76,141.96,162.77,165.16,163.57,159.34,188.21,182.98,150.45,144.78,146.83,138.39,160.66,154.62,196.57,146.32,133.59,168.89,156.19,169.7,,,31,965,34,30.17,
06.12.21 09:53:58,5.6,163.83,174.27,116.71,213.94,161.98,163.04,168.63,183.8,155.92,169.43,191.54,161.71,186,136.87,150.19,151.49,180.25,181.61,172.92,134.09,149.93,189.6,179.97,,,31,965,34,30.21,
06.12.21 09:54:13,5.85,144.26,186.56,117.2,205.62,163.3,132.33,174.81,154.36,155.4,184.08,163.83,149.16,142.21,140.43,114.75,159.6,139.92,169.16,147.09,117.2,134.09,160.39,145.8,,,31,965,34,30.25,
06.12.21 09:54:29,6.12,148.64,172.65,128.07,209.05,175.62,149.93,179.7,170.5,206.47,152.79,195.73,162.24,187.66,131.07,156.97,161.98,149.16,170.5,156.71,134.09,146.83,186,146.83,,,31,965,34,30.31,
06.12.21 09:54:44,6.37,182.71,184.9,135.1,186,168.89,146.06,172.65,172.65,196.85,164.36,171.85,153.05,144.78,139.92,154.88,146.58,158.55,193.21,152.27,125.83,152.27,174,199.95,,,31,965,34,30.35,
06.12.21 09:54:59,6.62,167.56,192.38,139.66,207.62,172.12,155.14,174,172.65,170.77,187.38,160.66,158.29,152.79,154.09,142.73,182.43,164.36,206.47,150.45,134.34,167.02,178.34,166.22,,,31,965,34,30.39,
06.12.21 09:55:14,6.87,150.71,194.89,130.82,204.2,159.86,158.55,167.29,180.79,185.73,205.9,185.18,154.36,184.08,163.57,169.16,152.01,154.62,203.34,133.59,145.03,147.87,165.16,182.98,,,31,965,34,30.42,
06.12.21 09:55:29,7.12,159.86,170.77,147.09,187.38,175.08,167.02,175.35,178.34,164.89,154.09,197.69,159.6,172.92,167.02,142.73,160.92,168.09,184.35,148.9,132.83,160.13,171.58,158.81,,,31,965,34,30.45,
06.12.21 09:55:44,7.37,148.9,193.21,133.59,205.62,194.05,149.93,161.71,154.62,190.15,163.83,165.43,144.01,156.71,137.63,132.33,143.49,142.47,190.71,159.6,117.69,157.23,178.34,171.31,,,31,965,34,30.46,
06.12.21 09:55:59,7.62,161.45,176.98,139.66,215.38,189.6,162.24,196.57,188.77,183.26,199.38,195.73,156.45,157.5,160.92,150.71,187.38,170.77,211.34,159.6,153.83,161.45,192.38,156.97,,,31,965,34,30.48,
06.12.21 09:56:14,7.87,171.58,209.05,140.17,232.42,194.89,178.07,166.22,191.82,197.69,193.77,201.93,169.43,182.71,156.19,149.93,180.79,175.08,227.67,199.67,135.35,205.05,184.08,177.52,,,31,965,34,30.49,
06.12.21 09:56:29,8.12,151.23,205.05,153.57,231.83,189.6,166.76,163.04,192.1,209.91,169.97,174.27,154.62,167.56,154.36,138.9,163.04,150.97,188.77,148.64,137.38,176.17,194.05,177.79,,,31,965,34,30.53,
06.12.21 09:56:44,8.37,151.49,203.63,137.63,226.79,215.09,169.97,177.25,195.73,181.07,192.38,172.92,174.54,176.98,147.09,184.08,154.62,185.73,199.1,147.61,142.47,192.1,176.98,166.76,,,31,965,34,30.56,
06.12.21 09:56:59,8.62,159.34,206.76,141.7,213.36,183.26,159.6,160.13,187.38,188.21,195.45,186.83,158.02,148.64,162.51,149.42,172.38,168.09,179.97,158.29,153.57,164.1,168.89,144.52,,,31,965,34,30.56,
06.12.21 09:57:14,8.87,156.19,184.08,121.62,235.71,163.57,147.35,151.49,201.36,181.07,189.04,174.81,169.7,181.61,149.93,148.38,143.24,173.19,196.57,142.98,130.82,174.81,152.79,153.31,,,31,965,34,30.6,
06.12.21 09:57:29,9.12,158.81,175.08,144.52,219.16,166.49,167.83,169.7,181.07,170.77,149.16,179.43,179.7,169.97,173.73,169.16,143.49,181.34,182.71,173.73,150.71,184.63,190.99,200.23,,,31,965,34,30.61,
06.12.21 09:57:45,9.38,146.06,203.91,152.01,227.97,175.35,165.69,167.02,198.54,172.65,181.07,169.7,167.56,178.07,176.17,165.43,176.44,161.18,200.23,181.34,156.71,183.26,197.41,196.01,,,31,965,34,30.63,
06.12.21 09:58:00,9.63,159.34,230.04,129.57,236.91,177.52,175.08,178.61,203.91,186,168.89,190.99,174.27,186.56,143.75,176.44,177.52,168.36,204.2,173.46,154.88,205.33,187.38,173.73,,,31,965,34,30.66,
06.12.21 09:58:15,9.88,144.78,222.08,126.33,194.61,198.54,162.77,170.23,191.54,172.92,195.17,193.21,153.57,165.96,139.15,138.65,160.13,165.69,192.38,153.57,129.57,171.31,182.98,192.1,,,31,965,34,30.67,
06.12.21 09:58:30,10.13,154.88,193.49,139.92,220.62,178.07,159.07,213.07,204.2,215.67,186.83,187.38,179.16,197.41,146.83,147.35,166.22,193.49,198.54,144.01,132.08,196.57,181.89,155.92,,,31,965,34,30.71,
06.12.21 09:58:45,10.38,155.92,187.11,140.94,223.26,182.43,174.27,188.49,212.21,186.56,196.01,213.94,175.9,168.36,149.68,166.49,186.56,163.3,199.1,163.57,144.26,184.63,194.05,172.12,,,31,965,34,30.73,
06.12.21 09:59:00,10.63,160.66,174,133.33,221.79,170.5,159.07,192.38,220.62,199.38,180.25,186.28,187.66,173.73,148.64,149.42,190.71,173.19,173.19,165.96,141.19,203.06,156.71,181.89,,,31,965,34,30.75,
06.12.21 09:59:15,10.88,145.03,189.04,129.32,229.15,185.73,169.7,170.77,212.5,174.54,154.36,180.79,187.11,182.71,149.68,157.23,184.63,208.19,195.45,158.55,139.92,189.88,181.89,164.1,,,31,965,34,30.75,
06.12.21 09:59:30,11.13,146.06,188.77,115.97,229.45,191.82,172.38,169.97,205.9,175.08,189.88,185.18,170.23,172.38,152.01,164.1,154.09,187.66,194.61,175.08,145.55,213.07,173.73,175.62,,,31,965,34,30.78,
06.12.21 09:59:45,11.38,159.07,194.89,135.35,233.91,210.77,191.26,208.19,207.62,201.93,203.63,209.33,183.26,210.19,144.01,165.16,192.1,191.26,203.06,173.73,155.66,163.57,172.65,178.61,,,31,965,34,30.8,
06.12.21 10:00:00,11.63,153.57,195.73,142.47,225.61,213.65,155.4,193.49,210.77,183.8,219.45,180.25,154.88,189.88,144.78,200.51,170.77,141.45,195.45,181.61,156.71,185.73,190.71,158.02,,,31,965,34,30.83,
06.12.21 10:00:15,11.88,169.16,179.16,135.1,226.49,193.21,172.65,182.43,199.95,177.79,173.73,191.26,179.97,178.61,139.15,155.66,182.98,172.92,206.76,167.29,168.63,178.07,204.48,171.31,,,31,965,34,30.85,
06.12.21 10:00:30,12.13,156.97,198.26,150.45,230.34,196.29,181.34,192.1,217.71,174.81,199.38,176.17,183.53,186,161.71,178.07,176.44,171.85,192.66,183.26,176.71,208.47,211.34,171.58,,,31,965,34,30.86,
06.12.21 10:00:45,12.38,135.86,182.43,127.32,234.21,204.48,168.09,175.35,221.5,195.73,205.62,199.38,189.88,193.49,159.86,161.18,169.43,194.61,212.78,186.56,158.02,210.48,194.89,190.43,,,31,965,34,30.89,
06.12.21 10:01:00,12.63,144.26,194.61,136.87,246.59,199.1,153.83,191.26,227.38,172.92,175.35,191.26,179.16,211.06,151.49,154.88,170.5,189.88,203.91,200.79,151.49,210.77,211.92,161.71,,,31,965,34,30.91,
06.12.21 10:01:15,12.88,161.18,195.73,144.26,230.94,220.33,186.83,175.62,216.83,184.08,212.78,188.77,183.26,214.23,152.79,171.85,171.04,195.45,200.79,196.01,146.32,196.57,197.69,184.63,,,31,965,34,30.92,
06.12.21 10:01:30,13.13,151.23,193.49,144.26,220.62,222.38,193.21,199.67,218.58,183.53,211.06,193.21,190.99,218,164.89,205.9,181.89,178.61,223.26,182.98,173.19,205.9,194.05,184.08,,,31,965,34,30.94,
06.12.21 10:01:45,13.38,156.97,183.26,136.87,218.87,220.04,164.36,167.02,207.9,204.76,187.11,182.43,156.71,211.34,168.63,155.66,140.17,175.62,178.61,195.17,156.71,181.34,172.65,173.73,,,31,965,34,30.95,
06.12.21 10:02:00,13.63,134.59,182.43,133.33,213.07,196.57,179.43,167.02,193.77,190.15,180.79,177.25,176.17,202.21,138.65,197.69,162.24,165.96,194.89,157.5,158.81,170.23,173.46,172.38,,,31,965,34,30.98,
06.12.21 10:02:15,13.88,161.18,160.39,135.35,235.11,214.23,174.27,187.11,213.94,186.83,184.9,174.54,194.33,212.78,160.66,184.9,149.93,176.71,182.71,179.7,150.71,209.62,192.1,188.21,,,31,965,34,30.98,
06.12.21 10:02:30,14.13,146.06,177.79,126.58,207.62,203.91,163.83,191.54,212.21,163.83,192.1,187.11,176.98,192.38,163.57,170.5,169.16,184.9,192.66,189.04,163.3,171.31,192.66,175.9,,,31,965,34,30.99,
06.12.21 10:02:45,14.38,156.19,171.85,127.57,221.21,204.76,171.04,196.01,218.29,198.54,179.7,181.89,203.06,187.11,168.63,171.31,156.71,175.62,201.36,207.62,169.16,194.61,188.49,192.1,,,31,965,34,31,
06.12.21 10:03:00,14.63,135.86,182.71,129.07,235.41,221.21,186.28,176.71,213.65,176.17,230.34,180.25,184.63,213.36,150.97,180.52,153.05,209.91,195.17,195.17,179.43,201.64,187.94,177.25,,,31,965,34,31.03,
06.12.21 10:03:15,14.88,158.81,192.66,113.29,240.22,193.49,165.43,205.05,195.73,190.99,203.34,172.92,203.34,179.97,136.11,197.41,162.51,211.63,187.38,195.17,153.57,215.96,197.69,192.1,,,31,965,34,31.02,
06.12.21 10:03:30,15.13,150.97,180.79,131.07,245.38,229.15,178.07,178.34,213.07,193.49,209.33,188.77,199.1,194.05,135.35,195.45,179.16,205.05,207.04,198.82,157.23,190.99,190.99,166.76,,,31,965,34,31.03,
06.12.21 10:03:45,15.38,161.98,191.26,131.07,251.5,263.3,179.7,196.29,220.04,173.19,231.83,191.82,215.09,199.67,155.14,169.97,193.77,211.92,189.04,195.73,152.53,211.06,195.17,213.07,,,31,965,34,31.05,
06.12.21 10:04:00,15.63,146.06,194.89,134.09,238.11,254.27,171.58,190.71,202.21,203.63,222.08,176.17,217.71,193.49,147.09,178.07,155.92,197.98,182.43,186,161.45,193.49,174,190.71,,,31,965,34,31.06,
06.12.21 10:04:15,15.88,169.16,192.38,156.97,243.55,262.36,182.43,224.43,211.34,218.29,246.9,194.33,207.33,239.62,169.43,192.38,191.26,210.19,217.12,203.91,185.73,219.16,218.87,205.62,,,31,965,34,31.08,
06.12.21 10:04:30,16.13,144.78,164.89,119.4,242.94,241.43,177.52,192.1,207.9,169.97,211.06,171.31,186,176.17,142.98,165.16,190.43,183.53,192.94,199.1,175.08,231.23,207.04,178.61,,,31,965,34,31.08,
06.12.21 10:04:45,16.38,151.49,187.11,142.73,255.82,241.73,183.26,188.21,241.43,199.38,227.08,189.6,213.94,187.66,156.19,176.44,178.88,207.62,218.58,213.07,180.79,226.79,187.66,208.76,,,31,965,34,31.1,
06.12.21 10:05:00,16.63,156.45,177.25,136.36,236.61,253.34,174.27,192.38,211.06,215.96,242.94,170.77,203.34,206.19,157.5,175.9,174.27,203.63,180.25,205.62,156.45,205.33,193.21,197.41,,,31,965,34,31.1,
06.12.21 10:05:15,16.88,139.92,175.62,140.17,242.94,272.78,176.71,196.01,212.21,184.08,253.34,180.25,192.94,218,133.59,170.77,169.16,194.89,204.48,198.26,152.53,192.94,190.43,195.45,,,31,965,34,31.11,
06.12.21 10:05:30,17.13,151.23,196.57,133.08,273.74,265.18,184.35,222.08,241.43,211.34,237.81,172.65,214.81,222.67,161.71,201.36,196.01,247.51,210.19,213.36,179.43,198.26,187.66,182.16,,,31,965,34,31.13,
06.12.21 10:05:45,17.38,152.27,174,136.11,230.04,253.65,175.9,186,219.45,177.79,268.02,182.98,217.71,205.33,176.17,169.16,176.71,208.47,202.21,196.85,140.68,207.04,211.63,165.69,,,31,965,34,31.14,
06.12.21 10:06:00,17.63,175.62,200.79,140.17,232.72,279.51,193.21,191.26,217.12,207.33,211.06,170.5,206.47,193.49,167.83,171.85,171.04,189.04,185.45,204.48,171.04,224.14,189.88,168.63,,,31,965,34,31.16,
06.12.21 10:06:15,17.88,132.08,168.63,126.33,223.84,224.14,190.99,200.79,226.49,155.66,241.43,168.36,229.15,195.73,156.45,161.18,145.8,172.12,189.32,195.45,164.1,227.38,201.08,165.43,,,31,965,34,31.19,
06.12.21 10:06:30,18.13,141.7,174.54,120.63,239.92,253.34,165.16,169.7,218.58,178.07,236.31,189.6,202.49,205.9,172.92,162.51,195.45,235.71,195.17,198.54,187.94,187.66,211.06,197.13,,,31,965,34,31.2,
06.12.21 10:06:45,18.38,141.7,153.31,116.71,243.55,279.51,197.98,195.73,217.42,205.9,229.45,188.77,226.79,221.79,163.57,172.38,169.43,207.62,188.49,201.36,149.68,216.54,216.83,199.38,,,31,965,34,31.21,
06.12.21 10:07:00,18.63,134.85,184.08,123.6,242.34,266.76,185.73,188.49,230.94,195.17,232.72,168.63,212.21,215.09,148.38,188.21,177.25,195.17,192.94,202.49,172.92,216.83,189.6,186,,,31,965,34,31.24,
06.12.21 10:07:15,18.88,163.04,188.21,140.68,273.1,249.96,202.49,228.86,222.96,199.95,275.02,205.9,221.79,236.31,154.09,177.25,180.79,220.33,215.96,226.49,160.13,206.19,198.82,195.45,,,31,965,34,31.25,
06.12.21 10:07:30,19.13,160.66,188.77,142.47,236.01,282.09,163.57,191.54,220.62,184.08,256.13,181.34,208.47,225.9,162.77,188.49,193.21,210.77,187.38,209.05,164.89,212.78,190.43,211.63,,,31,965,34,31.25,
06.12.21 10:07:45,19.38,137.88,164.89,129.32,252.42,276.94,190.99,194.33,239.92,173.73,248.73,202.21,233.91,211.06,167.56,168.09,176.98,216.54,190.15,219.45,169.16,213.07,214.81,212.21,,,31,965,34,31.28,
06.12.21 10:08:00,19.63,144.52,194.61,146.58,266.44,261.73,176.71,205.9,236.31,175.35,275.02,161.71,231.23,216.83,168.89,182.71,183.26,254.58,217.71,212.78,171.85,188.49,187.11,197.98,,,31,965,34,31.31,
06.12.21 10:08:15,19.88,157.5,210.77,142.73,273.1,233.62,195.45,219.45,256.13,189.04,257.99,197.13,232.13,210.77,152.53,196.85,174,236.31,197.13,235.11,183.8,218.87,201.64,197.69,,,31,965,34,31.31,
06.12.21 10:08:30,20.13,155.66,193.21,143.49,245.07,247.82,153.83,203.63,230.94,165.96,267.71,191.26,228.56,190.71,187.11,192.66,188.49,230.94,215.96,189.6,180.52,278.86,184.35,202.78,,,31,965,34,31.34,
06.12.21 10:08:45,20.38,146.83,196.57,155.92,254.58,273.74,160.92,194.33,239.32,205.33,237.81,193.21,239.62,193.77,143.24,179.43,196.57,228.86,212.5,214.23,185.73,251.19,215.09,212.78,,,31,965,34,31.35,
06.12.21 10:09:00,20.63,123.84,166.49,128.07,256.13,269.92,148.38,214.23,239.92,171.04,250.27,171.58,218.87,196.57,140.68,171.04,188.49,234.21,178.88,203.91,175.62,211.34,193.49,199.38,,,31,965,34,31.38,
06.12.21 10:09:15,20.88,153.31,179.16,128.57,248.43,263.61,175.62,223.84,226.49,184.9,253.96,196.85,240.83,207.9,168.63,189.88,201.93,243.86,199.1,209.91,187.38,211.63,222.67,227.38,,,31,965,34,31.39,
06.12.21 10:09:30,21.13,147.61,179.43,132.33,255.51,261.42,163.04,211.92,223.55,178.88,256.13,181.61,224.72,212.21,163.04,177.79,194.61,240.22,205.33,217.12,181.89,249.35,209.05,203.91,,,31,965,34,31.41,
06.12.21 10:09:45,21.38,168.09,173.19,140.17,235.41,257.37,167.56,181.61,223.84,180.52,251.5,183.53,239.32,200.79,163.83,178.34,193.49,201.08,197.69,195.45,152.79,188.77,208.76,202.78,,,31,965,34,31.42,
06.12.21 10:10:00,21.63,159.6,187.94,152.27,262.36,272.46,188.21,202.78,234.21,198.26,264.56,231.83,224.43,232.72,181.89,180.25,186.83,236.01,216.54,205.33,175.62,207.04,199.67,238.41,,,31,965,34,31.46,
06.12.21 10:10:15,21.88,142.73,197.41,168.63,250.88,277.58,169.97,230.94,223.55,191.54,257.06,179.43,246.29,220.04,153.05,201.64,177.79,231.23,183.8,211.63,178.07,208.76,233.91,220.91,,,31,965,34,31.46,
06.12.21 10:10:30,22.13,154.88,169.16,129.82,267.39,262.36,165.16,200.51,244.46,199.1,244.16,184.9,214.23,203.63,168.63,181.34,192.66,199.67,190.43,207.62,152.53,189.88,213.65,209.62,,,31,965,34,31.49,
06.12.21 10:10:45,22.38,153.31,184.9,137.38,266.44,273.1,168.89,206.76,237.21,188.77,262.67,189.04,233.62,213.65,171.04,185.18,201.36,224.72,205.62,210.48,176.17,227.38,223.26,216.54,,,31,965,34,31.5,
06.12.21 10:11:00,22.63,153.05,184.9,136.87,265.81,260.8,169.16,209.05,238.41,187.94,260.17,188.49,234.51,213.07,171.31,185.18,205.33,225.31,205.62,209.62,175.62,227.67,219.45,210.77,,,31,965,34,31.5,
06.12.21 10:11:15,22.88,153.31,184.63,134.09,261.73,260.8,167.83,207.62,233.02,188.21,261.42,188.77,235.41,210.48,171.04,183.26,205.33,223.84,205.33,204.76,176.71,232.72,218.29,211.92,,,31,965,34,31.48,
06.12.21 10:11:30,23.13,153.05,185.18,132.08,259.24,256.75,166.49,210.77,228.86,187.66,258.3,189.04,236.91,209.05,168.89,182.43,207.04,222.38,205.33,206.19,179.7,223.84,215.09,211.06,,,31,965,34,31.48,
06.12.21 10:11:45,23.38,153.31,184.63,131.07,257.06,253.65,164.1,213.65,225.02,187.94,245.07,188.77,239.02,206.19,168.89,181.61,207.9,220.04,205.05,205.9,176.71,231.53,214.23,212.21,,,31,965,34,31.45,
06.12.21 10:12:00,23.63,153.05,184.08,129.57,257.37,252.42,161.18,210.19,222.96,187.38,239.92,188.21,229.75,203.91,167.02,180.79,216.25,219.45,205.33,206.76,176.44,221.5,213.07,210.19,,,31,965,34,31.46,
06.12.21 10:12:15,23.88,153.57,184.9,128.32,250.88,250.88,156.45,209.33,220.33,187.66,239.32,188.21,227.38,201.64,160.13,180.79,213.07,218.58,205.05,207.04,175.62,221.5,212.78,209.62,,,31,965,34,31.44,
06.12.21 10:12:30,24.13,153.05,184.08,127.82,249.96,249.04,150.71,209.33,218.87,187.66,239.32,188.49,226.79,199.38,158.81,179.97,213.65,217.71,205.33,207.04,175.35,221.21,209.62,210.77,,,31,965,34,31.42,
06.12.21 10:12:45,24.38,153.83,183.26,127.57,249.65,246.9,145.55,214.52,217.71,186.83,233.32,188.49,225.9,196.85,156.45,178.61,214.81,216.83,205.33,207.04,175.08,220.62,207.9,209.91,,,31,965,34,31.42,
06.12.21 10:13:00,24.63,153.57,183.53,128.32,248.12,244.46,140.17,210.19,215.38,186.83,229.45,188.21,224.72,195.45,152.79,176.17,214.23,212.78,205.05,206.47,173.46,218.29,207.04,209.05,,,31,965,34,31.39,
06.12.21 10:13:15,24.88,153.31,182.98,124.34,247.82,243.25,135.35,209.05,215.96,187.38,229.15,187.94,225.9,194.05,150.71,174.54,215.09,210.77,205.05,206.76,172.65,218.29,204.48,208.19,,,31,965,34,31.41,
06.12.21 10:13:30,25.13,153.83,182.98,126.33,247.21,250.57,133.08,213.94,213.36,187.11,227.08,187.38,222.96,191.54,147.61,172.38,216.83,208.76,205.05,204.2,172.65,223.84,202.49,207.9,,,31,965,34,31.38,
06.12.21 10:13:45,25.38,154.09,182.71,121.37,246.59,242.04,130.32,208.19,211.06,186.28,225.31,187.94,222.96,189.32,143.75,170.77,228.56,207.04,204.48,201.64,171.58,214.81,203.34,205.9,,,31,965,34,31.38,
06.12.21 10:14:00,25.63,154.36,183.53,117.93,246.9,239.32,127.07,207.62,213.07,186.83,221.5,187.94,222.08,187.38,138.9,169.43,218,205.05,205.62,201.08,169.97,212.21,200.23,204.48,,,31,965,34,31.38,
06.12.21 10:14:15,25.88,154.36,182.71,120.88,245.98,242.64,122.36,213.36,213.07,186,218,187.38,220.33,186,134.09,167.02,217.71,202.49,205.62,199.95,179.16,213.36,202.21,203.63,,,31,965,34,31.36,
06.12.21 10:14:30,26.13,154.36,182.16,114.02,244.77,233.62,118.42,206.19,211.63,186,212.78,187.66,217.71,184.63,131.07,165.69,217.42,200.79,205.33,197.69,172.92,207.33,200.23,201.93,,,31,965,34,31.35,
