Measurement Name :,Plate4_20211207_PR_34C,,Generated On :,"07/12/2021, 12:38:45",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
07.12.21 12:06:52,3.78,191.92,198.5,200.09,199.82,159.97,189.84,201.95,204.35,177.74,231.51,189.84,203.28,182.6,174.44,174.69,192.71,165.16,198.5,181.57,174.44,168.65,177.99,198.24,,,34,965,34,32.61,965D6-(E1);
07.12.21 12:07:07,4.03,152.87,180.54,167.15,174.69,126.12,164.17,173.18,177.99,179.52,168.9,188.28,177.99,173.93,160.95,171.41,170.66,143.01,179.52,173.43,171.66,161.94,168.15,166.9,,,34,965,34,32.63,965D6-(E1);
07.12.21 12:07:22,4.28,165.91,190.88,183.62,177.99,134.03,168.9,169.15,177.23,169.4,177.99,181.06,171.91,146.12,153.6,170.16,167.9,138.74,168.9,182.6,160.46,171.16,172.42,174.44,,,34,965,34,32.66,965D6-(E1);
07.12.21 12:07:37,4.53,152.63,170.41,166.65,184.65,138.97,186.46,177.23,185.95,161.69,189.32,158,181.83,160.7,148.28,160.7,175.45,150.69,169.4,182.34,159.97,156.04,158,173.18,,,34,965,34,32.67,965D6-(E1);
07.12.21 12:07:52,4.78,161.44,190.36,178.25,194.02,132.86,178.5,180.03,172.67,170.91,183.37,156.77,173.43,162.68,138.97,167.15,149.97,146.84,167.9,178.25,150.69,160.46,166.9,182.08,,,34,965,34,32.71,965D6-(E1);
07.12.21 12:08:07,5.03,171.66,199.56,180.03,187.76,152.87,186.72,193.76,189.84,193.76,208.11,171.41,195.33,170.16,145.88,158.98,163.67,153.36,175.96,191.4,170.66,169.65,172.92,217.62,,,34,965,34,32.71,965D6-(E1);
07.12.21 12:08:22,5.28,161.94,179.27,183.62,194.55,141.34,173.93,184.91,178.5,190.62,195.07,178.76,196.12,178.76,170.16,173.68,152.63,152.39,177.74,180.8,158.98,170.91,175.7,199.29,,,34,965,34,32.74,965D6-(E1);
07.12.21 12:08:37,5.53,157.75,203.82,203.02,187.24,155.55,169.15,191.66,189.32,188.8,179.52,161.44,202.75,155.55,174.19,175.7,166.16,161.2,181.31,179.01,157.51,169.9,169.9,177.99,,,34,965,34,32.75,965D6-(E1);
07.12.21 12:08:52,5.78,175.45,176.21,210.27,203.02,123.82,183.88,173.93,182.6,175.96,192.19,174.19,178.25,175.7,157.75,172.92,186.98,151.66,179.27,183.88,176.72,173.43,176.47,179.01,,,34,965,34,32.78,965D6-(E1);
07.12.21 12:09:07,6.03,171.66,197.97,185.69,197.18,129.83,168.9,197.71,196.65,188.8,169.4,185.43,196.39,173.68,144.44,190.1,174.19,145.16,172.67,194.02,173.93,170.16,191.14,167.9,,,34,965,34,32.81,965D6-(E1);
07.12.21 12:09:23,6.3,162.43,200.62,187.76,205.96,151.66,174.69,187.5,197.71,187.5,190.88,162.93,187.76,177.48,135.67,175.2,158,140.87,186.72,176.97,172.67,175.96,173.68,176.72,,,34,965,34,32.81,965D6-(E1);
07.12.21 12:09:38,6.55,164.66,176.72,184.4,187.24,149.24,167.4,190.62,194.28,172.17,202.48,179.27,182.08,179.78,160.46,177.99,148.04,159.47,172.42,175.96,163.18,174.94,182.34,189.06,,,34,965,34,32.88,965D6-(E1);
07.12.21 12:09:53,6.8,188.28,187.5,192.45,163.67,142.77,154.82,180.54,182.6,185.69,209.46,170.66,193.76,152.39,158.74,163.67,155.55,142.53,177.23,186.98,169.15,173.93,185.69,170.16,,,34,965,34,32.88,965D6-(E1);
07.12.21 12:10:08,7.05,188.54,206.77,196.12,187.24,152.15,191.92,183.62,189.84,203.55,213.8,182.34,184.65,173.43,153.6,169.15,180.8,148.52,183.37,197.97,183.62,176.21,182.08,215.71,,,34,965,34,32.89,965B6-(E1);
07.12.21 12:10:23,7.3,164.66,183.62,191.14,199.82,150.21,174.44,179.52,193.23,204.62,195.86,172.67,181.06,157.51,158,174.44,176.97,157.26,191.14,199.29,168.4,169.15,179.78,178.5,,,34,965,34,32.92,965D6-(E1);
07.12.21 12:10:38,7.55,175.2,194.02,192.97,176.47,155.8,165.66,177.48,185.43,200.62,168.4,165.66,171.16,168.9,148.04,158,158.49,154.82,176.47,171.66,162.68,169.65,171.16,169.15,,,34,965,34,32.95,965D6-(E1);
07.12.21 12:10:53,7.8,159.72,165.91,186.72,185.95,149.24,165.66,160.46,167.4,182.85,201.42,155.8,176.97,167.15,146.12,176.72,168.15,151.66,158.49,192.97,159.23,165.66,182.34,165.41,,,34,965,34,32.98,
07.12.21 12:11:08,8.05,152.87,176.21,194.55,185.43,142.53,157.02,180.8,177.48,187.76,192.19,180.54,173.68,155.8,157.75,175.96,171.91,144.92,167.15,192.97,151.9,163.92,175.7,179.01,,,34,965,34,32.99,965D6-(E1);
07.12.21 12:11:23,8.3,166.4,183.62,177.74,190.88,160.95,169.65,193.5,181.06,193.76,206.77,177.74,190.88,155.55,144.68,173.18,165.41,148.04,181.06,187.76,149,166.65,155.55,180.03,,,34,965,34,33.02,
07.12.21 12:11:38,8.55,161.69,194.55,197.44,200.36,161.69,186.72,186.98,184.91,199.03,216.8,182.85,176.72,167.65,158.74,174.44,171.16,144.92,181.31,189.32,182.34,174.94,185.43,187.76,,,34,965,34,33.03,
07.12.21 12:11:53,8.8,170.16,168.9,174.44,201.69,151.18,156.29,166.4,172.67,185.69,196.12,172.42,166.65,156.29,145.88,167.9,149.73,138.03,166.4,177.99,184.91,165.41,167.9,160.21,,,34,965,34,33.06,965B6-(E1);
07.12.21 12:12:08,9.05,164.91,189.32,183.11,189.06,150.69,184.91,187.5,205.16,185.17,211.35,173.68,191.14,157.02,165.66,172.42,182.6,148.76,183.37,204.62,177.48,169.65,181.06,195.07,,,34,965,34,33.08,965B6-(E1);
07.12.21 12:12:23,9.3,178.76,195.86,190.88,185.95,158.25,163.42,196.12,197.71,197.44,183.37,177.74,223.14,168.9,148.76,176.97,168.15,156.04,181.57,187.5,184.91,177.74,180.29,191.14,,,34,965,34,33.1,965B6-(E1);
07.12.21 12:12:38,9.55,164.41,183.88,179.01,173.93,166.16,171.16,188.02,177.48,185.17,191.14,166.4,167.15,152.39,152.39,166.65,161.69,138.97,177.48,181.57,140.16,170.91,173.18,183.62,,,34,965,34,33.11,965D6-(E1);
07.12.21 12:12:53,9.8,176.21,183.88,191.4,186.98,171.16,168.9,180.03,186.72,178.25,185.95,169.9,188.02,186.98,159.23,174.69,163.67,137.79,187.5,202.48,167.9,179.78,171.91,192.19,,,34,965,34,33.13,965B6-(E1);
07.12.21 12:13:08,10.05,187.5,176.21,171.66,174.69,171.91,161.44,193.5,190.62,198.24,203.82,168.9,190.1,182.85,167.15,180.29,174.19,142.3,184.65,202.22,170.41,181.83,182.85,212.98,,,34,965,34,33.17,
07.12.21 12:13:23,10.3,212.98,178.25,187.5,186.72,181.57,165.66,197.44,199.82,207.57,194.28,181.83,199.82,183.88,169.65,198.24,184.65,169.65,196.12,209.19,168.65,196.91,194.81,205.42,,,34,965,34,33.19,965B6-(E1);
07.12.21 12:13:38,10.55,195.07,165.41,191.14,203.55,175.45,191.66,168.65,203.82,196.12,183.11,165.91,210.81,159.97,159.47,172.42,159.97,151.9,197.18,201.69,173.18,189.32,176.97,176.97,,,34,965,34,33.21,965D6-(E1);
07.12.21 12:13:53,10.8,179.27,177.48,182.34,198.24,164.17,162.68,183.37,204.62,190.36,181.06,181.57,188.54,174.94,152.39,177.23,176.72,152.15,181.06,206.23,170.41,179.01,194.28,191.4,,,34,965,34,33.23,965B6-(E1);
07.12.21 12:14:08,11.05,185.69,199.03,192.71,192.45,147.56,167.9,193.76,207.84,215.71,213.8,186.46,207.57,172.17,157.51,186.72,183.11,156.53,194.02,201.42,167.4,191.14,187.76,219.27,,,34,965,34,33.25,965B6-(E1);
07.12.21 12:14:23,11.3,182.34,196.12,211.9,191.14,169.15,190.36,191.66,204.89,198.24,211.63,175.7,201.42,181.57,153.85,189.58,164.66,160.21,192.97,209.73,168.4,198.76,185.95,213.53,,,34,965,34,33.28,965B6-(E1);
07.12.21 12:14:38,11.55,190.36,195.07,197.44,197.44,169.15,183.88,176.21,197.18,215.44,204.35,178.5,203.02,175.2,172.17,183.37,188.54,152.87,189.32,212.71,170.91,199.29,195.33,198.5,,,34,965,34,33.28,965B6-(E1);
07.12.21 12:14:53,11.8,183.37,197.97,189.84,195.6,161.44,150.21,186.98,205.69,226.47,192.19,158.25,185.43,164.66,145.16,172.42,168.65,159.72,195.6,209.73,172.67,193.5,198.5,196.12,,,34,965,34,33.31,965D6-(E1);
07.12.21 12:15:08,12.05,174.69,189.84,210.54,200.36,168.4,201.15,222.86,221.48,221.2,203.82,171.16,199.03,174.94,161.2,172.17,170.41,159.23,199.82,199.29,167.9,195.86,198.24,196.65,,,34,965,34,33.34,965B6-(E1);
07.12.21 12:15:23,12.3,187.5,190.1,196.65,178.25,158.25,170.16,179.78,182.85,219.55,202.48,170.16,169.15,152.63,152.63,180.03,171.16,152.63,186.2,211.08,172.42,179.27,180.8,190.62,,,34,965,34,33.35,
07.12.21 12:15:38,12.55,180.29,183.62,190.88,188.02,152.39,161.94,189.06,191.14,216.53,201.95,154.09,184.14,157.51,158.98,190.36,152.63,133.33,180.54,180.03,145.64,169.4,174.19,180.03,,,34,965,34,33.38,965B6-(E1);
07.12.21 12:15:53,12.8,196.12,197.44,202.22,207.3,179.78,172.67,194.55,211.63,208.92,203.02,185.95,185.43,174.44,157.26,189.06,170.16,159.47,196.39,216.53,178.25,187.5,199.82,189.32,,,34,965,34,33.39,965B6-(E1);
07.12.21 12:16:08,13.05,183.11,197.71,192.71,189.06,169.15,170.91,212.98,203.82,215.16,206.77,196.39,195.07,177.48,176.47,176.72,166.16,166.9,192.19,205.69,177.74,193.5,184.65,196.39,,,34,965,34,33.42,965B6-(E1);
07.12.21 12:16:23,13.3,195.07,171.66,193.23,184.91,161.94,174.94,210.27,207.57,208.38,193.76,185.69,191.92,187.76,165.16,188.54,145.4,153.6,194.55,215.98,165.91,203.02,180.03,210.27,,,34,965,34,33.44,
07.12.21 12:16:38,13.55,180.03,191.14,192.45,175.7,160.95,166.4,183.62,191.92,213.53,199.03,170.41,190.88,166.9,143.49,174.19,162.43,157.26,198.24,199.03,159.47,201.69,173.18,187.24,,,34,965,34,33.46,
07.12.21 12:16:53,13.8,195.86,194.28,191.14,198.76,158.49,173.68,225.91,196.91,197.44,186.98,178.5,217.35,165.66,178.76,176.21,164.66,173.68,192.19,202.48,158,187.76,201.69,192.71,,,34,965,34,33.48,965D6-(E1);
07.12.21 12:17:08,14.05,175.2,204.35,201.42,208.92,152.39,180.03,219.82,199.82,218.45,188.8,196.12,206.23,166.16,149.73,189.58,173.43,152.87,184.91,216.8,154.58,194.55,173.18,183.88,,,34,965,34,33.5,
07.12.21 12:17:23,14.3,193.76,207.04,201.95,194.55,162.68,188.28,209.73,182.34,197.18,176.47,164.41,178.25,170.41,169.9,186.98,183.62,161.44,182.08,215.44,163.42,187.76,188.8,180.29,,,34,965,34,33.53,
07.12.21 12:17:38,14.55,184.91,208.38,192.45,194.02,195.07,186.46,205.42,211.08,225.91,200.62,180.29,219,174.69,166.4,191.4,157.26,165.66,182.6,223.41,192.45,202.75,192.19,205.16,,,34,965,34,33.55,
07.12.21 12:17:53,14.8,182.6,161.2,198.24,169.65,167.4,162.43,181.83,194.28,194.55,202.48,169.9,195.07,163.92,153.36,164.41,153.6,158.25,174.69,204.62,151.9,190.36,194.81,182.85,,,34,965,34,33.56,
07.12.21 12:18:08,15.05,190.36,210.81,204.35,219.27,167.65,158.49,211.9,207.57,202.48,207.84,191.14,204.09,166.65,172.17,177.74,160.7,169.15,195.6,198.24,169.15,203.28,204.09,196.65,,,34,965,34,33.59,
07.12.21 12:18:23,15.3,173.43,212.71,201.95,186.2,174.94,191.4,211.9,218.17,212.71,216.26,169.15,192.97,192.19,176.72,184.65,188.02,173.18,214.62,211.63,169.4,200.36,196.65,212.71,,,34,965,34,33.61,965B6-(E1);
07.12.21 12:18:38,15.55,205.16,198.24,212.44,223.97,160.95,184.65,233.76,215.71,230.11,225.91,183.88,205.96,187.24,170.66,195.6,174.69,171.41,193.76,196.91,174.19,195.6,195.07,189.84,,,34,965,34,33.63,965B6-(E1);
07.12.21 12:18:53,15.8,205.42,176.21,197.97,184.65,160.95,169.15,199.29,190.36,212.71,204.35,176.21,195.33,185.17,164.41,180.54,171.91,159.23,197.18,204.35,174.44,194.02,189.32,190.36,,,34,965,34,33.66,
07.12.21 12:19:08,16.05,195.86,210.27,202.75,212.17,158.49,182.34,219,200.89,212.17,204.89,163.92,198.24,190.1,166.65,191.66,167.15,165.91,199.29,220.65,182.08,193.76,191.14,192.97,,,34,965,34,33.67,
07.12.21 12:19:23,16.3,172.42,178.76,199.29,190.36,147.56,187.24,213.26,203.28,202.22,205.16,176.21,191.66,169.9,154.33,168.65,178.76,166.4,190.1,214.62,147.56,184.65,196.39,189.84,,,34,965,34,33.67,965D6-(E1);
07.12.21 12:19:38,16.55,192.97,196.91,195.86,207.04,175.7,177.48,215.71,199.82,218.17,209.19,167.9,190.88,167.65,158.98,180.29,159.23,155.07,190.62,219.27,157.51,193.23,185.43,197.44,,,34,965,34,33.71,965D6-(E1);
07.12.21 12:19:53,16.8,191.66,191.14,177.99,192.19,171.66,173.18,222.03,189.06,205.69,186.2,157.02,179.01,174.44,176.47,182.34,162.68,156.04,191.92,216.8,146.6,199.29,194.55,205.42,,,34,965,34,33.73,
07.12.21 12:20:08,17.05,183.62,208.11,204.35,203.02,175.45,176.72,212.98,213.26,227.59,203.82,174.19,211.08,195.86,173.68,185.43,184.91,166.9,204.35,225.08,185.17,204.89,198.5,197.44,,,34,965,34,33.74,
07.12.21 12:20:23,17.3,181.57,190.36,221.2,194.55,178.76,171.91,223.41,199.82,205.69,210.27,170.41,212.44,181.06,164.91,198.5,173.18,160.46,188.54,213.26,183.37,208.65,197.18,192.45,,,34,965,34,33.75,965D6-(E1);
07.12.21 12:20:38,17.55,194.55,204.35,206.77,213.8,180.03,167.15,212.17,202.48,222.86,217.62,162.68,217.9,188.28,161.94,198.76,152.87,167.9,190.88,214.07,162.93,208.65,208.38,198.5,,,34,965,34,33.75,965B6-(E1);
07.12.21 12:20:53,17.8,215.16,183.62,202.75,207.84,166.65,165.16,223.41,210,217.9,220.92,170.16,185.43,201.42,184.14,199.82,170.66,173.93,201.69,235.18,186.72,209.46,197.97,200.36,,,34,965,34,33.78,
07.12.21 12:21:08,18.05,177.23,169.15,208.65,201.42,191.66,172.92,209.46,208.38,227.03,196.39,187.5,191.66,174.94,189.06,190.1,159.23,166.9,171.91,226.75,159.23,199.82,188.28,193.5,,,34,965,34,33.8,965D6-(E1);
07.12.21 12:21:23,18.3,185.95,201.69,189.84,198.24,166.65,170.41,202.75,203.02,220.1,194.28,177.74,188.28,179.27,158.74,196.39,159.97,166.16,190.62,194.55,163.67,208.65,198.76,196.91,,,34,965,34,33.81,
07.12.21 12:21:38,18.55,204.35,188.54,195.6,198.5,180.29,175.45,203.82,212.98,228.98,196.39,176.72,188.8,181.57,171.16,185.95,173.43,157.75,193.5,203.55,155.31,204.89,199.56,211.63,,,34,965,34,33.81,
07.12.21 12:21:53,18.8,204.62,184.91,203.82,198.76,172.67,188.28,226.19,210.54,218.72,224.8,180.29,202.22,186.72,173.18,183.62,163.92,192.97,197.18,232.64,183.37,207.84,211.35,200.62,,,34,965,34,33.81,
07.12.21 12:22:08,19.05,199.56,183.88,203.28,200.09,175.96,176.47,209.19,204.89,214.07,202.22,173.93,209.73,191.14,187.5,190.36,169.9,175.96,197.71,204.35,165.41,203.82,202.75,198.5,,,34,965,34,33.84,965D6-(E1);
07.12.21 12:22:23,19.3,176.47,185.43,212.44,188.28,187.76,159.23,216.26,181.06,218.17,207.84,166.9,196.12,171.16,168.65,199.03,173.93,180.03,196.39,206.77,164.41,208.11,204.35,189.32,,,34,965,34,33.84,
07.12.21 12:22:38,19.55,211.08,191.14,225.08,211.9,193.5,199.29,210.81,204.35,207.04,207.04,186.98,207.04,198.5,197.71,200.62,178.5,172.67,214.89,218.45,184.65,224.52,220.92,206.23,,,34,965,34,33.85,
07.12.21 12:22:53,19.8,187.5,180.54,196.65,197.44,154.58,133.09,203.28,171.41,195.86,203.02,180.03,176.72,157.51,167.65,191.92,162.68,150.45,182.08,207.04,145.4,203.02,188.54,205.69,,,34,965,34,33.85,
07.12.21 12:23:08,20.05,185.95,197.44,201.95,171.16,146.84,141.58,201.95,177.48,188.8,184.65,168.65,184.14,172.67,159.72,181.31,147.08,145.16,187.24,213.26,155.8,201.69,193.23,182.08,,,34,965,34,33.86,
07.12.21 12:23:23,20.3,192.97,192.71,197.44,197.44,169.15,162.93,211.9,197.97,214.34,212.17,171.91,195.33,189.06,179.78,190.36,158.25,163.42,194.55,222.86,164.91,212.44,204.62,201.15,,,34,965,34,33.88,
07.12.21 12:23:38,20.55,191.4,192.45,197.18,197.44,165.91,161.94,212.98,197.18,211.63,211.9,172.67,195.33,193.23,184.91,190.1,157.75,163.92,193.76,221.75,165.16,212.44,204.89,201.15,,,34,965,34,33.86,
07.12.21 12:23:53,20.8,191.4,192.97,196.65,197.44,162.43,162.43,212.98,202.48,210.81,213.26,172.92,195.07,192.19,185.43,190.88,156.77,165.16,193.23,218.72,167.15,207.84,203.82,201.69,,,34,965,34,33.85,
07.12.21 12:24:08,21.05,191.14,191.14,196.12,196.65,158.25,160.95,212.71,198.5,209.73,212.98,172.42,194.02,193.76,185.95,190.88,156.29,166.4,193.23,217.62,168.4,206.5,203.02,200.89,,,34,965,34,33.81,
07.12.21 12:24:23,21.3,191.4,192.45,194.55,197.18,156.53,160.95,212.71,199.56,208.65,217.9,172.92,197.18,190.36,185.95,190.62,156.29,168.9,192.97,216.8,168.9,208.65,203.28,201.95,,,34,965,34,33.78,
07.12.21 12:24:38,21.55,191.4,192.19,193.76,196.91,154.33,160.46,213.53,199.03,208.92,213.26,173.18,193.76,192.71,186.2,190.1,155.55,169.9,193.23,216.26,170.16,205.42,202.75,201.95,,,34,965,34,33.74,
07.12.21 12:24:53,21.8,190.62,191.4,192.19,196.65,153.12,159.97,212.71,198.24,206.23,212.17,172.17,190.36,190.62,185.95,189.58,155.07,169.4,192.71,215.16,170.16,202.22,201.95,201.95,,,34,965,34,33.71,
07.12.21 12:25:08,22.05,190.36,190.62,191.14,196.91,151.42,159.47,211.9,198.76,205.42,212.71,172.17,187.5,192.19,185.17,189.32,154.58,169.4,192.19,214.62,170.91,200.62,201.15,202.75,,,34,965,34,33.7,
07.12.21 12:25:23,22.3,190.88,191.14,189.84,197.18,148.52,158.98,212.71,198.24,205.42,212.44,173.18,187.5,194.55,184.91,189.32,154.33,169.65,192.19,214.34,171.91,199.29,200.89,203.28,,,34,965,34,33.67,
07.12.21 12:25:38,22.55,190.62,191.14,188.02,197.44,144.92,159.23,213.26,199.29,203.82,212.17,172.67,187.5,193.23,183.37,188.28,154.33,169.4,192.45,213.8,171.91,198.24,200.89,203.28,,,34,965,34,33.64,
07.12.21 12:25:53,22.8,190.1,191.66,186.98,197.44,141.82,158.25,212.44,200.09,203.02,212.17,172.67,186.72,189.84,182.08,187.76,153.6,168.4,192.19,212.98,172.17,196.91,200.36,203.02,,,34,965,34,33.63,
07.12.21 12:26:08,23.05,190.36,191.4,185.95,197.71,139.45,158.74,213.26,200.36,203.28,211.9,173.18,188.02,189.32,182.08,186.2,153.6,168.65,191.66,212.98,173.18,196.12,200.09,203.55,,,34,965,34,33.6,
07.12.21 12:26:23,23.3,192.71,191.14,184.65,197.97,137.32,158.25,212.44,199.82,202.22,212.17,173.43,188.02,188.54,181.83,186.2,153.36,167.9,191.4,212.71,173.18,194.55,199.29,203.28,,,34,965,34,33.6,
07.12.21 12:26:38,23.55,190.36,191.14,183.62,197.71,135.2,158,211.9,200.89,201.69,211.9,173.43,186.46,188.02,182.34,185.69,152.87,167.4,191.92,211.63,172.67,193.23,199.03,203.28,,,34,965,34,33.59,
07.12.21 12:26:53,23.8,193.76,190.88,182.85,198.76,133.8,158,212.98,200.89,201.42,211.08,173.43,182.85,187.76,181.83,184.4,152.63,166.4,191.66,211.9,171.66,192.71,198.76,203.55,,,34,965,34,33.56,
07.12.21 12:27:08,24.05,190.88,191.66,182.6,198.76,132.63,158,214.62,200.09,199.82,211.63,173.93,182.34,188.28,181.06,186.2,152.87,165.41,192.45,211.9,171.66,192.19,199.03,204.09,,,34,965,34,33.56,
07.12.21 12:27:23,24.3,186.2,191.4,181.57,198.76,131.69,157.51,213.26,200.36,197.97,210.81,174.19,182.6,187.76,180.8,183.62,152.63,164.17,191.4,212.17,171.41,191.4,198.76,204.09,,,34,965,34,33.56,
07.12.21 12:27:38,24.55,185.43,190.36,179.52,198.76,131.46,157.26,212.98,199.29,196.91,210.81,173.68,182.85,187.5,179.78,183.11,151.9,162.68,191.66,211.35,170.41,191.14,197.97,203.82,,,34,965,34,33.55,
