Measurement Name :,20210617_Pairs_30C,,Generated On :,"17/06/2021, 12:24:21",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,
17.06.21 11:33:08,14.55,224.97,191.13,219.3,219,214.86,197.69,195.97,217.22,202.59,211.33,183.23,223.47,196.83,160.15,215.74,211.62,190.56,219,208.11,215.74,196.26,218.41,212.21,,30,965,34,32.4,965D6-(E1);
17.06.21 11:33:23,14.8,209.86,175.72,198.55,196.83,198.55,206.65,222.28,212.5,180.16,223.47,174.06,211.91,166.11,150.78,214.86,205.49,167.47,205.49,199.41,214.86,193.69,219.89,211.03,,30,965,34,32.41,965D6-(E1);
17.06.21 11:33:38,15.05,212.21,201.14,206.07,249.76,216.92,214.86,194.26,230.39,204.33,220.79,201.43,226.77,203.75,159.07,200.85,223.17,188.01,201.72,221.38,217.22,199.99,221.68,217.52,,30,965,34,32.43,965D6-(E1);
17.06.21 11:33:53,15.3,210.45,200.85,208.69,211.62,182.11,185.76,204.62,215.15,171.58,210.45,187.45,204.91,185.2,133.26,194.83,218.11,176.27,200.28,199.7,213.97,191.7,217.22,211.03,,30,965,34,32.44,965D6-(E1);
17.06.21 11:34:08,15.55,198.84,208.69,193.97,218.7,211.03,205.2,210.74,219.89,215.15,211.03,191.98,208.11,199.41,153.18,229.79,219,185.48,201.14,204.62,225.27,204.91,211.62,218.11,,30,965,34,32.47,965D6-(E1);
17.06.21 11:34:23,15.8,214.27,220.49,223.17,216.63,217.52,223.47,204.33,217.52,205.78,189.14,196.54,218.7,185.48,149.72,227.68,228.58,202.88,198.55,199.99,216.04,195.11,230.7,220.19,,30,965,34,32.49,965D6-(E1);
17.06.21 11:34:38,16.05,213.09,190.84,195.97,215.45,173.78,200.57,195.69,225.27,194.83,195.4,190.28,218.41,188.86,147.34,207.52,216.63,192.55,190.56,188.3,211.62,190.84,218.11,219.3,,30,965,34,32.5,965D6-(E1);
17.06.21 11:34:53,16.3,202.59,193.97,211.62,221.38,196.26,196.26,210.15,221.38,202.01,205.2,187.17,218.7,200.28,153.98,205.2,217.22,182.95,201.43,214.56,221.38,198.26,204.04,216.92,,30,965,34,32.51,965D6-(E1);
17.06.21 11:35:08,16.55,192.83,190.56,198.55,213.38,187.73,190.56,206.36,213.09,194.54,209.57,187.17,199.13,182.67,132.74,203.75,212.21,179.88,195.97,184.35,197.12,184.35,192.55,196.83,,30,965,34,32.51,965D6-(E1);
17.06.21 11:35:23,16.8,226.17,225.57,195.4,234.34,191.98,206.65,226.47,225.57,211.91,224.97,207.82,220.49,181,147.08,219,219.3,190.28,202.3,207.82,216.63,207.52,230.7,227.68,,30,965,34,32.54,965D6-(E1);
17.06.21 11:35:38,17.05,209.57,199.7,183.79,221.38,172.68,195.11,195.69,216.92,193.97,221.08,194.83,216.33,179.32,144.71,205.2,206.07,183.51,178.77,193.12,207.82,187.73,205.49,199.99,,30,965,34,32.55,965D6-(E1);
17.06.21 11:35:53,17.3,220.79,213.68,188.3,232.21,206.65,198.26,219.3,223.17,217.52,215.15,196.26,223.47,206.07,155.05,214.27,219.89,197.12,181.27,202.3,221.08,195.69,221.68,222.58,,30,965,34,32.58,965D6-(E1);
17.06.21 11:36:08,17.55,223.17,223.17,185.2,227.07,181.55,189.71,202.01,208.69,200.28,221.38,183.79,213.68,191.41,140.78,214.56,222.28,189.71,195.69,197.98,219.89,191.98,217.52,209.28,,30,965,34,32.58,965D6-(E1);
17.06.21 11:36:23,17.8,208.11,210.74,191.7,210.74,187.73,196.26,196.83,209.57,184.92,188.01,181.83,204.04,148.93,148.66,209.28,213.09,188.58,181,183.79,206.65,194.26,211.91,199.7,,30,965,34,32.6,965D6-(E1);
17.06.21 11:36:38,18.05,194.83,195.69,214.86,222.28,196.54,215.15,224.67,223.17,207.52,198.26,192.26,223.47,181.55,152.91,224.37,222.58,185.76,210.74,196.26,222.87,204.62,213.97,225.87,,30,965,34,32.61,965D6-(E1);
17.06.21 11:36:53,18.3,230.39,191.13,214.27,234.64,209.28,224.97,228.58,216.33,202.3,229.79,204.04,227.68,209.57,157.73,216.04,225.27,184.35,203.17,200.57,232.21,212.79,227.68,222.87,,30,965,34,32.64,965D6-(E1);
17.06.21 11:37:08,18.55,197.98,206.36,198.84,225.57,195.11,209.86,198.55,229.79,205.78,215.45,193.97,216.04,208.69,145.23,215.15,221.38,188.86,202.59,192.83,227.07,205.2,220.79,209.28,,30,965,34,32.65,965D6-(E1);
17.06.21 11:37:23,18.8,224.97,203.17,189.71,209.28,194.54,188.86,212.79,221.98,206.65,211.33,184.92,204.91,200.57,140,219.89,219.6,195.11,181,207.52,212.79,197.4,216.33,215.74,,30,965,34,32.65,965D6-(E1);
17.06.21 11:37:38,19.05,188.86,192.26,181.27,222.28,219.3,188.3,216.04,211.33,199.99,216.33,184.64,206.36,171.03,151.58,197.4,209.28,179.05,198.84,189.71,209.86,196.83,218.11,211.33,,30,965,34,32.66,965D6-(E1);
17.06.21 11:37:53,19.3,204.62,179.6,182.39,218.11,204.33,202.3,201.43,219.6,181.27,216.63,202.01,232.82,183.23,147.34,208.69,221.38,201.43,211.33,210.45,231.3,203.75,208.98,217.52,,30,965,34,32.68,965D6-(E1);
17.06.21 11:38:08,19.55,209.86,208.4,219.3,243.54,230.39,196.54,192.55,231.91,202.3,213.09,198.84,216.33,205.49,147.61,223.77,234.64,203.75,196.26,206.07,227.07,206.36,230.09,217.81,,30,965,34,32.69,965D6-(E1);
17.06.21 11:38:23,19.8,215.15,186.32,212.5,210.74,191.41,213.09,239.23,216.92,209.28,219.3,200.57,222.87,213.68,145.76,198.55,216.04,193.12,197.98,193.69,214.27,207.82,216.92,213.97,,30,965,34,32.71,965D6-(E1);
17.06.21 11:38:38,20.05,219.3,172.96,209.57,223.47,208.11,224.37,210.74,217.81,197.69,216.92,195.11,227.07,159.61,169.66,224.97,228.28,199.41,190.28,197.98,218.11,206.07,229.49,224.37,,30,965,34,32.74,965D6-(E1);
17.06.21 11:38:53,20.3,198.55,219,213.38,245.09,199.13,214.56,223.47,230.7,203.46,221.98,200.28,245.71,192.83,151.31,224.97,233.43,200.57,197.69,213.09,225.27,207.82,231.91,233.73,,30,965,34,32.74,965D6-(E1);
17.06.21 11:39:08,20.55,215.15,181.55,203.46,210.45,185.48,212.21,227.37,226.77,199.13,221.38,209.86,219,215.74,156.12,217.22,227.68,195.11,191.41,196.83,219.89,209.86,227.68,230.7,,30,965,34,32.75,965D6-(E1);
17.06.21 11:39:23,20.8,218.41,212.79,216.63,200.28,199.99,211.91,199.13,224.07,203.17,218.11,203.17,220.79,185.2,133.51,203.75,217.52,204.33,181.55,197.4,214.27,195.97,221.08,228.28,,30,965,34,32.78,965D6-(E1);
17.06.21 11:39:38,21.05,232.82,211.62,205.78,235.25,217.22,211.62,235.86,223.17,203.75,242.62,198.55,225.87,216.92,160.15,216.04,227.37,199.13,196.83,197.12,220.49,199.13,220.79,220.49,,30,965,34,32.78,965D6-(E1);
17.06.21 11:39:53,21.3,196.54,202.88,231.61,236.17,205.2,200.28,199.99,222.28,207.52,213.68,184.92,222.58,194.26,134.29,214.56,213.09,189.43,197.4,198.84,214.86,202.88,219.89,221.38,,30,965,34,32.79,965D6-(E1);
17.06.21 11:40:08,21.55,219.89,193.69,188.58,207.23,197.98,201.43,205.78,214.56,217.81,228.88,179.6,220.49,204.91,131.71,214.27,211.91,186.6,206.36,192.26,202.01,197.98,212.5,211.62,,30,965,34,32.8,965D6-(E1);
17.06.21 11:40:23,21.8,223.17,219.89,216.33,235.56,212.79,193.12,214.56,246.02,216.33,251.63,208.69,227.68,225.87,160.96,224.07,222.58,185.2,211.91,211.33,227.98,214.86,228.28,235.56,,30,965,34,32.82,965D6-(E1);
17.06.21 11:40:38,22.05,220.79,209.28,203.75,221.68,193.69,223.47,191.7,212.21,185.48,227.37,206.94,217.81,217.81,127.87,219,216.04,191.41,193.97,198.55,209.86,201.14,210.45,220.79,,30,965,34,32.82,965D6-(E1);
17.06.21 11:40:53,22.3,211.62,183.79,188.3,210.45,188.01,204.33,191.7,221.08,188.01,204.62,182.95,226.47,150.25,139.74,214.56,219.6,202.88,191.41,206.36,215.45,195.11,220.79,216.63,,30,965,34,32.83,965D6-(E1);
17.06.21 11:41:08,22.55,205.49,209.86,218.7,227.37,207.52,203.17,217.52,233.12,210.74,206.94,203.17,229.49,196.83,145.76,217.81,221.08,202.01,190.56,209.28,231.91,213.68,222.87,226.17,,30,965,34,32.86,965D6-(E1);
17.06.21 11:41:23,22.8,221.68,214.27,237.39,216.63,223.47,216.92,209.28,232.21,199.99,236.48,204.04,230.39,197.4,157.46,236.17,228.28,201.72,221.08,195.97,233.12,213.97,225.57,228.28,,30,965,34,32.86,965D6-(E1);
17.06.21 11:41:38,23.05,227.37,211.91,214.56,217.81,207.23,222.87,206.94,227.68,189.43,218.41,186.32,226.47,191.98,140.78,221.68,208.11,194.54,187.45,188.3,208.98,190.84,211.62,216.63,,30,965,34,32.89,965D6-(E1);
17.06.21 11:41:53,23.3,205.49,201.72,204.62,217.52,198.84,209.57,216.92,224.07,185.76,206.65,192.26,210.74,173.78,140.78,210.74,221.68,191.13,194.54,204.62,211.62,200.57,211.91,219,,30,965,34,32.89,965D6-(E1);
17.06.21 11:42:08,23.55,224.67,198.26,179.6,225.87,179.32,229.79,195.69,224.37,196.26,210.45,181,224.67,179.05,136.36,213.09,211.91,182.39,186.32,193.4,215.45,190.84,216.92,213.38,,30,965,34,32.9,965D6-(E1);
17.06.21 11:42:23,23.8,218.41,197.4,203.17,241.38,201.43,201.14,188.01,237.39,192.55,223.47,192.83,212.79,196.83,138.95,222.58,219.3,188.58,218.11,212.79,223.17,215.74,222.58,224.37,,30,965,34,32.91,965D6-(E1);
17.06.21 11:42:38,24.05,211.62,202.59,214.27,223.47,194.54,223.17,218.41,229.79,211.03,225.87,196.83,218.41,201.14,151.58,226.47,230.7,202.3,205.78,206.94,219.89,210.74,220.49,224.97,,30,965,34,32.93,965D6-(E1);
17.06.21 11:42:53,24.3,208.11,219.89,209.28,216.92,188.86,201.72,201.14,222.28,184.35,214.86,179.6,218.41,183.51,132.48,209.57,212.21,187.17,191.98,191.7,216.33,184.92,217.81,208.98,,30,965,34,32.94,965D6-(E1);
