Measurement Name :,20210617_Pairs_30C,,Generated On :,"17/06/2021, 12:24:21",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,
Start Date/Time:,"17/06/2021, 11:18:35",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"17/06/2021, 12:23:42",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
17.06.21 11:18:37,0.03,173.51,163.93,178.49,192.83,157.46,205.2,217.81,216.33,181.27,152.38,176.27,195.11,147.87,135.58,167.47,202.01,166.65,175.99,180.16,204.62,170.48,198.26,195.97,,30,965,34,31.83,965D6-(E1);
17.06.21 11:18:52,0.28,197.69,162.58,169.39,190.56,179.32,183.79,192.55,195.4,166.65,142.87,164.21,198.84,155.05,129.14,167.47,200.28,153.98,157.46,185.76,190.28,173.78,193.97,199.7,,30,965,34,31.55,965D6-(E1);
17.06.21 11:19:07,0.53,203.46,144.71,165.84,189.43,180.44,169.11,174.06,209.28,177.93,161.5,177.66,209.86,133.51,142.87,160.15,203.46,163.93,174.33,191.13,189.99,176.55,207.52,206.65,,30,965,34,31.4,965D6-(E1);
17.06.21 11:19:22,0.78,177.1,145.23,179.6,202.59,196.26,180.72,188.3,192.55,177.93,170.76,172.4,199.13,156.12,130.17,164.75,197.69,173.23,153.98,182.67,193.4,166.93,188.3,196.54,,30,965,34,31.35,965D6-(E1);
17.06.21 11:19:37,1.03,190.56,146.55,177.66,217.81,181,204.04,181.55,204.33,175.72,166.38,186.32,197.69,160.96,151.31,180.72,206.07,183.23,166.38,185.76,189.43,174.61,207.23,200.85,,30,965,34,31.32,965D6-(E1);
17.06.21 11:19:52,1.28,188.3,175.44,188.86,202.88,189.43,201.72,208.69,211.33,185.76,160.42,170.48,205.78,184.92,138.95,184.64,202.88,169.11,182.39,182.11,206.36,174.89,204.62,202.59,,30,965,34,31.3,965D6-(E1);
17.06.21 11:20:07,1.53,220.49,177.93,186.6,199.99,183.79,195.97,188.3,206.65,192.26,172.13,184.35,211.91,164.75,139.48,177.66,215.45,177.66,170.21,197.12,203.75,177.1,205.49,196.83,,30,965,34,31.32,965D6-(E1);
17.06.21 11:20:22,1.78,201.43,131.45,196.54,227.98,209.57,214.56,211.91,201.43,195.69,177.38,188.3,206.36,188.01,142.09,178.21,218.41,197.12,185.48,202.59,204.62,191.7,197.69,222.87,,30,965,34,31.33,965D6-(E1);
17.06.21 11:20:37,2.03,202.59,172.4,185.76,234.64,174.61,198.84,183.79,215.45,195.4,171.58,192.26,219.6,164.75,146.81,172.13,222.28,178.77,188.3,203.17,212.5,193.4,217.52,205.2,,30,965,34,31.36,965D6-(E1);
17.06.21 11:20:52,2.28,188.86,166.65,186.04,234.04,197.4,188.01,199.7,220.49,190.56,179.6,175.72,195.11,186.89,144.71,172.4,209.86,183.23,208.4,191.41,204.33,190.84,218.11,206.94,,30,965,34,31.38,965D6-(E1);
17.06.21 11:21:07,2.53,179.05,159.07,190.28,199.13,174.06,182.39,184.64,216.04,179.6,179.32,196.54,204.04,153.98,139.21,178.49,214.27,179.32,174.61,190.56,202.01,184.92,205.78,206.94,,30,965,34,31.4,965D6-(E1);
17.06.21 11:21:22,2.78,211.91,218.41,182.95,209.28,189.43,196.26,206.94,224.97,205.49,188.86,194.83,219.3,183.51,151.85,186.04,221.08,175.99,189.71,210.15,214.27,195.11,211.03,221.98,,30,965,34,31.41,965D6-(E1);
17.06.21 11:21:37,3.03,216.92,189.43,200.85,212.79,202.01,207.52,198.55,218.7,211.33,186.32,211.33,233.73,183.23,167.2,195.97,218.11,189.71,208.4,209.28,211.62,186.32,227.07,225.87,,30,965,34,31.44,965D6-(E1);
17.06.21 11:21:52,3.28,217.22,188.58,189.14,209.57,204.04,195.4,178.21,222.58,198.84,199.13,200.85,214.86,182.95,143.4,174.61,221.68,185.48,195.4,203.17,214.56,194.83,215.45,204.62,,30,965,34,31.47,965D6-(E1);
17.06.21 11:22:07,3.53,206.36,182.95,204.91,211.91,188.86,207.52,178.49,213.09,195.11,168.84,199.41,205.78,152.38,154.78,181,208.98,184.07,190.84,192.26,191.13,185.2,211.03,206.36,,30,965,34,31.51,965D6-(E1);
17.06.21 11:22:22,3.78,199.13,171.03,182.67,206.07,174.89,192.83,191.13,211.03,208.11,171.3,194.54,208.98,171.58,141.82,188.3,207.82,191.13,189.43,213.38,205.78,185.76,220.19,213.09,,30,965,34,31.54,965D6-(E1);
17.06.21 11:22:37,4.03,195.4,203.46,208.69,213.97,211.33,198.84,207.52,217.81,195.4,154.24,194.83,217.22,182.39,144.45,187.73,212.79,165.84,192.26,196.83,220.19,190.56,209.28,203.17,,30,965,34,31.55,965D6-(E1);
17.06.21 11:22:52,4.28,196.54,182.39,208.98,204.04,180.16,188.58,204.62,211.33,173.23,178.49,178.21,211.62,181.27,152.38,196.54,209.57,177.66,178.21,204.04,200.57,191.13,206.07,205.2,,30,965,34,31.58,965D6-(E1);
17.06.21 11:23:07,4.53,235.25,204.62,217.52,237.39,217.81,234.95,207.23,236.78,196.83,191.41,205.2,220.79,212.21,155.85,187.17,230.09,189.71,188.3,213.09,217.81,204.91,226.47,232.52,,30,965,34,31.61,965D6-(E1);
17.06.21 11:23:22,4.78,207.82,189.71,177.1,215.15,184.07,214.56,208.98,213.68,197.98,170.76,203.46,205.2,171.03,155.05,184.35,215.74,180.16,207.82,195.97,211.91,197.98,214.86,220.19,,30,965,34,31.64,965D6-(E1);
17.06.21 11:23:37,5.03,211.62,228.28,190.28,224.97,200.28,191.98,210.45,227.07,195.69,202.01,193.69,214.86,171.58,150.25,208.4,223.77,181,187.73,195.97,209.57,189.43,212.79,216.63,,30,965,34,31.65,965D6-(E1);
17.06.21 11:23:52,5.28,207.82,179.05,174.06,232.52,179.6,174.61,193.4,203.17,175.99,161.77,188.3,195.97,157.19,140.78,183.79,191.41,184.64,171.03,197.98,204.91,177.66,204.62,202.3,,30,965,34,31.68,965D6-(E1);
17.06.21 11:24:07,5.53,192.55,185.2,182.95,207.23,184.07,175.16,208.98,216.92,194.54,189.43,201.43,203.46,166.38,148.13,191.98,214.27,185.2,193.12,195.69,206.65,194.26,207.52,202.01,,30,965,34,31.71,965D6-(E1);
17.06.21 11:24:22,5.78,200.85,180.16,186.89,201.72,186.89,184.35,206.36,219.3,196.83,153.98,190.28,212.79,164.48,142.87,208.11,205.78,181.55,173.51,202.01,199.13,197.12,206.07,197.98,,30,965,34,31.75,965D6-(E1);
17.06.21 11:24:37,6.03,212.79,194.26,223.17,209.28,168.29,198.55,210.74,207.23,181.27,178.49,206.07,223.77,177.93,149.19,175.99,208.98,180.44,188.3,191.41,204.04,182.67,210.74,203.17,,30,965,34,31.75,965D6-(E1);
17.06.21 11:24:52,6.28,186.89,197.4,190.28,202.88,190.84,194.83,194.26,204.62,202.88,180.16,195.97,211.33,165.56,137.91,186.32,203.75,191.41,179.32,202.3,208.69,183.23,210.45,208.11,,30,965,34,31.78,965D6-(E1);
17.06.21 11:25:07,6.53,202.88,213.38,186.04,227.68,197.4,193.4,212.5,213.97,177.93,188.58,188.3,202.01,189.71,150.25,194.83,211.33,182.95,199.99,199.41,196.54,190.56,212.21,207.82,,30,965,34,31.79,965D6-(E1);
17.06.21 11:25:22,6.78,212.79,204.33,209.28,231,195.69,214.56,218.7,224.37,193.4,186.32,198.55,236.17,181.83,171.85,204.33,220.19,188.3,215.15,208.4,221.08,199.99,227.98,228.28,,30,965,34,31.82,965D6-(E1);
17.06.21 11:25:37,7.03,216.63,231.3,196.54,233.12,205.2,211.03,215.74,215.45,191.7,217.81,182.95,221.98,181.55,156.92,192.55,220.79,196.54,193.4,206.94,226.47,202.3,219.3,218.11,,30,965,34,31.83,965D6-(E1);
17.06.21 11:25:52,7.28,195.11,207.52,221.98,227.98,194.54,194.54,179.32,228.28,191.13,181.27,189.71,215.15,210.45,141.82,210.15,213.38,186.32,210.74,202.59,213.38,195.69,221.68,216.63,,30,965,34,31.86,965D6-(E1);
17.06.21 11:26:07,7.53,217.52,232.52,218.41,217.81,177.38,213.09,209.57,224.97,195.97,187.45,190.84,221.98,171.58,154.51,209.86,216.33,184.92,190.28,211.62,225.27,205.2,213.38,219.6,,30,965,34,31.89,965D6-(E1);
17.06.21 11:26:22,7.78,204.04,210.15,212.79,222.87,197.4,206.07,199.7,224.07,186.89,193.4,214.27,222.58,165.29,165.29,195.69,223.77,196.83,195.69,212.5,204.04,189.43,212.21,208.98,,30,965,34,31.9,965D6-(E1);
17.06.21 11:26:37,8.03,224.37,213.09,215.15,237.09,204.04,210.74,213.68,222.58,226.47,219.89,207.52,226.47,180.44,153.44,223.77,229.18,182.67,204.04,209.28,224.97,198.55,225.87,232.21,,30,965,34,31.93,965D6-(E1);
17.06.21 11:26:52,8.28,208.11,203.17,217.81,227.98,186.89,203.75,210.15,229.49,206.07,189.14,203.17,214.86,189.14,160.96,204.62,212.21,212.21,186.04,209.57,213.38,198.55,219.3,212.79,,30,965,34,31.94,965D6-(E1);
17.06.21 11:27:07,8.53,192.83,201.14,197.69,206.07,167.2,181.27,208.69,204.04,183.23,178.21,183.79,201.14,184.07,147.61,199.7,213.97,185.48,184.07,189.14,201.72,182.39,200.28,202.3,,30,965,34,31.97,965D6-(E1);
17.06.21 11:27:22,8.78,201.43,177.93,183.51,193.12,192.55,202.3,200.85,217.81,170.48,190.84,192.83,197.98,157.73,129.4,207.82,206.36,186.32,183.51,202.88,200.57,190.28,206.94,211.91,,30,965,34,31.99,965D6-(E1);
17.06.21 11:27:37,9.03,217.22,178.77,219.3,214.86,218.11,200.57,204.33,211.03,209.86,209.86,194.83,205.2,182.11,150.52,197.12,217.81,189.43,195.11,201.72,220.79,192.55,224.37,210.15,,30,965,34,32.01,965D6-(E1);
17.06.21 11:27:52,9.28,213.68,206.94,217.52,251.01,199.99,200.85,196.26,223.47,187.45,199.99,199.7,216.63,165.84,155.05,214.86,222.28,192.26,208.98,212.5,210.45,198.26,226.47,216.92,,30,965,34,32.04,965D6-(E1);
17.06.21 11:28:07,9.53,230.09,199.99,193.4,209.86,179.6,185.48,213.09,232.52,203.75,211.33,201.14,222.58,181.55,157.99,208.98,219.3,185.76,190.28,217.81,213.97,193.97,228.28,219,,30,965,34,32.04,965D6-(E1);
17.06.21 11:28:22,9.78,214.27,224.97,214.56,224.37,232.52,207.52,200.57,226.47,219.6,216.92,200.28,225.57,182.11,155.85,217.52,227.37,196.54,196.54,227.68,224.07,201.72,220.79,222.28,,30,965,34,32.07,965D6-(E1);
17.06.21 11:28:37,10.03,210.15,195.11,191.98,214.86,203.75,212.21,219.3,219.3,184.92,202.59,195.97,217.22,189.71,155.31,207.23,222.28,196.54,193.69,199.13,230.09,193.97,214.56,216.33,,30,965,34,32.08,965D6-(E1);
17.06.21 11:28:52,10.28,212.21,208.98,207.82,218.41,204.62,191.7,195.4,225.27,190.84,174.33,199.13,211.03,192.26,156.12,197.98,219.6,189.43,197.98,217.81,208.11,205.78,223.17,218.7,,30,965,34,32.11,965D6-(E1);
17.06.21 11:29:07,10.53,201.14,209.86,206.65,208.4,176.27,217.81,199.41,208.69,190.56,203.75,177.93,203.17,177.93,151.85,196.26,213.97,190.56,198.84,186.04,199.99,196.83,218.41,205.78,,30,965,34,32.11,965D6-(E1);
17.06.21 11:29:22,10.78,208.4,224.37,208.11,211.91,183.23,203.75,197.69,221.38,213.68,207.23,188.86,208.4,169.39,152.91,209.57,212.21,180.16,198.26,206.07,215.74,200.57,206.94,208.11,,30,965,34,32.14,965D6-(E1);
17.06.21 11:29:37,11.03,204.33,205.78,215.45,212.5,199.13,185.48,207.52,210.74,208.11,165.02,196.83,207.52,167.74,144.71,195.97,207.23,183.79,199.13,192.26,213.09,195.4,203.75,214.86,,30,965,34,32.16,965D6-(E1);
17.06.21 11:29:52,11.28,198.55,216.92,205.2,227.07,209.57,194.54,210.15,228.28,193.69,199.7,200.57,220.49,190.28,152.38,218.7,215.45,188.86,201.43,207.82,218.11,195.4,216.33,209.28,,30,965,34,32.18,965D6-(E1);
17.06.21 11:30:07,11.53,205.78,195.11,190.84,211.91,189.14,207.52,196.54,210.74,185.76,196.26,191.41,213.38,188.3,144.71,197.4,208.11,177.1,182.11,192.55,204.91,187.73,206.07,215.74,,30,965,34,32.19,965D6-(E1);
17.06.21 11:30:22,11.78,195.11,179.6,195.4,210.15,188.01,197.12,209.28,215.74,185.76,210.45,189.71,225.57,171.85,143.13,204.33,216.63,173.78,180.16,196.54,204.33,187.45,209.86,217.81,,30,965,34,32.22,965D6-(E1);
17.06.21 11:30:37,12.03,188.58,202.01,203.75,209.86,174.89,210.15,199.13,209.86,175.16,193.69,188.86,209.57,184.07,148.13,193.12,215.74,185.2,190.84,201.14,211.03,188.3,205.2,201.14,,30,965,34,32.22,965D6-(E1);
17.06.21 11:30:52,12.28,212.79,213.68,220.79,229.79,195.97,193.12,202.59,224.67,202.01,202.88,191.7,210.45,183.23,149.19,196.54,224.97,190.28,202.3,204.62,223.17,204.91,219,208.4,,30,965,34,32.26,965D6-(E1);
17.06.21 11:31:08,12.55,213.97,201.14,220.49,216.33,195.11,224.07,195.11,217.81,182.95,182.11,188.86,216.63,174.06,152.11,200.57,210.45,179.6,190.56,195.69,199.13,189.71,206.65,200.85,,30,965,34,32.26,965D6-(E1);
17.06.21 11:31:23,12.8,226.47,228.58,207.23,228.58,187.73,208.4,212.21,229.79,195.97,209.28,193.69,207.82,186.89,136.36,211.62,216.92,192.83,194.54,200.57,213.38,199.13,209.28,208.11,,30,965,34,32.29,965D6-(E1);
17.06.21 11:31:38,13.05,198.26,205.2,193.4,188.01,176.55,180.44,207.23,211.62,184.35,199.99,182.67,196.83,193.97,144.45,199.13,206.07,168.29,208.11,204.33,202.3,189.99,205.2,199.99,,30,965,34,32.29,965D6-(E1);
17.06.21 11:31:53,13.3,226.47,217.22,260.15,222.28,212.79,218.11,208.4,216.04,208.98,215.45,204.04,224.37,215.45,149.46,213.68,222.28,191.7,192.83,205.49,225.57,198.84,226.17,212.79,,30,965,34,32.32,965D6-(E1);
17.06.21 11:32:08,13.55,200.85,184.35,199.99,230.09,190.28,216.92,199.41,234.34,186.32,215.74,188.58,208.11,162.58,144.97,206.65,215.15,185.48,199.41,193.4,206.65,193.4,208.69,213.97,,30,965,34,32.35,965D6-(E1);
17.06.21 11:32:23,13.8,198.26,219.89,224.07,225.57,189.99,201.72,227.68,219.6,198.55,204.33,204.91,218.11,177.38,158.26,221.68,214.86,197.12,199.99,198.55,216.63,201.43,219.3,217.22,,30,965,34,32.36,965D6-(E1);
17.06.21 11:32:38,14.05,206.36,187.73,194.26,217.52,179.05,195.4,187.17,206.94,182.67,199.41,187.45,199.99,162.58,142.61,204.04,209.57,180.16,189.99,202.01,209.28,189.71,208.69,201.72,,30,965,34,32.38,965D6-(E1);
17.06.21 11:32:53,14.3,207.82,205.78,199.41,229.79,207.52,213.38,213.68,225.27,197.12,210.15,204.62,219.3,199.99,163.12,211.33,227.37,195.4,202.88,212.21,216.04,201.14,231.3,219.3,,30,965,34,32.39,965D6-(E1);
