Measurement Name :,20210616_Pairs_27C,,Generated On :,"16/06/2021, 17:03:49",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,
16.06.21 15:57:33,4.28,187.82,195.98,193.85,199.94,200.56,196.28,189.92,190.83,211.98,140.85,125.09,171.79,166.24,168.86,192.64,175.91,170.91,160.16,189.32,169.45,158.15,156.14,171.79,,27,965,34,29.3,965D6-(E1);
16.06.21 15:57:48,4.53,209.19,210.12,211.67,206.4,197.5,191.13,187.22,215.73,190.53,172.96,119.92,185.12,194.46,179.75,214.79,183.03,179.16,174.73,196.59,186.92,174.73,165.37,182.73,,27,965,34,29.31,965D6-(E1);
16.06.21 15:58:04,4.8,208.26,222.66,215.42,211.05,204.55,212.61,187.52,221.39,203.63,153.85,121.82,172.08,204.55,189.62,221.71,175.91,181.84,170.62,195.37,202.7,170.91,154.14,184.22,,27,965,34,29.33,965D6-(E1);
16.06.21 15:58:19,5.05,202.7,209.5,222.97,200.25,203.93,216.36,205.17,211.98,222.34,164.79,118.03,193.25,208.26,201.78,184.22,165.08,173.26,170.32,184.22,190.53,166.24,159.87,178.27,,27,965,34,29.34,965D6-(E1);
16.06.21 15:58:34,5.3,211.36,208.88,219.19,224.88,212.61,212.61,184.82,217.3,220.13,179.16,128.11,195.37,200.56,206.71,215.42,174.73,184.52,177.38,198.72,192.34,182.13,168.86,181.84,,27,965,34,29.35,965D6-(E1);
16.06.21 15:58:49,5.55,192.64,193.25,199.03,201.48,196.59,215.11,192.04,195.37,182.13,153.57,115.33,172.08,183.33,181.24,204.24,168.86,176.2,170.32,189.02,191.73,167.99,161.31,175.32,,27,965,34,29.35,965D6-(E1);
16.06.21 15:59:04,5.8,207.95,203.01,224.56,214.17,199.94,230.94,202.4,203.63,218.56,161.89,125.37,182.73,194.16,198.11,185.72,191.73,184.22,179.46,205.78,204.86,177.98,169.45,180.65,,27,965,34,29.38,965D6-(E1);
16.06.21 15:59:19,6.05,218.87,205.78,211.67,205.78,195.67,197.81,183.62,200.86,204.86,146.76,106.51,175.32,181.54,167.4,210.12,166.82,176.79,178.27,209.81,180.35,168.57,160.74,174.73,,27,965,34,29.38,965D6-(E1);
16.06.21 15:59:34,6.3,175.91,166.24,188.12,177.68,197.81,209.5,170.03,190.22,191.73,108.11,88.44,171.5,185.12,173.55,157,160.16,165.37,148.45,180.05,180.65,158.43,147.6,158.72,,27,965,34,29.38,965D6-(E1);
16.06.21 15:59:49,6.55,202.4,210.12,220.45,203.01,205.47,210.12,196.59,212.29,199.03,168.86,134.17,172.08,157.57,194.16,217.3,176.79,181.84,172.96,193.55,185.12,170.91,156.14,169.45,,27,965,34,29.39,965D6-(E1);
16.06.21 16:00:04,6.8,194.46,193.55,194.16,192.94,188.12,193.55,162.76,208.88,169.45,164.5,96.5,166.82,167.4,170.03,197.81,175.02,167.4,159.59,180.94,173.55,159.87,155.28,153,,27,965,34,29.41,965D6-(E1);
16.06.21 16:00:19,7.05,212.61,210.74,239.32,222.97,230.94,228.7,196.28,222.97,197.5,156.14,120.47,210.74,196.89,206.09,241.59,189.02,219.19,187.82,229.34,199.33,188.42,169.74,189.02,,27,965,34,29.42,965D6-(E1);
16.06.21 16:00:34,7.3,198.42,173.26,217.3,195.67,197.5,200.25,181.54,211.05,198.72,136.67,123.73,172.38,179.16,175.91,184.82,157,171.5,167.99,194.46,179.16,165.08,154.71,171.2,,27,965,34,29.42,965D6-(E1);
16.06.21 16:00:49,7.55,211.36,208.57,228.38,207.95,217.3,226.47,203.93,211.98,214.17,155.57,141.41,190.22,195.07,172.96,191.73,176.2,180.05,174.14,210.43,196.28,183.92,172.08,181.84,,27,965,34,29.42,965D6-(E1);
16.06.21 16:01:04,7.8,211.36,231.58,234.15,229.66,236.73,233.18,229.34,230.94,229.02,164.5,151.57,200.86,220.45,216.99,236.41,199.33,209.19,191.73,209.19,205.47,197.81,171.79,195.98,,27,965,34,29.42,965D6-(E1);
16.06.21 16:01:19,8.05,203.93,222.03,222.97,199.64,215.42,203.63,206.09,201.17,197.81,146.76,127.01,179.16,204.24,188.72,202.09,192.34,178.27,175.02,206.09,185.42,177.68,159.3,167.11,,27,965,34,29.44,965D6-(E1);
16.06.21 16:01:34,8.3,194.16,193.55,216.04,194.76,208.88,196.89,201.17,193.25,191.43,135.56,115.6,183.33,204.86,197.81,198.11,178.86,166.82,168.28,194.76,186.62,172.38,160.16,169.15,,27,965,34,29.42,965D6-(E1);
16.06.21 16:01:49,8.55,183.92,229.66,223.93,217.3,195.67,216.04,207.64,208.88,203.01,146.76,122.64,177.98,186.62,188.12,195.07,170.62,168.28,162.76,203.01,178.86,177.38,151.29,175.32,,27,965,34,29.42,965D6-(E1);
16.06.21 16:02:04,8.8,211.98,228.7,225.19,213.85,213.23,246.82,200.86,212.29,209.5,180.05,128.11,186.32,191.13,189.62,202.4,186.02,203.63,188.42,206.4,207.02,195.37,172.67,199.64,,27,965,34,29.42,965D6-(E1);
16.06.21 16:02:19,9.05,204.86,228.7,210.74,211.36,210.43,208.88,204.86,205.47,211.36,160.16,116.41,175.61,194.16,204.86,232.54,201.17,182.43,185.12,222.66,196.59,188.12,169.45,185.12,,27,965,34,29.42,965D6-(E1);
16.06.21 16:02:35,9.32,199.33,192.34,209.81,224.24,234.79,220.45,209.81,224.56,211.05,175.61,137.5,186.92,208.26,219.82,230.94,208.88,181.54,194.16,218.56,209.19,195.98,172.96,196.59,,27,965,34,29.42,965D6-(E1);
16.06.21 16:02:50,9.57,208.57,206.4,235.44,225.19,233.18,225.19,203.32,220.45,191.43,175.32,125.64,200.25,214.17,203.01,213.23,194.76,188.72,186.62,235.76,195.67,196.89,170.03,191.13,,27,965,34,29.42,965D6-(E1);
16.06.21 16:03:05,9.82,196.59,218.24,212.29,214.48,201.78,202.4,195.98,213.23,215.42,177.68,120.47,191.13,193.25,198.72,204.86,170.32,184.52,172.08,225.19,184.52,183.62,165.37,185.72,,27,965,34,29.39,965D6-(E1);
16.06.21 16:03:20,10.07,162.76,223.61,179.75,174.14,183.62,177.09,168.86,173.55,155.57,154.99,87.93,156.43,160.74,177.38,190.22,147.04,151.29,141.69,172.38,170.62,155.85,126.73,156.43,,27,965,34,29.39,965D6-(E1);
16.06.21 16:03:35,10.32,223.93,228.7,213.54,208.26,240.29,230.62,232.22,211.98,213.85,170.62,116.41,187.52,207.95,195.07,212.92,181.24,185.72,188.72,222.03,212.92,196.89,172.67,202.7,,27,965,34,29.39,965D6-(E1);
16.06.21 16:03:50,10.57,206.4,214.79,199.94,196.89,204.24,212.29,182.43,203.01,173.84,146.19,92.33,169.74,168.28,178.27,191.73,164.5,170.91,154.99,202.7,164.21,176.5,145.35,161.6,,27,965,34,29.39,965D6-(E1);
16.06.21 16:04:05,10.82,205.78,195.37,225.83,219.5,216.04,214.48,203.01,226.79,182.13,138.9,122.64,187.22,216.99,209.19,204.24,170.91,180.65,172.38,215.11,196.28,193.25,175.02,188.72,,27,965,34,29.41,965D6-(E1);
16.06.21 16:04:20,11.07,194.16,238.67,217.93,222.66,231.58,239,219.19,224.24,217.93,170.62,138.9,203.93,204.55,202.09,198.11,177.68,188.72,175.61,224.56,198.42,199.94,167.7,191.43,,27,965,34,29.41,965D6-(E1);
16.06.21 16:04:35,11.32,232.22,206.71,219.82,218.56,221.71,229.02,214.48,215.73,188.72,150.72,126.73,187.52,226.15,179.46,184.82,193.55,187.22,175.91,222.97,197.81,201.78,168.86,193.55,,27,965,34,29.39,965D6-(E1);
16.06.21 16:04:50,11.57,192.64,210.12,213.54,216.99,228.7,199.03,213.23,208.57,196.28,175.91,109.17,193.85,192.34,185.72,210.43,183.92,183.92,198.11,204.24,187.82,192.64,164.79,185.42,,27,965,34,29.38,965D6-(E1);
16.06.21 16:05:05,11.82,228.38,227.74,212.92,235.76,238.02,221.39,233.18,247.15,233.18,157.57,145.35,203.93,201.48,189.92,216.04,183.92,199.94,184.52,233.51,218.87,208.88,185.72,208.26,,27,965,34,29.39,965D6-(E1);
16.06.21 16:05:20,12.07,212.61,210.74,226.47,213.23,233.51,223.61,209.81,215.73,222.97,162.47,131.68,206.09,188.42,225.83,223.29,183.33,195.37,185.12,220.45,201.17,199.64,171.79,197.2,,27,965,34,29.39,965D6-(E1);
16.06.21 16:05:35,12.32,211.67,213.54,219.19,196.89,217.3,243.55,198.72,216.67,199.03,160.45,129.2,182.73,198.42,192.04,211.36,177.09,199.33,166.24,207.64,201.17,196.28,154.71,183.92,,27,965,34,29.41,965D6-(E1);
16.06.21 16:05:50,12.57,187.52,200.56,208.88,197.5,221.39,184.52,192.64,192.94,183.92,144.5,128.38,183.03,165.66,179.16,186.02,174.43,182.73,160.45,183.03,170.62,183.33,156.14,170.62,,27,965,34,29.41,965D6-(E1);
16.06.21 16:06:05,12.82,205.47,222.03,231.9,217.93,223.61,232.86,206.71,211.36,195.98,150.15,137.78,186.62,208.26,180.94,186.02,172.96,187.82,179.75,217.61,191.43,195.98,160.74,186.92,,27,965,34,29.42,965D6-(E1);
16.06.21 16:06:20,13.07,192.34,233.83,204.55,208.88,229.98,190.83,210.74,224.88,213.23,149.02,123.73,178.86,212.29,191.13,198.42,181.84,177.68,168.57,219.5,195.98,199.94,158.43,187.52,,27,965,34,29.42,965D6-(E1);
16.06.21 16:06:35,13.32,196.59,213.54,194.76,202.7,210.12,199.94,200.56,207.95,199.64,133.34,106.51,170.62,177.09,188.72,224.24,166.82,178.86,156.14,199.94,188.12,187.82,154.42,178.57,,27,965,34,29.42,965D6-(E1);
16.06.21 16:06:50,13.57,232.22,217.3,219.82,207.95,225.51,247.48,199.33,220.13,216.36,150.44,123.73,190.53,195.07,220.76,202.7,185.42,197.5,186.02,196.28,213.54,195.07,163.05,184.22,,27,965,34,29.42,965D6-(E1);
16.06.21 16:07:05,13.82,204.86,199.64,199.64,202.7,218.87,200.86,203.01,195.98,189.02,163.92,107.57,171.79,193.55,222.34,210.43,171.2,187.82,184.82,209.81,169.74,191.43,158.72,183.03,,27,965,34,29.44,965D6-(E1);
16.06.21 16:07:20,14.07,228.38,256.07,213.85,221.08,219.5,192.64,220.76,214.17,219.5,158.72,152.14,179.75,216.67,205.17,209.5,177.09,189.02,179.16,225.83,202.09,195.07,165.66,189.62,,27,965,34,29.44,965D6-(E1);
16.06.21 16:07:35,14.32,195.98,198.72,200.25,205.78,203.93,195.67,228.06,198.42,197.5,152.14,138.9,178.27,177.09,189.62,171.2,166.82,183.62,160.74,207.95,173.55,181.84,149.02,183.62,,27,965,34,29.46,965D6-(E1);
16.06.21 16:07:50,14.57,189.32,212.61,186.32,195.98,200.86,215.42,204.86,198.11,189.32,140.29,119.38,181.24,172.96,166.24,185.12,168.57,166.24,157.29,196.89,174.73,177.98,155.28,165.37,,27,965,34,29.44,965D6-(E1);
16.06.21 16:08:05,14.82,193.55,197.5,206.09,207.02,207.33,204.86,213.85,204.24,199.03,153.57,120.74,188.42,192.64,191.13,219.19,159.87,180.94,171.79,207.02,201.78,184.52,155.85,168.57,,27,965,34,29.46,965D6-(E1);
16.06.21 16:08:20,15.07,225.83,252.09,213.54,203.01,257.4,226.79,212.92,215.11,198.11,151,157.57,195.07,191.43,206.4,208.88,177.98,201.17,184.52,214.17,211.67,199.94,163.05,186.02,,27,965,34,29.46,965D6-(E1);
16.06.21 16:08:35,15.32,216.67,233.83,224.56,214.79,203.93,210.74,212.29,200.86,188.42,147.89,140.29,181.24,186.32,209.19,185.42,184.82,189.32,179.16,207.95,197.5,198.72,159.59,183.03,,27,965,34,29.46,965D6-(E1);
16.06.21 16:08:50,15.57,199.94,239,202.09,203.32,214.48,223.61,222.66,207.95,215.73,152.71,115.33,195.98,204.24,184.52,196.89,188.42,176.5,180.05,209.81,197.5,202.7,163.92,184.22,,27,965,34,29.46,965D6-(E1);
16.06.21 16:09:05,15.82,201.78,215.42,223.29,205.47,219.19,204.86,210.43,209.81,175.91,170.62,121.82,185.42,208.57,200.56,222.97,179.16,195.07,176.79,207.33,195.67,198.42,161.6,189.92,,27,965,34,29.46,965D6-(E1);
16.06.21 16:09:20,16.07,223.93,229.98,239,221.08,243.22,226.47,230.62,243.55,225.83,170.91,145.91,212.29,211.36,216.99,211.36,211.67,209.5,184.82,231.9,224.88,218.24,189.62,209.5,,27,965,34,29.46,965D6-(E1);
16.06.21 16:09:35,16.32,220.76,225.83,192.04,213.54,234.47,205.17,211.36,215.11,192.34,155.57,142.25,202.4,226.79,211.98,224.56,196.28,198.72,181.24,225.51,202.7,198.42,159.59,189.62,,27,965,34,29.45,965D6-(E1);
16.06.21 16:09:50,16.57,204.55,222.03,211.05,206.09,208.26,191.73,218.87,204.24,181.54,160.16,126.46,181.54,187.22,197.2,185.12,186.32,185.42,183.92,204.24,181.54,195.67,162.18,185.72,,27,965,34,29.44,965D6-(E1);
16.06.21 16:10:05,16.82,223.93,272.56,220.13,234.15,244.2,250.77,234.47,244.86,186.62,159.87,166.82,206.09,227.74,219.19,252.09,195.67,213.85,211.36,251.43,219.5,218.87,184.52,218.87,,27,965,34,29.44,965D6-(E1);
16.06.21 16:10:20,17.07,239.64,223.29,236.73,219.19,265.78,246.17,247.48,232.54,229.02,183.62,141.97,216.99,231.58,192.94,236.08,191.13,215.73,200.25,249.45,210.74,221.39,175.61,208.57,,27,965,34,29.44,965D6-(E1);
16.06.21 16:10:35,17.32,227.1,238.35,226.47,231.9,217.61,240.94,224.24,229.34,230.94,180.35,139.46,203.01,199.03,229.34,264.1,187.82,192.94,198.11,216.36,207.95,209.5,179.75,207.33,,27,965,34,29.42,965D6-(E1);
16.06.21 16:10:50,17.57,230.3,214.79,231.58,219.5,240.94,265.11,222.34,224.56,178.57,158.43,121.28,197.5,203.63,207.64,233.51,189.62,193.25,185.42,218.87,220.45,211.98,170.91,203.63,,27,965,34,29.42,965D6-(E1);
16.06.21 16:11:05,17.82,205.17,218.56,221.39,219.82,232.86,248.14,207.95,214.79,192.94,154.14,149.87,188.12,208.26,189.92,214.79,201.17,188.12,180.94,207.95,194.76,203.32,167.11,194.46,,27,965,34,29.42,965D6-(E1);
16.06.21 16:11:20,18.07,211.36,227.42,190.83,203.32,195.07,235.44,195.37,189.02,189.02,143.66,122.1,180.65,191.43,213.85,181.84,177.68,177.68,175.61,220.45,167.11,196.89,154.99,180.65,,27,965,34,29.42,965D6-(E1);
16.06.21 16:11:35,18.32,211.05,223.29,221.71,211.67,227.1,232.54,213.23,203.63,208.88,151.29,125.64,202.4,201.48,200.56,176.79,180.05,183.92,178.86,222.34,205.17,208.26,159.3,189.02,,27,965,34,29.42,965D6-(E1);
16.06.21 16:11:50,18.57,208.88,219.5,209.5,197.2,197.81,189.32,222.97,189.32,223.93,143.1,143.66,183.33,199.03,176.5,203.32,177.09,189.92,161.31,202.4,176.79,189.92,150.15,188.72,,27,965,34,29.41,965D6-(E1);
16.06.21 16:12:05,18.82,230.62,211.05,227.74,203.63,236.73,224.56,225.19,225.83,228.06,147.89,154.71,205.47,204.24,196.89,218.56,186.92,191.73,192.34,221.39,198.42,206.09,165.66,193.55,,27,965,34,29.42,965D6-(E1);
16.06.21 16:12:20,19.07,192.94,201.17,193.25,194.16,189.02,201.78,180.94,178.57,194.16,133.62,111.31,168.57,174.14,200.25,201.48,165.95,155.28,156.71,204.24,167.7,175.61,133.89,165.66,,27,965,34,29.41,965D6-(E1);
16.06.21 16:12:35,19.32,194.46,216.36,207.33,205.47,241.92,199.03,218.87,222.97,216.04,159.3,138.62,201.78,214.17,212.29,223.93,162.18,181.54,175.02,213.23,199.03,203.01,154.14,193.55,,27,965,34,29.41,965D6-(E1);
16.06.21 16:12:50,19.57,217.93,242.25,227.74,216.67,235.76,223.29,222.97,206.4,201.48,181.24,128.93,209.19,225.83,216.36,212.61,197.81,203.32,183.62,200.56,179.16,210.43,163.34,195.37,,27,965,34,29.42,965D6-(E1);
16.06.21 16:13:05,19.82,237.7,209.81,234.79,229.98,246.82,203.32,232.86,226.47,209.5,180.05,127.01,211.36,205.47,207.33,256.4,206.71,202.09,193.85,229.34,195.07,215.73,167.4,209.81,,27,965,34,29.42,965D6-(E1);
16.06.21 16:13:20,20.07,213.54,253.74,220.45,220.76,235.44,199.33,206.71,213.23,195.07,165.08,130.3,189.02,189.92,192.34,250.11,193.55,190.83,184.82,228.06,198.72,209.81,166.24,198.72,,27,965,34,29.42,965D6-(E1);
16.06.21 16:13:35,20.32,198.72,243.22,216.04,211.05,206.09,203.93,199.94,201.48,218.24,151,140.01,183.33,215.11,196.28,210.43,184.22,203.32,184.82,230.62,189.02,210.43,163.34,188.72,,27,965,34,29.42,965D6-(E1);
16.06.21 16:13:50,20.57,216.99,228.7,215.42,224.24,211.36,226.15,199.64,207.02,199.33,152.14,132.79,199.64,217.93,192.94,230.94,178.86,184.52,175.32,224.24,180.65,203.63,169.45,194.76,,27,965,34,29.42,965D6-(E1);
16.06.21 16:14:05,20.82,266.79,266.12,250.11,256.73,272.9,241.92,259.74,255.4,262.75,180.65,179.16,237.38,245.18,251.1,276.32,213.85,225.51,220.76,234.79,240.29,245.84,199.64,221.39,,27,965,34,29.42,965D6-(E1);
16.06.21 16:14:20,21.07,211.67,221.08,199.03,211.67,211.98,220.13,215.11,198.11,197.2,169.45,140.85,184.52,193.85,199.94,208.26,182.13,190.83,172.08,202.4,189.92,197.81,161.03,191.13,,27,965,34,29.44,965D6-(E1);
16.06.21 16:14:35,21.32,196.89,221.71,216.36,217.61,217.61,209.5,223.93,218.24,211.98,164.79,143.1,190.53,207.64,195.37,226.47,192.34,190.22,187.82,228.06,186.32,208.88,164.21,192.34,,27,965,34,29.42,965D6-(E1);
16.06.21 16:14:50,21.57,232.22,248.14,253.08,239.97,261.07,238.35,246.82,231.9,251.76,169.45,169.45,223.29,231.58,203.01,256.73,204.86,231.58,197.5,236.73,220.13,234.47,189.02,210.74,,27,965,34,29.45,965D6-(E1);
16.06.21 16:15:05,21.82,208.26,253.41,224.24,229.98,224.88,269.5,230.62,227.1,247.48,180.05,149.87,215.42,211.98,217.61,245.84,195.07,211.98,184.82,235.76,207.33,213.85,169.74,206.4,,27,965,34,29.44,965D6-(E1);
16.06.21 16:15:20,22.07,192.64,195.07,205.47,216.67,209.5,201.78,219.5,206.71,200.86,151.57,94.41,212.29,220.45,191.43,208.26,178.57,179.16,167.11,207.02,183.62,198.11,156.71,188.72,,27,965,34,29.44,965D6-(E1);
16.06.21 16:15:35,22.32,206.71,172.67,203.32,202.09,220.13,199.03,211.67,210.74,190.22,133.06,125.37,188.72,193.85,181.54,211.67,179.46,186.92,184.52,204.24,196.59,202.09,147.32,189.32,,27,965,34,29.42,965D6-(E1);
16.06.21 16:15:50,22.57,219.5,225.19,233.18,234.79,247.81,224.56,235.76,213.54,191.43,155.28,114.79,221.39,226.47,210.43,255.4,208.88,190.83,186.92,240.94,191.13,215.73,174.43,197.81,,27,965,34,29.42,965D6-(E1);
16.06.21 16:16:05,22.82,202.4,213.85,201.78,196.89,214.79,211.36,218.24,211.05,188.42,144.78,109.7,182.73,199.33,192.64,221.08,181.54,192.64,160.74,187.22,182.13,199.94,155.57,171.79,,27,965,34,29.42,965D6-(E1);
16.06.21 16:16:20,23.07,196.28,192.04,202.4,193.25,221.08,208.26,208.88,187.82,186.32,147.32,128.38,205.17,190.83,182.13,212.92,175.02,188.42,157.29,195.98,175.91,201.48,154.14,177.09,,27,965,34,29.42,965D6-(E1);
16.06.21 16:16:35,23.32,205.78,246.17,205.17,209.5,231.58,195.67,226.79,212.61,222.97,142.81,128.93,194.46,213.54,211.36,227.42,172.08,195.67,158.72,206.09,191.13,217.93,162.18,194.16,,27,965,34,29.41,965D6-(E1);
16.06.21 16:16:50,23.57,190.53,208.26,202.4,200.56,227.74,205.17,219.5,202.09,183.62,144.5,126.19,192.64,196.59,182.73,201.48,161.03,179.46,157.57,205.47,172.67,197.2,149.02,176.2,,27,965,34,29.39,965D6-(E1);
16.06.21 16:17:05,23.82,189.62,162.76,202.09,198.11,197.5,206.4,181.54,191.73,152.43,113.72,127.83,177.68,200.56,183.62,181.54,161.31,159.87,157,185.12,167.4,189.92,138.62,169.15,,27,965,34,29.39,965D6-(E1);
16.06.21 16:17:20,24.07,182.73,213.23,200.56,171.79,199.64,198.42,187.82,180.35,183.33,106.51,115.87,159.87,173.55,185.12,192.34,150.72,167.7,154.99,195.37,156.43,183.92,137.78,164.5,,27,965,34,29.39,965D6-(E1);
