tris.date,mVTris,Ttris
20240614,-65.9,25.52
20240614,-65.3,26.07
20240614,-64.9,26.45
20240614,-64.1,27.21
20240614,-63.2,27.96
20240614,-62.7,28.44
20240614,-61.7,29.13
20240614,-60.8,29.98
20240614,-60,30.52
20240614,-58.4,31.05
