Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
18.06.21 17:16:29,45.05,222.87,214.56,216.92,229.49,226.17,216.33,221.38,228.88,205.49,215.45,224.37,237.09,214.27,216.04,241.38,221.38,209.57,198.84,214.86,222.87,215.74,203.46,242.93,227.68,,30,965,34,32.41,
18.06.21 17:16:44,45.3,222.28,215.74,217.22,231,224.97,217.22,220.49,228.28,205.78,214.56,223.17,237.39,213.09,215.15,241.08,220.49,208.98,198.84,215.15,222.28,215.45,203.46,243.54,227.37,,30,965,34,32.41,
18.06.21 17:16:59,45.55,221.98,214.86,217.22,231.3,225.27,215.15,219.89,227.68,205.2,212.5,221.68,235.56,211.91,213.97,240.77,220.49,208.69,198.26,213.97,221.68,215.15,202.88,242,227.07,,30,965,34,32.4,
18.06.21 17:17:14,45.8,220.79,214.86,218.11,231,223.47,214.56,219.89,227.68,205.78,213.38,222.28,234.95,211.03,213.38,240.46,220.79,207.82,198.26,211.91,220.49,215.15,203.46,240.15,227.37,,30,965,34,32.38,
18.06.21 17:17:29,46.05,219.3,214.56,217.22,229.49,222.28,214.86,218.41,226.77,205.49,213.09,221.68,234.04,209.57,212.21,239.54,220.49,207.52,197.98,210.74,219.89,215.15,202.59,240.46,227.07,,30,965,34,32.4,
18.06.21 17:17:44,46.3,219,214.86,216.63,229.79,221.68,212.5,215.74,226.77,205.2,213.97,220.19,233.43,208.4,212.21,238.62,219.89,206.94,197.98,211.03,219.3,214.56,203.17,239.54,225.87,,30,965,34,32.38,
18.06.21 17:17:59,46.55,217.81,215.15,217.81,228.88,221.08,211.91,216.63,227.07,205.2,212.21,218.7,233.43,207.82,212.21,238.31,219.6,206.65,198.26,211.03,221.98,214.27,203.17,238.92,226.77,,30,965,34,32.38,
18.06.21 17:18:14,46.8,217.52,215.15,216.92,227.37,221.38,210.15,214.86,225.57,204.62,212.5,217.22,231.91,208.4,212.21,238.01,218.11,205.78,197.4,210.15,221.68,213.68,202.59,237.7,225.87,,30,965,34,32.36,
18.06.21 17:18:29,47.05,217.52,215.15,216.92,227.98,221.38,212.79,214.56,226.17,204.91,212.79,216.63,231.91,207.82,210.15,237.7,216.63,205.78,197.98,210.74,221.38,212.79,202.88,237.7,226.17,,30,965,34,32.36,
18.06.21 17:18:44,47.3,216.33,215.15,219.3,227.07,222.28,209.57,214.27,225.27,204.62,212.21,215.45,232.82,206.94,210.15,237.7,216.92,205.78,197.4,210.15,220.19,213.09,202.88,236.78,225.87,,30,965,34,32.35,
18.06.21 17:18:59,47.55,214.86,216.04,218.11,225.87,223.17,208.69,214.27,225.87,204.33,210.45,215.45,230.09,206.36,208.98,237.09,216.04,204.91,197.4,209.57,218.7,211.62,202.3,236.78,224.97,,30,965,34,32.33,
18.06.21 17:19:14,47.8,213.97,212.79,217.81,226.17,222.58,208.69,215.15,226.17,205.2,210.74,214.56,229.18,206.07,209.57,236.78,215.74,205.78,197.4,208.11,218.7,212.21,203.17,237.09,224.97,,30,965,34,32.33,
18.06.21 17:19:29,48.05,213.38,211.91,216.63,224.67,221.68,208.69,214.27,224.07,205.2,209.28,213.97,227.68,204.04,208.11,236.17,216.04,204.91,197.4,206.07,217.81,211.91,202.88,235.25,224.37,,30,965,34,32.32,
18.06.21 17:19:44,48.3,212.79,211.03,216.63,224.67,221.68,208.4,214.56,222.58,204.91,210.74,214.27,227.68,203.17,207.82,235.86,216.92,204.04,197.4,205.78,218.11,211.33,203.17,234.64,224.07,,30,965,34,32.32,
18.06.21 17:19:59,48.55,211.62,210.15,216.92,224.97,219.89,208.4,212.21,222.87,204.62,209.86,213.97,227.68,203.46,206.07,235.56,218.11,203.17,197.4,204.91,219,210.74,202.3,234.04,223.47,,30,965,34,32.3,
18.06.21 17:20:14,48.8,210.74,207.52,216.33,224.37,217.52,206.36,211.03,221.68,204.33,207.23,212.79,226.17,201.72,205.49,235.25,216.04,203.46,197.12,204.62,218.11,210.45,202.01,232.82,222.58,,30,965,34,32.29,
18.06.21 17:20:29,49.05,211.03,207.23,216.04,224.37,217.81,207.23,210.15,222.58,204.33,206.36,212.21,225.87,200.85,204.62,234.64,215.74,203.46,196.83,204.33,218.11,209.57,202.59,232.82,222.87,,30,965,34,32.29,
18.06.21 17:20:44,49.3,210.15,206.07,217.22,223.17,216.92,206.65,209.57,221.98,204.33,205.2,211.62,225.27,200.28,205.2,234.95,215.45,203.17,197.12,204.04,217.22,209.57,202.59,232.52,222.58,,30,965,34,32.29,
18.06.21 17:20:59,49.55,208.4,206.36,216.92,224.97,215.74,205.49,209.57,221.08,204.33,204.33,210.74,223.77,200.57,206.36,234.04,216.33,203.17,196.83,204.33,216.63,209.28,202.3,232.21,222.28,,30,965,34,32.28,
18.06.21 17:21:14,49.8,208.11,204.33,216.33,222.87,215.45,205.49,208.98,220.49,204.04,206.36,210.74,223.77,198.84,203.75,233.43,215.15,201.72,195.97,204.62,214.56,208.69,202.3,231.91,221.38,,30,965,34,32.28,
18.06.21 17:21:29,50.05,208.69,204.04,216.63,221.38,216.33,205.2,209.86,221.38,204.33,206.07,210.45,222.58,198.84,204.62,233.73,214.27,200.85,196.26,202.59,213.97,208.69,202.3,231.3,221.08,,30,965,34,32.26,
18.06.21 17:21:44,50.3,208.69,202.88,215.74,220.19,215.74,204.04,209.28,220.19,204.33,205.78,209.57,222.28,198.55,203.46,233.73,212.79,200.85,196.54,202.59,215.74,208.11,202.88,231.3,221.38,,30,965,34,32.26,
18.06.21 17:21:59,50.55,209.28,200.57,214.86,219.3,215.74,203.75,206.94,219,204.04,205.49,209.57,220.79,197.98,202.59,233.12,212.21,199.99,196.26,202.3,215.15,207.82,202.3,230.7,221.08,,30,965,34,32.26,
18.06.21 17:22:14,50.8,209.28,198.84,214.27,221.08,216.04,202.88,206.65,219,204.04,204.91,208.4,220.49,197.4,202.88,233.43,209.86,199.7,196.54,202.88,215.15,207.23,201.72,230.7,221.08,,30,965,34,32.25,
18.06.21 17:22:29,51.05,210.15,195.97,212.5,219,216.04,201.43,205.78,218.7,204.04,204.04,207.23,219,196.83,202.3,233.43,209.28,199.41,196.54,203.17,214.86,206.94,201.72,230.39,220.79,,30,965,34,32.25,
18.06.21 17:22:44,51.3,209.86,196.83,211.62,218.11,216.33,203.46,204.91,218.7,203.46,205.2,206.65,217.52,196.83,202.3,232.82,210.15,199.13,195.69,200.85,214.56,206.07,201.72,230.09,220.49,,30,965,34,32.22,
18.06.21 17:22:59,51.55,208.98,197.4,210.74,217.81,215.74,202.01,204.04,219,204.04,206.65,207.23,216.33,194.83,204.33,232.21,210.45,199.13,195.97,199.7,214.27,206.07,202.01,229.49,219.89,,30,965,34,32.24,
18.06.21 17:23:14,51.8,207.82,197.12,210.15,217.52,214.86,199.99,203.46,218.41,203.75,205.78,206.65,215.45,194.83,202.01,231.61,209.86,198.55,195.69,200.57,213.97,206.65,201.72,229.79,219.3,,30,965,34,32.22,
18.06.21 17:23:29,52.05,205.78,197.98,211.03,217.22,214.56,199.7,202.01,219,203.75,203.75,206.36,214.86,193.69,201.14,230.7,208.69,197.98,195.69,201.14,214.56,206.07,201.72,229.18,218.41,,30,965,34,32.22,
18.06.21 17:23:44,52.3,206.07,197.4,206.65,216.04,215.45,199.41,201.14,220.19,204.04,203.75,206.36,214.56,193.4,202.59,230.39,208.69,197.12,195.69,201.43,213.97,205.49,202.01,227.68,218.11,,30,965,34,32.21,
18.06.21 17:23:59,52.55,206.07,197.12,206.36,216.04,216.33,196.83,200.85,219.3,203.17,202.88,207.82,213.38,192.83,202.3,228.88,205.2,195.69,195.11,199.7,213.97,204.62,202.01,227.37,217.81,,30,965,34,32.19,
18.06.21 17:24:14,52.8,206.36,198.55,205.49,217.81,216.33,196.83,200.85,218.7,203.17,202.3,206.36,212.79,192.55,201.72,228.28,205.49,195.11,195.11,198.55,213.38,204.33,201.43,226.77,218.7,,30,965,34,32.18,
18.06.21 17:24:29,53.05,205.2,196.54,206.36,216.92,215.45,198.26,199.41,218.7,203.17,202.3,205.78,213.09,193.12,200.57,227.98,205.2,194.83,195.4,197.12,212.5,205.2,202.01,227.07,219,,30,965,34,32.18,
18.06.21 17:24:44,53.3,204.04,195.69,205.2,216.92,216.33,198.84,197.69,217.52,203.46,202.01,205.78,213.38,193.4,201.14,227.07,205.49,194.83,195.69,197.69,212.21,204.33,202.01,225.87,218.7,,30,965,34,32.18,
18.06.21 17:24:59,53.55,202.3,194.83,203.75,214.27,215.45,195.11,197.4,216.92,202.88,201.72,205.78,213.38,193.12,199.41,226.17,205.2,194.54,194.83,196.83,211.62,203.75,201.72,225.87,218.41,,30,965,34,32.16,
18.06.21 17:25:14,53.8,201.43,194.83,204.33,214.56,214.86,197.12,197.69,216.63,202.88,201.14,206.65,213.09,193.97,199.13,226.17,205.49,193.97,195.11,195.11,211.91,202.59,201.43,225.87,217.81,,30,965,34,32.16,
18.06.21 17:25:29,54.05,201.72,195.97,203.75,213.68,212.21,194.83,197.69,216.04,202.59,200.85,207.52,213.38,193.69,199.41,224.97,204.62,193.69,195.11,194.54,211.03,202.59,201.43,224.97,217.81,,30,965,34,32.15,
18.06.21 17:25:44,54.3,202.3,194.83,202.3,213.68,212.79,193.97,199.13,215.74,202.88,201.14,206.65,213.09,193.4,199.99,225.27,204.91,193.12,194.54,194.54,209.86,201.72,201.43,224.97,217.52,,30,965,34,32.15,
18.06.21 17:25:59,54.55,202.01,193.97,202.59,213.09,212.21,195.97,197.4,215.74,202.88,201.72,208.11,213.09,193.97,197.98,224.67,205.78,192.55,194.54,194.26,208.98,201.43,201.14,224.37,217.52,,30,965,34,32.15,
18.06.21 17:26:14,54.8,202.01,193.69,202.88,214.56,213.09,194.26,197.98,216.63,203.17,202.59,207.23,212.79,192.83,198.26,224.37,204.33,192.83,194.83,193.97,207.82,201.72,201.14,223.77,216.92,,30,965,34,32.15,
18.06.21 17:26:29,55.05,203.17,195.11,202.3,214.27,211.03,193.12,195.4,216.33,202.88,201.43,205.78,212.79,192.55,197.98,224.37,204.04,192.83,194.54,193.12,206.65,202.01,201.72,223.47,216.92,,30,965,34,32.13,
