Measurement Name :,20210618_Mcap_641_30C_Run2,,Generated On :,"18/06/2021, 19:05:55",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,
18.06.21 17:59:48,2.03,186.6,179.32,202.59,208.98,229.49,194.54,207.23,204.33,205.49,194.54,230.39,202.88,215.15,219.89,203.75,207.52,213.09,210.45,194.26,220.49,183.23,213.97,196.83,,30,965,34,30.76,965D6-(E1);
18.06.21 18:00:03,2.28,202.01,179.6,215.74,216.63,210.74,224.07,217.52,213.09,227.68,219.3,223.77,209.86,223.77,213.09,216.92,234.04,220.79,231.3,208.4,214.56,190.28,203.75,207.23,,30,965,34,30.78,965D6-(E1);
18.06.21 18:00:18,2.53,188.58,189.43,206.07,213.68,216.04,213.97,199.99,216.33,216.92,198.55,219.89,205.78,208.4,252.57,228.58,201.14,197.69,252.57,244.16,226.47,193.97,202.88,216.63,,30,965,34,30.79,965D6-(E1);
18.06.21 18:00:33,2.78,167.47,186.32,191.41,203.75,199.99,206.65,200.57,200.28,231.3,191.13,185.76,198.26,191.13,224.07,177.1,201.14,202.59,226.77,212.21,197.98,179.32,204.62,196.26,,30,965,34,30.82,965D6-(E1);
18.06.21 18:00:48,3.03,170.48,179.88,191.41,203.75,201.43,189.71,201.14,196.83,180.16,172.96,183.79,217.52,172.96,211.33,205.2,207.52,205.49,208.11,196.26,192.55,178.77,202.59,183.23,,30,965,34,30.83,965D6-(E1);
18.06.21 18:01:03,3.28,189.14,188.01,204.33,220.19,226.77,205.49,213.09,214.27,211.62,204.33,230.09,211.03,198.84,227.07,222.87,241.69,229.49,207.23,210.74,226.17,191.13,203.75,207.23,,30,965,34,30.85,965D6-(E1);
18.06.21 18:01:18,3.53,193.97,203.17,207.23,213.09,219.6,227.07,215.74,213.68,175.72,224.97,210.15,219.6,219.3,209.86,243.85,206.94,211.03,222.28,192.55,226.17,190.84,202.3,193.97,,30,965,34,30.86,965D6-(E1);
18.06.21 18:01:33,3.78,189.71,181,202.01,206.36,211.33,190.56,190.28,205.49,213.68,194.83,211.62,220.79,208.4,223.47,227.68,221.68,211.33,190.56,197.69,215.45,181,204.33,194.26,,30,965,34,30.89,965D6-(E1);
18.06.21 18:01:48,4.03,184.64,185.48,202.3,212.21,229.79,213.09,207.82,219,226.47,227.98,218.41,228.58,185.48,212.21,226.47,195.11,230.7,192.26,225.87,233.12,187.73,207.23,202.01,,30,965,34,30.9,965D6-(E1);
18.06.21 18:02:03,4.28,206.94,195.4,221.38,227.68,212.79,216.04,233.73,224.07,206.36,244.47,223.17,217.22,265.25,225.57,227.68,261.42,231.3,238.62,247.58,241.08,212.5,241.69,229.18,,30,965,34,30.91,965D6-(E1);
18.06.21 18:02:18,4.53,206.65,185.76,216.33,215.74,203.75,204.04,213.68,220.19,243.54,217.52,216.33,247.26,235.25,224.97,229.49,202.88,215.15,195.69,240.46,229.18,204.33,209.28,211.03,,30,965,34,30.94,965D6-(E1);
18.06.21 18:02:33,4.78,196.54,191.41,213.38,224.97,213.38,221.68,224.67,218.7,210.45,233.73,234.64,244.78,234.04,228.88,226.47,240.46,216.33,238.31,249.44,224.67,189.99,223.77,222.28,,30,965,34,30.96,965D6-(E1);
18.06.21 18:02:48,5.03,202.3,197.98,212.21,227.07,198.84,213.97,205.2,227.68,179.05,223.17,215.74,226.17,217.22,209.28,215.15,227.37,228.58,246.64,237.7,256.03,203.75,226.47,226.47,,30,965,34,30.97,965D6-(E1);
18.06.21 18:03:03,5.28,203.17,198.55,216.33,222.58,211.03,220.79,223.17,224.07,219.3,233.12,216.63,215.74,216.33,222.58,189.71,230.09,214.56,217.22,219.6,211.91,192.26,211.62,227.98,,30,965,34,31,965D6-(E1);
18.06.21 18:03:18,5.53,200.85,200.28,215.45,221.68,208.69,210.15,223.17,214.86,209.57,213.38,203.46,238.31,246.95,200.85,218.7,214.86,209.86,223.17,237.39,217.22,207.23,216.33,219.3,,30,965,34,31.01,965D6-(E1);
18.06.21 18:03:33,5.78,208.4,207.23,227.37,240.46,228.88,226.47,242,238.31,218.7,232.82,242.31,245.09,248.82,250.69,263.65,235.86,251.32,212.79,238.01,247.58,220.79,243.54,238.01,,30,965,34,31.01,965D6-(E1);
18.06.21 18:03:48,6.03,207.52,193.4,214.86,226.47,218.41,211.91,214.56,229.79,210.45,237.39,233.73,238.62,233.43,224.67,225.57,251.95,220.19,210.74,260.15,228.88,207.52,218.11,224.67,,30,965,34,31.04,965D6-(E1);
18.06.21 18:04:03,6.28,197.12,181.27,207.82,223.17,215.74,241.08,219.3,228.28,223.47,233.43,208.69,222.87,211.33,259.19,217.22,216.33,230.39,207.23,210.15,229.49,204.62,233.73,216.63,,30,965,34,31.05,965D6-(E1);
18.06.21 18:04:18,6.53,187.45,191.13,206.94,219.3,228.28,217.81,217.22,224.37,197.12,223.47,217.81,218.7,181,234.95,242,242.93,184.07,206.07,232.52,213.68,193.69,216.33,197.4,,30,965,34,31.05,965D6-(E1);
18.06.21 18:04:33,6.78,203.75,209.28,215.45,220.49,244.16,220.79,225.27,221.38,219.89,235.56,205.2,229.49,211.62,213.97,241.69,228.88,223.47,239.85,219.89,233.12,203.17,212.79,227.37,,30,965,34,31.08,965D6-(E1);
18.06.21 18:04:48,7.03,181,192.26,206.65,216.04,211.91,210.45,213.09,216.33,209.28,182.95,191.98,216.33,225.87,204.62,187.73,188.3,208.11,212.5,226.77,209.57,195.69,201.14,207.52,,30,965,34,31.11,965D6-(E1);
18.06.21 18:05:03,7.28,187.45,196.26,208.69,219,204.91,201.72,231.91,214.86,198.55,187.17,190.84,221.98,207.23,229.49,205.2,234.04,234.04,244.47,195.69,223.17,191.98,211.91,220.19,,30,965,34,31.11,965D6-(E1);
18.06.21 18:05:18,7.53,218.41,212.21,234.64,241.69,237.39,251.95,244.47,247.58,251.32,242.93,244.78,269.42,208.11,241.38,288.72,231.61,236.78,256.35,218.7,258.56,209.86,238.62,226.77,,30,965,34,31.14,965D6-(E1);
18.06.21 18:05:33,7.78,206.07,193.4,203.17,214.56,227.98,238.62,225.57,221.98,210.45,204.62,219,220.79,222.87,223.17,236.48,220.49,227.98,226.17,199.41,198.84,197.12,209.57,217.22,,30,965,34,31.15,965D6-(E1);
18.06.21 18:05:48,8.03,224.37,212.21,226.77,228.88,250.38,246.02,249.44,240.15,207.23,221.38,232.82,244.78,247.89,242.62,275.57,250.69,235.56,228.88,236.78,274.6,212.79,226.47,221.98,,30,965,34,31.18,965D6-(E1);
18.06.21 18:06:03,8.28,203.17,217.81,215.74,222.87,229.18,223.77,217.22,207.82,204.33,251.32,211.62,221.68,245.71,215.15,230.09,207.82,224.37,243.24,206.07,247.58,183.23,220.79,200.28,,30,965,34,31.18,965D6-(E1);
18.06.21 18:06:18,8.53,199.13,195.11,219.89,221.68,231,219,227.07,230.7,216.92,195.4,234.04,238.92,234.04,227.37,250.07,236.17,257.3,238.01,243.54,256.98,197.98,217.81,219.89,,30,965,34,31.22,965D6-(E1);
18.06.21 18:06:33,8.78,207.23,203.75,231.3,238.01,238.92,269.74,252.89,246.64,245.71,254.14,226.47,251.01,238.92,232.82,283.1,259.51,235.25,240.77,242.62,281.13,210.45,229.18,227.07,,30,965,34,31.21,965D6-(E1);
18.06.21 18:06:48,9.03,213.38,215.74,232.52,237.09,262.69,249.76,249.76,238.62,261.42,230.7,244.78,247.58,261.73,217.22,256.03,266.85,242.93,226.47,221.38,242,211.62,259.51,230.7,,30,965,34,31.24,965D6-(E1);
18.06.21 18:07:03,9.28,199.99,221.08,219,234.95,220.49,224.67,239.85,238.31,210.15,268.45,250.07,238.31,247.26,242.93,262.05,209.28,225.57,235.25,257.93,244.16,198.55,223.17,231,,30,965,34,31.26,965D6-(E1);
18.06.21 18:07:18,9.53,219.89,198.84,238.31,233.73,238.62,244.78,272.97,229.79,274.6,250.38,248.2,242.62,222.87,258.24,221.38,250.07,225.87,216.92,244.47,242,205.49,242.31,213.38,,30,965,34,31.26,965D6-(E1);
18.06.21 18:07:33,9.78,210.74,214.56,222.28,228.88,225.27,239.23,233.12,228.88,238.01,240.77,249.44,250.69,214.86,238.92,244.16,215.45,247.58,209.57,236.17,256.35,204.91,228.88,226.77,,30,965,34,31.28,965D6-(E1);
18.06.21 18:07:48,10.03,203.46,197.4,219,231.3,234.64,243.85,216.92,233.73,225.57,247.58,221.68,234.64,233.12,239.85,244.47,232.21,242,215.74,234.04,236.78,208.98,234.34,240.77,,30,965,34,31.29,965D6-(E1);
18.06.21 18:08:04,10.3,202.3,183.51,216.04,217.52,236.17,224.67,211.91,231,227.37,217.22,212.21,229.18,227.37,206.65,232.21,210.15,212.79,208.4,213.09,209.86,193.69,218.41,220.19,,30,965,34,31.32,965D6-(E1);
18.06.21 18:08:18,10.53,219.3,216.33,231,228.88,226.47,251.32,247.58,245.4,260.46,247.89,245.71,254.14,252.89,238.62,272.97,223.77,238.62,194.54,220.79,249.44,218.11,233.12,235.25,,30,965,34,31.33,965D6-(E1);
18.06.21 18:08:33,10.78,215.15,213.97,236.78,236.48,233.12,254.14,246.33,242.93,217.52,224.97,253.83,250.07,245.71,244.78,233.43,220.79,251.95,238.62,279.49,234.34,225.27,226.17,232.82,,30,965,34,31.35,965D6-(E1);
18.06.21 18:08:48,11.03,226.17,212.5,227.68,226.77,251.95,245.71,249.13,247.26,224.07,248.2,230.39,241.08,271.03,229.18,258.24,255.09,242.93,223.77,237.39,247.26,210.45,232.21,240.77,,30,965,34,31.35,965D6-(E1);
18.06.21 18:09:03,11.28,203.75,192.55,224.37,232.21,203.17,248.82,221.08,230.09,214.27,285.74,224.97,237.39,202.59,233.43,274.92,219.89,220.19,184.64,220.19,253.83,222.28,222.87,224.67,,30,965,34,31.38,965D6-(E1);
18.06.21 18:09:18,11.53,204.33,203.75,222.28,228.58,248.82,237.09,238.31,234.34,199.99,276.55,231.61,248.51,239.85,209.86,231.3,235.25,214.86,204.62,246.95,240.15,197.98,235.86,224.97,,30,965,34,31.38,965D6-(E1);
18.06.21 18:09:33,11.78,224.97,201.43,236.17,230.09,207.23,231,231.61,240.77,243.54,251.95,255.72,252.26,219.89,247.89,217.52,243.54,242,258.88,240.46,230.39,212.5,239.54,249.13,,30,965,34,31.4,965D6-(E1);
18.06.21 18:09:48,12.03,227.98,221.38,235.56,240.15,256.35,221.68,245.71,248.82,204.62,251.32,231.91,256.03,230.7,218.7,246.02,243.24,256.03,243.24,253.51,245.4,213.09,244.16,235.25,,30,965,34,31.41,965D6-(E1);
18.06.21 18:10:03,12.28,224.37,208.4,224.07,234.95,211.03,215.15,250.38,237.39,227.07,223.47,230.09,234.95,244.16,214.56,267.17,255.72,249.76,241.38,262.05,218.11,218.41,239.85,224.67,,30,965,34,31.43,965D6-(E1);
18.06.21 18:10:18,12.53,228.88,222.58,234.95,230.09,252.89,252.26,236.17,249.13,230.39,267.81,241.38,245.09,258.88,258.56,264.61,240.15,238.92,211.91,228.58,264.29,226.77,247.58,232.52,,30,965,34,31.44,965D6-(E1);
18.06.21 18:10:33,12.78,222.58,204.04,221.98,226.77,235.86,235.86,227.37,221.68,234.95,252.89,237.7,254.14,244.78,221.08,242.62,239.85,252.89,220.19,215.45,242.62,200.57,232.52,223.47,,30,965,34,31.47,965D6-(E1);
18.06.21 18:10:48,13.03,215.74,223.17,244.16,246.33,238.92,251.01,268.13,251.95,214.27,252.57,252.57,250.69,252.89,255.4,233.12,267.81,275.25,254.14,238.62,257.61,222.87,231.61,251.32,,30,965,34,31.47,965D6-(E1);
18.06.21 18:11:03,13.28,193.12,205.49,212.5,219,227.37,224.67,241.38,229.79,214.56,211.91,220.49,237.7,256.98,205.78,291.72,235.25,244.16,203.75,235.25,234.04,203.46,230.39,216.33,,30,965,34,31.49,965D6-(E1);
18.06.21 18:11:18,13.53,217.22,198.26,234.34,237.7,237.7,230.09,247.58,250.07,231.91,252.26,205.78,220.79,245.4,246.95,295.74,262.05,256.66,221.38,241.08,253.51,221.08,241.69,250.38,,30,965,34,31.51,965D6-(E1);
18.06.21 18:11:33,13.78,210.15,213.09,225.27,229.49,219,231.91,241.69,237.7,220.19,276.55,237.39,252.57,247.26,234.34,242,225.27,241.69,217.81,235.56,266.21,217.81,224.67,228.58,,30,965,34,31.51,965D6-(E1);
18.06.21 18:11:48,14.03,209.86,215.45,232.82,221.68,221.68,231.61,252.89,237.09,220.79,225.57,234.04,249.44,251.01,237.39,241.08,233.12,236.17,248.2,238.92,250.38,195.69,232.52,204.62,,30,965,34,31.53,965D6-(E1);
18.06.21 18:12:03,14.28,216.04,199.7,224.07,229.49,220.49,241.69,222.58,229.79,221.38,236.17,221.38,238.62,253.2,212.79,268.78,221.08,223.47,176.27,238.31,226.77,207.23,220.79,212.21,,30,965,34,31.54,965D6-(E1);
18.06.21 18:12:18,14.53,220.79,201.43,227.37,230.39,244.47,223.47,250.38,242.31,233.12,246.95,240.46,253.51,236.78,234.34,232.82,226.17,246.64,200.57,263.97,258.88,210.45,222.87,242,,30,965,34,31.58,965D6-(E1);
18.06.21 18:12:33,14.78,216.92,212.21,234.04,242,259.19,234.95,242.62,244.78,250.38,293.06,235.25,263.65,254.77,242.31,264.29,241.69,244.78,236.48,271.68,263.01,216.63,251.01,239.85,,30,965,34,31.58,965D6-(E1);
18.06.21 18:12:48,15.03,192.26,208.69,233.12,229.79,261.1,232.52,246.02,236.78,239.85,266.53,231.91,263.65,248.82,236.17,261.73,243.85,250.38,200.85,249.76,245.71,209.57,231,223.47,,30,965,34,31.61,965D6-(E1);
18.06.21 18:13:03,15.28,215.15,215.15,237.39,233.73,246.02,251.32,244.47,250.07,230.09,274.92,251.63,255.4,234.95,245.71,298.77,242.62,250.38,239.54,224.37,273.3,219.6,224.97,234.04,,30,965,34,31.61,965D6-(E1);
18.06.21 18:13:18,15.53,216.04,212.79,234.64,238.62,251.95,263.33,245.4,255.4,235.86,277.85,272.33,248.51,260.15,247.89,241.38,262.05,244.47,232.82,262.69,271.03,219.89,247.58,236.48,,30,965,34,31.63,965D6-(E1);
18.06.21 18:13:33,15.78,193.4,196.83,231.61,223.77,220.79,217.52,234.64,231.91,227.07,244.16,249.44,244.47,267.49,239.85,249.76,221.08,246.02,225.57,236.17,221.08,210.45,237.39,234.34,,30,965,34,31.65,965D6-(E1);
18.06.21 18:13:48,16.03,199.41,179.32,216.63,210.74,184.92,221.68,233.12,213.68,207.82,232.21,228.88,225.27,238.62,222.87,209.57,222.87,236.48,212.5,238.92,225.27,193.97,216.92,198.84,,30,965,34,31.68,965D6-(E1);
18.06.21 18:14:03,16.28,221.08,226.47,237.09,236.78,230.09,264.61,226.47,265.57,235.86,263.01,218.7,257.61,237.7,261.42,267.49,228.88,236.78,239.54,279.82,267.49,220.49,234.04,234.64,,30,965,34,31.68,965D6-(E1);
18.06.21 18:14:18,16.53,204.91,205.2,232.21,230.39,264.61,247.26,238.62,241.08,197.98,265.57,229.49,262.05,231.61,253.51,254.77,240.15,280.8,213.68,226.17,260.46,213.38,241.69,245.09,,30,965,34,31.69,965D6-(E1);
18.06.21 18:14:33,16.78,207.52,202.88,227.98,232.21,234.64,231.3,248.82,236.17,217.81,229.79,239.23,240.77,221.68,262.05,277.53,209.86,241.69,214.27,244.16,228.88,205.2,232.82,243.54,,30,965,34,31.72,965D6-(E1);
18.06.21 18:14:48,17.03,211.91,195.97,230.09,231.61,239.54,222.28,265.89,242.31,234.95,276.55,235.56,228.88,270.39,210.45,263.65,238.31,246.33,234.34,199.99,252.89,194.54,227.37,228.58,,30,965,34,31.72,965D6-(E1);
18.06.21 18:15:03,17.28,218.11,205.2,245.71,237.09,255.72,253.2,263.65,253.51,245.71,241.69,229.18,252.57,244.16,265.25,260.78,274.92,242.31,246.33,257.93,249.76,230.09,246.02,242.31,,30,965,34,31.74,965D6-(E1);
18.06.21 18:15:18,17.53,218.7,219,241.08,245.4,253.51,259.51,270.06,266.21,179.88,260.46,257.3,267.81,289.72,273.62,287.39,266.85,281.46,266.53,259.83,271.36,217.52,254.77,246.02,,30,965,34,31.76,965D6-(E1);
18.06.21 18:15:33,17.78,219.89,208.4,233.73,244.16,272,252.89,259.19,255.72,218.11,263.65,236.78,251.32,246.64,227.98,255.4,246.02,270.71,248.51,267.81,255.72,225.57,234.95,257.61,,30,965,34,31.76,965D6-(E1);
18.06.21 18:15:48,18.03,234.04,216.04,256.35,251.95,265.89,243.54,262.69,256.35,204.33,275.9,246.02,287.06,246.95,284.42,224.37,255.72,261.42,229.79,268.78,258.56,229.79,244.78,232.21,,30,965,34,31.79,965D6-(E1);
18.06.21 18:16:03,18.28,219,217.81,239.23,236.78,248.51,246.95,262.05,245.71,241.69,272,242.62,246.95,256.35,236.78,289.39,233.43,252.89,208.4,243.85,235.56,199.41,250.38,238.01,,30,965,34,31.79,965D6-(E1);
18.06.21 18:16:18,18.53,225.87,221.38,242.62,239.54,240.77,253.51,258.56,263.97,209.28,264.93,243.24,271.68,276.55,249.76,286.07,272.97,245.4,219.6,234.64,267.17,215.45,244.16,250.38,,30,965,34,31.82,965D6-(E1);
18.06.21 18:16:33,18.78,223.77,216.63,246.64,248.2,255.09,273.3,282.44,264.93,222.28,258.24,255.4,285.08,295.74,249.13,259.19,256.35,263.33,207.52,280.8,234.64,224.37,255.72,257.93,,30,965,34,31.83,965D6-(E1);
18.06.21 18:16:48,19.03,222.28,221.98,245.4,234.04,264.61,271.36,260.78,248.2,223.77,271.36,236.48,255.09,304.87,270.06,250.38,259.51,257.3,218.7,256.03,275.9,212.79,244.78,234.04,,30,965,34,31.86,965D6-(E1);
18.06.21 18:17:03,19.28,211.62,202.3,228.28,230.39,237.09,254.46,250.38,249.13,226.47,225.87,255.72,227.37,251.63,224.97,281.46,234.95,253.2,192.83,242,262.05,208.69,226.47,251.63,,30,965,34,31.86,965D6-(E1);
18.06.21 18:17:18,19.53,231.3,212.79,234.95,229.49,250.07,264.93,247.58,249.13,222.28,238.01,217.52,251.01,246.64,256.66,272,252.89,238.31,239.85,239.54,236.17,211.91,228.58,238.31,,30,965,34,31.89,965D6-(E1);
18.06.21 18:17:33,19.78,244.47,233.43,250.38,245.09,256.35,265.57,263.01,260.46,248.82,267.81,256.98,282.44,275.9,279.16,275.9,238.62,281.13,224.07,272.65,273.95,221.68,231.3,249.13,,30,965,34,31.9,965D6-(E1);
18.06.21 18:17:48,20.03,213.38,209.86,226.47,231.91,217.81,262.69,269.1,239.85,204.62,227.07,241.08,250.38,277.53,278.51,272,236.17,246.95,185.2,229.79,254.77,215.15,243.24,237.39,,30,965,34,31.9,965D6-(E1);
18.06.21 18:18:03,20.28,233.73,229.49,243.85,243.24,252.26,260.15,252.57,260.15,210.45,268.78,268.45,259.83,295.4,268.78,248.82,245.71,255.4,224.37,253.51,226.47,219.6,262.69,249.13,,30,965,34,31.91,965D6-(E1);
18.06.21 18:18:18,20.53,239.23,229.49,239.23,244.78,253.83,269.1,256.03,258.24,238.92,324.25,260.15,266.85,229.18,279.82,232.52,245.09,256.66,246.95,276.87,279.49,224.67,235.25,261.42,,30,965,34,31.93,965D6-(E1);
18.06.21 18:18:33,20.78,239.85,228.88,251.32,261.1,254.46,277.2,272.97,272,237.09,257.61,263.65,270.06,272.97,247.89,281.78,271.03,268.13,245.4,262.69,257.61,225.27,255.4,267.81,,30,965,34,31.94,965D6-(E1);
18.06.21 18:18:48,21.03,214.86,204.04,227.37,231.91,224.67,228.88,251.01,242.93,205.78,238.31,241.08,245.09,187.73,215.45,287.39,213.09,245.09,236.78,247.26,258.56,205.78,223.47,244.16,,30,965,34,31.96,965D6-(E1);
18.06.21 18:19:03,21.28,244.78,236.48,261.73,260.15,260.15,285.08,293.39,279.49,250.07,271.36,268.78,264.93,289.39,257.61,242.93,256.35,276.55,237.7,249.44,245.4,237.7,251.01,277.85,,30,965,34,31.97,965D6-(E1);
18.06.21 18:19:18,21.53,220.79,214.27,241.69,244.47,249.76,249.76,260.46,256.35,223.17,244.16,234.34,274.27,269.1,242,289.05,253.51,262.05,263.65,295.4,278.51,228.88,243.85,248.51,,30,965,34,31.99,965D6-(E1);
18.06.21 18:19:33,21.78,206.36,213.09,246.95,244.16,253.2,252.89,260.46,263.33,205.78,274.92,247.58,254.14,258.56,240.46,282.44,239.23,249.44,219,240.46,233.12,225.87,250.69,244.78,,30,965,34,32,965D6-(E1);
18.06.21 18:19:48,22.03,234.64,240.15,253.83,251.32,284.75,266.85,278.51,273.95,212.5,247.26,222.58,286.73,299.11,268.13,267.81,293.39,261.42,281.46,286.73,247.89,234.04,256.03,265.89,,30,965,34,32.03,965D6-(E1);
18.06.21 18:20:03,22.28,234.95,235.86,258.88,248.51,284.42,242.93,276.55,275.9,238.01,287.06,246.64,259.51,261.1,302.15,260.46,243.85,254.77,264.29,277.53,242.93,234.95,258.56,261.42,,30,965,34,32.03,965D6-(E1);
18.06.21 18:20:18,22.53,238.31,205.2,240.77,242,278.51,284.75,272.97,255.72,207.52,286.73,253.83,266.53,266.21,257.3,247.89,263.97,255.4,270.06,271.36,234.64,221.38,246.64,254.14,,30,965,34,32.04,965D6-(E1);
18.06.21 18:20:34,22.8,247.58,216.92,247.26,244.47,244.16,258.24,259.19,263.97,196.83,277.53,259.19,279.49,259.83,252.57,287.06,245.4,270.71,236.78,226.77,277.53,222.87,243.54,243.24,,30,965,34,32.05,965D6-(E1);
18.06.21 18:20:49,23.05,238.31,236.17,257.3,248.51,260.15,257.3,288.06,272,222.87,275.25,262.05,271.03,288.72,250.07,271.68,267.81,263.65,223.17,293.39,233.73,231.61,247.26,265.25,,30,965,34,32.05,965D6-(E1);
18.06.21 18:21:04,23.3,209.28,216.04,232.21,228.88,242.93,233.12,269.1,241.38,199.7,294.39,245.71,244.16,236.48,235.56,276.22,240.77,255.09,193.97,233.73,237.09,213.68,234.34,230.7,,30,965,34,32.08,965D6-(E1);
18.06.21 18:21:19,23.55,215.15,219,239.54,241.69,255.4,228.28,281.78,262.37,209.57,263.01,268.78,269.1,255.09,248.2,256.35,249.13,249.13,224.97,255.09,266.21,225.27,241.38,254.46,,30,965,34,32.1,965D6-(E1);
18.06.21 18:21:33,23.78,236.48,218.7,247.26,249.13,270.06,243.24,262.69,273.3,240.77,253.83,241.08,262.05,260.46,263.65,276.55,267.81,237.09,239.23,275.9,277.53,238.01,256.03,255.09,,30,965,34,32.11,965D6-(E1);
18.06.21 18:21:48,24.03,218.11,215.74,238.01,232.82,245.4,233.43,281.46,249.76,186.6,232.52,256.66,253.51,274.92,240.46,271.03,251.32,267.17,195.4,271.36,253.2,224.37,227.37,242,,30,965,34,32.11,965D6-(E1);
18.06.21 18:22:03,24.28,238.62,213.97,251.63,250.38,231.91,264.93,271.36,279.82,197.12,257.3,252.89,271.68,280.14,250.38,267.17,261.42,267.81,244.16,293.72,225.57,221.68,262.37,266.53,,30,965,34,32.13,965D6-(E1);
