Measurement Name :,20211208_Run3_Pacu_641_32C,,Generated On :,"08/12/2021, 11:08:09",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"08/12/2021, 10:45:46",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"08/12/2021, 11:05:11",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,C6,D6,,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
08.12.21 10:45:48,0.03,184.66,191.29,110.82,183.72,174.06,161.8,158.76,193.52,186.24,177.79,185.61,149.44,206.36,192.88,163.01,168.82,159.97,204.42,154.84,195.43,190.34,211.56,197.66,,,32,965,0,28.83,
08.12.21 10:46:03,0.28,186.55,192.88,111.67,185.29,175.61,162.1,159.37,195.43,187.18,178.41,186.87,149.14,208.3,193.83,163.93,169.74,160.28,206.03,153.94,197.02,191.61,213.52,198.62,,,32,965,0,28.85,
08.12.21 10:46:19,0.55,187.81,193.83,111.39,185.61,176.23,162.1,159.06,196.06,187.5,179.03,187.5,148.84,209.28,194.15,165.15,169.74,159.06,207.33,152.73,196.7,192.56,213.85,199.91,,,32,965,0,28.88,
08.12.21 10:46:34,0.8,188.76,195.11,112.24,186.55,177.16,162.71,158.46,197.34,188.13,179.97,188.44,148.84,210.91,195.75,166.68,170.67,158.76,208.3,153.03,198.62,193.2,215.82,200.87,,,32,965,0,28.91,
