Metabolite,VIP
Inositol,1.949540880768376
NADP+,1.7773582791810778
Theanine,1.7213321985728494
Valine,1.6366200990284807
Leucine,1.5937726540097013
NAD+,1.5755937205414574
Isoleucine,1.5643434099592504
N-Acetylputrescine,1.5572165080297757
NG-dimethyl-L-arginine,1.5030063021496074
Thymidine,1.458550913882991
Citrulline,1.450391474760286
Lysine,1.4276710530245451
Arginine-Glutamine,1.3435012357468847
Adenine,1.3365138344462508
Adenosine,1.3318289075873164
N-acetyl-glutamate,1.3313825348901762
Proline,1.3263366677325654
Glutamine,1.277317710662478
Phenyllactic acid,1.2756128544407026
UDP-D-Glucose,1.249066152847237
Ribose phosphate,1.241134013100558
Tyrosine,1.2387777215704905
Alanine,1.2240113508955939
UDP-N-acetyl-glucosamine,1.2060902948300811
Citrate,1.1592692458517115
Tryptophan,1.1452433284324082
CMP,1.130487570559955
Guanosine,1.10302895790131
CDP-Choline,1.1015788253175345
a-ketoglutarate,1.0679659123296579
Glycine,1.0652999204447295
AMP,1.0566494851930583
L-arginino-succinate,1.0553672734765542
