Metabolite,VIP
N-acetyl-glutamate,1.9019419366551358
Inositol,1.8625894249439858
Citrulline,1.833517095726181
Isoleucine,1.8285361623187983
NADP+,1.817579924671214
Leucine,1.799045018560049
Arginine-Glutamine,1.786706302139187
Valine,1.7819740755111393
Xylose-5-phosphate,1.773052346105273
Phosphocholine,1.7694356234842796
Alanine,1.7637027101398524
NAD+,1.7338739824984735
Theanine,1.686759154264971
Lysine,1.6041905122160816
Thymine,1.5660345713010644
N-Acetylaspartate,1.5451548314411419
Ribose phosphate,1.52614594424079
Glutamine,1.4493663337648846
N-Acetylputrescine,1.3758607899932729
Taurine,1.3262154503536592
Ribitol,1.2893065697931176
Threonic acid,1.27938304187467
L-arginino-succinate,1.2288023923324893
NG-dimethyl-L-arginine,1.2281792090570685
Glycerol-3-phosphate,1.2059792901657944
2-Hydroxyglutarate,1.181054883884531
Aspartate,1.1412543474478012
Methionine sulfoxide,1.1254084741379549
Asparagine,1.079246443719501
5-Hydroxylysine,1.0633999685806743
Dihydroxyacetone phosphate,1.0610683847190254
