"","Compound","Ambient _ mean","Ambient _ se","High _ mean","High _ se"
"1","2-Hydroxyglutarate",0.0289440365438365,0.00176766572977665,0.0265140330055198,0.00272101949223417
"2","3-Phosphoglycerate",0.248729687822839,0.0106215486246188,0.218291885411244,0.0151044948581374
"3","5-Hydroxylysine",0.000630809824034139,0.000461364078543851,0.000770953341109054,0.0004645446224617
"4","a-ketoglutarate",0.107952034125978,0.00343926955920972,0.110347669408056,0.00406507615962
"5","Aconitate",0.212151561676527,0.00587996275960046,0.196111199904242,0.00789533956007232
"6","Adenine",0.00606574772263434,0.000265250323048473,0.00717933469166179,0.000304416081925328
"7","Adenosine",0.00729184538513859,0.000529212599848257,0.0056952641594137,0.000333160592316844
"8","ADP-D-Glucose",0.0141400326486022,0.0033503533540606,0.0105073104886817,0.00115649228509855
"9","Alanine",0.145179195951643,0.00576586782569984,0.159465418711504,0.00698562185284771
"10","AMP",0.00414647692478509,0.000325741794449661,0.00294358548927925,0.000386937165751602
"11","Arginine",0.00308679927505778,0.00142640686516433,0.00378864577420875,0.00139460812645091
"12","Arginine-Glutamine",0.0480170965950137,0.00399455014205963,0.100227667190283,0.0121422578063823
"13","Asparagine",0.0416672138607455,0.00365835229478781,0.0735496095209381,0.011261472764072
"14","Aspartate",0.183810693958459,0.00416933976137635,0.199119457387198,0.00435679529244333
"15","Carbamoyl phosphate",0,0,0,0
"16","CDP-Choline",0.000581247439841433,0.000378179890471994,0.000111382988373645,0.000111382988373645
"17","Citrate",0.254063420286191,0.0118457514343039,0.226434633766501,0.00981838184778472
"18","Citrulline",0.0495498624261182,0.00201336195042033,0.0683551717313269,0.00770822072286537
"19","CMP",6.17477380716432e-05,6.17477380716432e-05,0.000278320566790354,0.000187980498955597
"20","Creatinine",0,0,0,0
"21","Dihydroxyacetone phosphate",0.201322514960344,0.0091236077224632,0.171976816810284,0.00671268136048025
"22","FAD",3.0957365331129e-05,3.0957365331129e-05,0,0
"23","Fructose-6-phosphate",0.198385018910804,0.00812497264498472,0.178139424431689,0.00743245966745131
"24","Glucose",0.189606450205326,0.00969271514821084,0.195621246945336,0.010415884705557
"25","Glucose-6-phosphate",0.212363003583232,0.00756678324864017,0.184116462849625,0.00743117928899074
"26","Glutamate",0.162492185068767,0.00397359220322216,0.171891989787856,0.00407339009491867
"27","Glutamine",0.0865275426232749,0.0010896913776264,0.125956030030318,0.00311479255027056
"28","Glutathione disulfide",0.0176285416294065,0.011852027189214,0.0252503632832597,0.0119195959173695
"29","Glycerate",0,0,0,0
"30","Glycerol-3-phosphate",0.194787517231433,0.00900681973284941,0.172017892742364,0.00816851314124124
"31","Glycerophosphocholine",0.00154647203335199,0.000340890544872906,0.000264661655143458,0.000128331355765089
