"","Compound","isotope","mean","se"
"67","Fructose-6-phosphate","12C",0.00115200903820971,0.000124001056194317
"68","Fructose-6-phosphate","13C",0.188262221671246,0.00175294690607483
"69","Fructose-6-phosphate","Dark-13C",0.00596787502779292,0.000921079511734282
"70","Glucose","12C",0.00095007210634955,0.000109947439279159
"71","Glucose","13C",0.192613848575331,0.00197549935730767
"72","Glucose","Dark-13C",0.00124755109686202,0.000395959208151668
"73","Glucose-6-phosphate","12C",0.00330859778998891,0.000149861212684169
"74","Glucose-6-phosphate","13C",0.198239733216429,0.00190824239246007
"75","Glucose-6-phosphate","Dark-13C",0.009025840276237,0.000463928823696902
"76","Glutamate","12C",0.000586200303038525,3.91961183992789e-05
"77","Glutamate","13C",0.167192087428311,0.000883536012395967
"78","Glutamate","Dark-13C",0.0166948424010916,0.000121139599563645
"79","Glutamine","12C",9.40056965476855e-05,1.11896768421989e-05
"80","Glutamine","13C",0.106241786326796,0.00177498357787127
"81","Glutamine","Dark-13C",0.0120705604949574,0.000689695449833157
"82","Glutathione disulfide","12C",0.00144832381205815,0.000263795634782108
"83","Glutathione disulfide","13C",0.0210930060175216,0.00232474491386973
"84","Glutathione disulfide","Dark-13C",0,0
"85","Glycerate","12C",0,0
"86","Glycerate","13C",0,0
"87","Glycerate","Dark-13C",0,0
"88","Glycerol-3-phosphate","12C",0.00206946622304354,0.000149672492363241
"89","Glycerol-3-phosphate","13C",0.183402704986899,0.00194475298626219
"90","Glycerol-3-phosphate","Dark-13C",0.00834111765347931,0.00170163756308564
"91","Glycerophosphocholine","12C",3.31455136843352e-05,9.56828562403968e-06
"92","Glycerophosphocholine","13C",0.000905566844247725,7.499735917378e-05
"93","Glycerophosphocholine","Dark-13C",0,0
"94","Glycine","12C",0.00149588050666561,7.60526684154016e-05
"95","Glycine","13C",0.00959176116232212,0.000381870343497069
"96","Glycine","Dark-13C",0.00103209113531074,0.000173504759521583
"97","GMP","12C",0.000316598411930797,4.52698647462572e-05
"98","GMP","13C",0.00335275369572682,8.44179000228352e-05
"99","GMP","Dark-13C",0.000978913461675301,0.00045302484060934
"100","Guanine","12C",0.00048031414206287,7.2817916926955e-05
"101","Guanine","13C",0.0433701454935467,0.00194758991229287
"102","Guanine","Dark-13C",0.0248127616459324,0.00233867795096352
"103","Guanosine","12C",0,0
"104","Guanosine","13C",0.00233816346305577,7.81291746973221e-05
"105","Guanosine","Dark-13C",0.000386082386339817,0.000193041193169908
"106","Homoarginine","12C",0.00146506093679417,0.000174173089586813
"107","Homoarginine","13C",0.00219948065180728,0.000257762217851851
"108","Homoarginine","Dark-13C",0.00024534436864101,9.7465286039356e-05
"109","Hydroxyproline","12C",0,0
"110","Hydroxyproline","13C",0,0
"111","Hydroxyproline","Dark-13C",0,0
"112","Hypotaurine","12C",0,0
"113","Hypotaurine","13C",0,0
"114","Hypotaurine","Dark-13C",0,NA
"115","Hypoxanthine","12C",0,0
"116","Hypoxanthine","13C",0,0
"117","Hypoxanthine","Dark-13C",0,0
"118","Inosine","12C",0.000488562141868409,0.000141035742061793
"119","Inosine","13C",0.00381357711660577,0.000108494360907477
"120","Inosine","Dark-13C",0.00523196207039403,0.0012177803444922
"121","Inositol","12C",0,0
"122","Inositol","13C",0.00401418354825979,7.49709059642222e-05
"123","Inositol","Dark-13C",0.000372092003961029,0.000186046001980515
"124","Isocitrate","12C",0.0293474319630399,0.00306551070300785
"125","Isocitrate","13C",0.257245230670441,0.0012723741179723
"126","Isocitrate","Dark-13C",0.0607859740066092,0.00800820601467515
"127","Isoleucine","12C",0.00125232945838453,7.03767307450167e-05
"128","Isoleucine","13C",0.00343521282013041,7.30176610917451e-05
"129","Isoleucine","Dark-13C",0.000328189743650659,0.000114789240175587
"130","L-arginino-succinate","12C",0.000139438761743843,4.02525033141378e-05
"131","L-arginino-succinate","13C",0.00898049323766162,0.000708874299918271
"132","L-arginino-succinate","Dark-13C",0.05,0.0176776695296637
"133","Lactate","12C",0.00321606687369537,0.000198522085714594
"134","Lactate","13C",0.106187442208505,0.00369149171760092
