Compound,Label,Blank1,Blank2,Blank3,Blank4,Blank5,12C_Ambient-A1_I7,12C_Ambient-A2_I8,12C_Ambient-A3_I9,12C_Ambient-A4_I10,12C_Ambient-A5_I11,12C_Ambient-A6_I12,12C_High-H1_I27,12C_High-H2_I28,12C_High-H3_I29,12C_High-H4_I30,12C_High-H5_I31,12C_High-H6_I32,13C_Ambient-A1_I1,13C_Ambient-A2_I2,13C_Ambient-A3_I3,13C_Ambient-A4_I4,13C_Ambient-A5_I5,13C_Ambient-A6_I6,13C_High-H1_I21,13C_High-H2_I22,13C_High-H3_I23,13C_High-H4_I24,13C_High-H5_I25,13C_High-H6_I26,Dark13C_Ambient-Pool_I19,Dark13C_Ambient-Pool_I20,Dark13C_High-Pool_I39,Dark13C_High-Pool_I40
Isocitrate,0,0.978874427,0.952176611,0.727217353,0.702672133,0.77129835,0.978242284,0.992786203,0.908313311,0.960829605,0.994399571,0.922825953,0.977738959,0.995174843,0.946605672,0.702695041,0.943477521,0.966003144,0.417592619,0.433871568,0.450008274,0.44173493,0.464819368,0.433746519,0.472211531,0.530639861,0.380963071,0.44390224,0.467017881,0.428629793,0.799148775,0.932693256,0.853993277,0.814153146
Isocitrate,1,0,0.003800965,0.016910873,0.038648382,0.053487679,0.003576128,0.001911553,0.019102387,0.008301482,0.003161358,0.014980886,0.005496889,0,0.009205616,0.060879606,0.017273414,0.002727806,0.094555056,0.087400162,0.081375851,0.086377412,0.082177739,0.095687475,0.09663761,0.078029467,0.119271864,0.102983092,0.102132245,0.101398792,0.04010382,0.051314726,0.074206199,0.079499838
Isocitrate,2,0,0.004892675,0.072905601,0.08880254,0.013734045,0,0,0.011982006,0,0,0,0,0,0,0.068424702,0,0,0.151263384,0.140148908,0.138390598,0.133752727,0.133669812,0.153220557,0.135827115,0.109709934,0.165586031,0.152376411,0.138594732,0.143654294,0.037091816,0,0,0.022094257
Isocitrate,3,0,0,0.040843242,0.035776282,0.053010168,0.00858535,0.002004139,0.027327169,0.013178665,0.000951432,0.024743004,0.007634188,0.00137216,0.019550211,0.069329978,0.019031417,0.014681561,0.170455165,0.165199105,0.162467204,0.16018001,0.158008162,0.163476656,0.146064196,0.128758242,0.171274621,0.156297672,0.147827785,0.159747366,0.057625575,0.005381888,0.026913695,0.041000317
Isocitrate,4,0.011708686,0.019169483,0.105467798,0.094071886,0.066419194,0.006878233,0.002389233,0.022343135,0.011696504,0.00077187,0.024668877,0.006565377,0.002663477,0.017061983,0.077423741,0.014333662,0.012309402,0.116272305,0.120467194,0.117505579,0.123096586,0.114173328,0.10910101,0.105288811,0.102306622,0.114023523,0.102925869,0.100237981,0.114871783,0.046682582,0.007599047,0.037370563,0.029967631
Isocitrate,5,0.009416888,0.019960265,0.036655133,0.040028776,0.042050563,0.002497178,0.000894665,0.009182169,0.005993743,0.000715768,0.012781281,0.00250114,0.00078952,0.007576518,0.021246933,0.005883986,0.004278086,0.044315606,0.046689758,0.044180405,0.048583823,0.041773563,0.039869652,0.039022073,0.044172006,0.042791211,0.036898742,0.039393795,0.045105243,0.019347432,0.002686116,0.007516267,0.013284812
Isocitrate,6,0,0,0,0,0,0.000220827,1.42E-05,0.001749823,0,0,0,6.34E-05,0,0,0,0,0,0.005545864,0.006223305,0.006072088,0.006274512,0.005378029,0.004898131,0.004948664,0.006383868,0.00608968,0.004615974,0.004795581,0.006592728,0,0.000324967,0,0
GMP,0,0.483931122,0,0.55690703,1,1,1,1,0.999065683,0.996197427,1,1,1,1,0.999804504,0.994689546,0.997578903,1,0.972131823,0.983487953,0.99047645,0.985663193,0.98725189,0.978147161,0.991862067,0.991193811,0.986503761,0.991000617,0.990336161,0.988154033,1,1,0.978325455,0.999256079
GMP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01795355,0,0,0,0,0,0,0,0,0,0.000230009,0,0,0,0.01404943,0
GMP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004564731,0.006537484,0.007484904,0.01106504,0.00232892,0.008925987,0,0,0.004592761,0,0.002960946,0.004214904,0,0,0,0
GMP,3,0.516068878,1,0.44309297,0,0,0,0,0.000934317,0.003802573,0,0,0,0,0.000195496,0.005310454,0.002421097,0,0.005349896,0.009974563,0.002038646,0.003271767,0.01041919,0.012926852,0.008137933,0.008806189,0.008903479,0.008999383,0.006472884,0.007631062,0,0,0.007625115,0.000743921
GMP,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMP,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMP,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMP,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMP,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMP,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMP,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMP,0,,1,,,,1,1,0.987258857,1,1,1,1,0.999965497,1,1,1,1,1,1,1,1,0.997428382,1,1,0.994660482,0.998948742,1,1,0.99887612,0.978255496,0.985582521,0.993744181,1
CMP,1,,0,,,,0,0,0.012741143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001808857,0,0,0,0,0,0,0,0.021744504,0.014417479,0,0
CMP,2,,0,,,,0,0,0,0,0,0,0,3.45E-05,0,0,0,0,0,0,0,0,0.00076276,0,0,0.005339518,0.001051258,0,0,0.00112388,0,0,0.006255819,0
CMP,3,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMP,4,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMP,5,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMP,6,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMP,7,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMP,8,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMP,9,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fructose-6-phosphate,0,0.910794191,0.992795093,0.706327969,0.673037952,0.729438285,0.998788505,0.998917248,0.994818253,1,1,1,0.998628872,0.99836822,0.999241914,0.993044209,0.989346284,0.999948231,0.505057279,0.464921754,0.439473085,0.446281073,0.524608409,0.513442493,0.570525054,0.495530376,0.534953382,0.579915555,0.553729259,0.538593236,0.975140939,0.974303444,0.990999822,0.950318038
Fructose-6-phosphate,1,0.041553778,0.007204907,0.012426959,0.01466765,0,0,0.000185441,0.000711249,0,0,0,0.001106903,0,0,0,0.007692138,0,0.151679564,0.159360215,0.172028756,0.158897296,0.160694517,0.172923517,0.136231571,0.136191142,0.146957004,0.150801337,0.146907023,0.138235407,0.019003679,0.023135836,0.009000178,0.039300406
Fructose-6-phosphate,2,0.047652031,0,0.237425528,0.312294398,0.270561715,1.09E-05,0,0.004470499,0,0,0,0,0,0,0.002480178,0,0,0.14300766,0.157237841,0.158541577,0.160651168,0.136959981,0.145526385,0.114612548,0.137246966,0.13347962,0.115894904,0.116827461,0.126682701,0,0.00256072,0,0.010381556
Fructose-6-phosphate,3,0,0,0.043819543,0,0,0,0,0,0,0,0,0.000264224,0,0.000758086,0,0.000681287,5.18E-05,0.121405409,0.120599092,0.129211079,0.130829589,0.105203829,0.098097434,0.102684556,0.114660599,0.101825799,0.086816829,0.093817245,0.110114625,0,0,0,0
Fructose-6-phosphate,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058842018,0.067407328,0.073937716,0.072398067,0.051912221,0.052601094,0.052241185,0.082262231,0.059695002,0.048657027,0.056517399,0.060405772,0.002372559,0,0,0
Fructose-6-phosphate,5,0,0,0,0,0,0.001200575,0.000897311,0,0,0,0,0,0,0,0.004475613,0.002280291,0,0.018666868,0.02833179,0.026754853,0.030515872,0.019421592,0.015889824,0.021157462,0.032843794,0.021826179,0.016328974,0.026518016,0.023914706,0.003482823,0,0,0
Fructose-6-phosphate,6,0,0,0,0,0,0,0,0,0,0,0,0,0.00163178,0,0,0,0,0.001341203,0.00214198,5.29E-05,0.000426934,0.00119945,0.001519254,0.002547623,0.001264892,0.001263014,0.001585373,0.005683597,0.002053553,0,0,0,0
NG-dimethyl-L-arginine,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NG-dimethyl-L-arginine,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG-dimethyl-L-arginine,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG-dimethyl-L-arginine,3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG-dimethyl-L-arginine,4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG-dimethyl-L-arginine,5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG-dimethyl-L-arginine,6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG-dimethyl-L-arginine,7,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG-dimethyl-L-arginine,8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aconitate,0,0.908168113,0.93287788,0.884169826,0.921691684,0.875757195,1,0.999681529,1,0.990610909,1,0.997941404,1,0.999405581,0.999125479,0.99279294,1,0.996385546,0.500312871,0.465063727,0.516235876,0.519540492,0.529705427,0.514399901,0.53109874,0.537696759,0.507651114,0.568172723,0.486139792,0.480846973,0.971153992,0.953294538,0.920558191,0.926361279
Aconitate,1,0.008091628,0.001083596,0.023582213,0.003692398,0.002268161,0,0,0,0.00441159,0,0,0,0,0,0.001211989,0,0.002323087,0.136281572,0.110417222,0.110210316,0.121368761,0.119283858,0.120242008,0.141807814,0.137610396,0.148924272,0.146846422,0.143718989,0.134121521,0.026815672,0.043236283,0.079441809,0.073638721
Aconitate,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130434507,0.136115021,0.126037993,0.124440498,0.117013367,0.129066278,0.124600635,0.117897411,0.13450182,0.103487111,0.126874282,0.123972666,0,0,0,0
Aconitate,3,0,0,0,0,0,0,0,0,0.003475133,0,0,0,0,0,0.005995071,0,0,0.123209199,0.142984087,0.127487125,0.113209877,0.118273128,0.122616873,0.10473199,0.109414206,0.110596432,0.094544323,0.124830556,0.13576651,0,0,0,0
Aconitate,4,0,0,0,0,0.059734894,0,0.000318471,0,0,0,0.002058596,0,0,0,0,0,0,0.075491549,0.0983999,0.083979316,0.084229941,0.080527557,0.081748652,0.068110511,0.065432659,0.068321647,0.062368148,0.08169656,0.089338375,0,0.000904659,0,0
Aconitate,5,0.083740259,0.066038525,0.092247961,0.074615918,0,0,0,0,0.001502367,0,0,0,0.000594419,0.000874521,0,0,0.001291367,0.031164535,0.041553927,0.031905553,0.0340006,0.030239685,0.028585667,0.026970437,0.029902556,0.025540588,0.021870372,0.031884505,0.033521121,0.002030336,0.00256452,0,0
Aconitate,6,0,0,0,0,0.06223975,0,0,0,0,0,0,0,0,0,0,0,0,0.003105766,0.005466116,0.004143821,0.00320983,0.004956978,0.00334062,0.002679873,0.002046013,0.004464128,0.002710901,0.004855316,0.002432833,0,0,0,0
UDP-D-Glucose,0,,,0,0,0,1,0.990729697,0.998307039,0.907749843,0.98749432,1,1,1,0.995046473,0.994610138,1,0.994836411,0.43107464,0.441497062,0.411548935,0.448813455,0.473502651,0.527178859,0.575351009,0.503976153,0.503967816,0.775094593,0.507595702,0.499866041,0.927370303,0.942039641,0.88798174,0.907065502
UDP-D-Glucose,1,,,0,0,0,0,0.009270303,0,0.026723164,0.01250568,0,0,0,0,0,0,0,0.219487311,0.175032241,0.203727869,0.246431192,0.203112435,0.175648829,0.139475876,0.145129507,0.15133999,0.098535381,0.155293795,0.154020214,0.066490642,0.057960359,0.10527056,0.071794343
UDP-D-Glucose,2,,,1,1,1,0,0,0,0,0,0,0,0,0.004953527,0,0,0.005163589,0.179609449,0.169086709,0.169074216,0.159438568,0.153482265,0.203531876,0.120077458,0.165456292,0.14191886,0.06744502,0.140676787,0.14595186,0,0,0.003216051,0.01500989
UDP-D-Glucose,3,,,0,0,0,0,0,0.001692961,0.065526992,0,0,0,0,0,0.002085693,0,0,0.148618408,0.097353785,0.118871275,0.018512098,0.099957909,0.048495848,0.080709035,0.073875223,0.103173646,0.058925006,0.092471154,0.1026673,0,0,0,0.001915305
UDP-D-Glucose,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006777031,0.074971544,0.068990214,0.10678675,0.046138498,0.045144587,0.057400228,0.056225195,0.059776242,0,0.074530315,0.076040121,0.006139055,0,0.000945072,0.000973677
UDP-D-Glucose,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0.003304169,0,0,0.014433162,0.042058659,0.02778749,0.020017937,0.023806241,0,0.026986394,0.055337631,0.039823446,0,0.029432247,0.021454465,0,0,0.002586577,0.003241283
UDP-D-Glucose,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UDP-D-Glucose,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UDP-D-Glucose,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UDP-D-Glucose,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UDP-D-Glucose,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UDP-D-Glucose,11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UDP-D-Glucose,12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UDP-D-Glucose,13,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UDP-D-Glucose,14,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UDP-D-Glucose,15,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP-Choline (+HAc),0,,,,,,1,1,0.996606556,1,1,1,0.951652328,1,1,1,1,0.997384287,0.981099358,1,1,1,0.994635301,0.987366229,1,1,1,1,1,0.994653617,1,1,1,1
CDP-Choline (+HAc),1,,,,,,0,0,0,0,0,0,0.048347672,0,0,0,0,0,0,0,0,0,0.005364699,0.012633771,0,0,0,0,0,0,0,0,0,0
CDP-Choline (+HAc),2,,,,,,0,0,0.003393444,0,0,0,0,0,0,0,0,0.002615713,0.018900642,0,0,0,0,0,0,0,0,0,0,0.005346383,0,0,0,0
CDP-Choline (+HAc),3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP-Choline (+HAc),4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP-Choline (+HAc),5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP-Choline (+HAc),6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP-Choline (+HAc),7,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP-Choline (+HAc),8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP-Choline (+HAc),9,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP-Choline (+HAc),10,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP-Choline (+HAc),11,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP-Choline (+HAc),12,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP-Choline (+HAc),13,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP-Choline (+HAc),14,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP-Choline (+HAc),15,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP-Choline (+HAc),16,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMP,0,,,0.832349097,1,1,0.998842435,0.952487403,0.343457455,0.999576264,0.867712895,0.99947573,1,0.890329804,0.951019343,0.50853727,0.302146994,0.955075732,0.913694266,0.913812514,0.85660232,0.928966557,0.932339251,0.912481564,0.901270443,0.912845845,0.900272961,0.925787501,0.914652187,0.911999251,0.973728171,0.959271453,0.686321184,0.644305226
UMP,1,,,0.167650903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033610843,0.031842756,0.029654583,0.023093847,0.028420557,0.036846016,0.036959672,0.032358135,0.039450336,0.037383172,0.036437364,0.037186025,0.0242672,0.038730194,0.033442418,0.0316296
UMP,2,,,0,0,0,0,0.046060703,0.655025691,0,0.130628878,0,0,0.105605862,0.048024923,0.489363852,0.691766797,0.044039739,0.017225573,0.01701414,0.08228287,0.016358036,0.016034769,0.02028906,0.028279749,0.017743956,0.020903266,0.009387549,0.016538063,0.015542553,0,0,0.280236398,0.323041894
UMP,3,,,0,0,0,0,0.000852265,0.001516854,0,0.000410649,0,0,0.00136999,0,0.002098877,0.006086209,0,0.019578222,0.018764992,0.013995815,0.014571295,0.011328161,0.016434731,0.014805937,0.015877576,0.01832208,0.012763784,0.01393974,0.014045539,2.73E-05,0.000367876,0,0.00102328
UMP,4,,,0,0,0,8.39E-05,0,0,0,0.00076396,0.00052427,0,0.002131375,0,0,0,0,0.010262958,0.010572729,0.010176058,0.010930895,0.006534006,0.008411795,0.010232529,0.011148764,0.011236332,0.008654202,0.009336464,0.011328909,0.000857574,0.00049206,0,0
UMP,5,,,0,0,0,0.00107368,0.000599629,0,0.000423736,0.000483619,0,0,0.000562969,0.000955734,0,0,0.000884529,0.004420371,0.005952015,0.006192054,0.005506358,0.004156258,0.004093789,0.006483153,0.008920223,0.006899405,0.00517319,0.006655637,0.006631692,0.001119768,0.001138417,0,0
UMP,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001207767,0.002040853,0.0010963,0.000573012,0.001186997,0.001443045,0.001968518,0.001105501,0.002915619,0.000850602,0.002440545,0.003266032,0,0,0,0
UMP,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMP,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMP,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ribose phosphate,0,1,1,0.467038444,0,0.590447922,0.999167038,1,0.962602126,1,0.995499546,1,1,1,0.971987931,0.978089285,1,1,0.791683766,0.77482684,0.801906624,0.801145369,0.839427899,0.787354502,0.836658784,0.789899758,0.791684737,0.791807859,0.826418523,0.769665374,1,1,1,0.970427288
Ribose phosphate,1,0,0,0,0,0,0.000832962,0,0,0,0.004500454,0,0,0,0.016974559,0,0,0,0.09040051,0.084675813,0.077353766,0.070296935,0.066108716,0.0984201,0.07277722,0.061160953,0.069918936,0.106823211,0.067542486,0.099404037,0,0,0,0
Ribose phosphate,2,0,0,0.532961556,1,0.409552078,0,0,0.012324111,0,0,0,0,0,0.01103751,0.021910715,0,0,0.054027379,0.066376686,0.059780936,0.050943641,0.039690015,0.06267947,0.046454218,0.101539578,0.075652576,0.034805137,0.067190861,0.102396079,0,0,0,0.029572712
Ribose phosphate,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04662977,0.056548784,0.054138183,0.052219896,0.038005708,0.03923273,0.033219861,0.047399712,0.052770415,0.054145491,0.033466351,0.017503754,0,0,0,0
Ribose phosphate,4,0,0,0,0,0,0,0,0.025073763,0,0,0,0,0,0,0,0,0,0.017258576,0.017571877,0.00682049,0.025394158,0.016767661,0.012313198,0.010889917,0,0.009973335,0.012418303,0.005381779,0.011030757,0,0,0,0
Ribose phosphate,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,0,0.905925119,1,,,,0.989791721,0.982033857,0.983882926,1,1,0.997596442,0.939990164,1,0.999741701,1,1,1,0.839144844,0.766099054,0.824687876,0.84690186,0.734567122,0.775789723,0.864812059,0.868345488,0.853011933,0.86163392,0.850186838,0.873886108,0.999218674,0.936649417,0.983680473,0.960835437
NAD+,1,0.094074881,0,,,,0.010208279,0.010729317,0.014528096,0,0,0.002403558,0.060009836,0,0,0,0,0,0.052206524,0.047568915,0.037397708,0.012813896,0.036370242,0.022406828,0.011891221,0.015554266,0.019901296,0.01657752,0.0255226,0.002005962,0.000781326,0.00867818,0.013394652,0.032379395
NAD+,2,0,0,,,,0,0.007236827,0.001588978,0,0,0,0,0,0.000258299,0,0,0,0.043058906,0.055756863,0.052825842,0.004124673,0.01212557,0.056291423,0.04446807,0.053201367,0.047595051,0.037194107,0.046997457,0.039898872,0,0.001072543,0.002924876,0.006785167
NAD+,3,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.045930886,0.040349228,0.042378611,0.013140162,0.01511908,0.029585388,0.023578596,0.036330613,0.025711603,0.024411773,0.042041931,0.037616072,0,0,0,0
NAD+,4,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,5,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.005544171,0.008892369,0.005324944,0,0,0.006112045,0.016703727,0.007051864,0.015070699,0.020627632,0,0.014266558,0,0.050216788,0,0
NAD+,6,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,7,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.014114669,0.081333571,0.037385018,0.123019409,0.201817986,0.109814593,0.038546327,0.019516402,0.038709417,0.039555048,0.035251173,0.032326428,0,0.003383073,0,0
NAD+,8,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,9,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,10,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,11,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,12,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,13,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,14,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,15,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,16,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,17,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,18,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,19,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,20,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD+,21,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADP-D-Glucose,0,,,,,,0.997343044,0.968284392,1,1,1,1,1,0.988836003,1,1,1,1,0.850097864,0.755865324,0.813358018,0.845226846,0.813032372,1,0.822049969,0.894530848,0.850226526,0.905448595,0.840204252,0.838056281,1,0.957612371,1,0.939893895
ADP-D-Glucose,1,,,,,,0,0.031715608,0,0,0,0,0,0,0,0,0,0,0.149902136,0.124717544,0.110620234,0,0.102156103,0,0.177950031,0.058350806,0.109137358,0.094551405,0.088331929,0.161943719,0,0.042387629,0,0.034077774
ADP-D-Glucose,2,,,,,,0.002656956,0,0,0,0,0,0,0.011163997,0,0,0,0,0,0.119417132,0.076021748,0.154773154,0.084811525,0,0,0.047118346,0.040636115,0,0.071463819,0,0,0,0,0.026028331
ADP-D-Glucose,3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADP-D-Glucose,4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADP-D-Glucose,5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADP-D-Glucose,6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
