Compound,Label,Blank1,Blank2,Blank3,Blank4,Blank5,12C_Ambient-A1_I7,12C_Ambient-A2_I8,12C_Ambient-A3_I9,12C_Ambient-A4_I10,12C_Ambient-A5_I11,12C_Ambient-A6_I12,12C_High-H1_I27,12C_High-H2_I28,12C_High-H3_I29,12C_High-H4_I30,12C_High-H5_I31,12C_High-H6_I32,13C_Ambient-A1_I1,13C_Ambient-A2_I2,13C_Ambient-A3_I3,13C_Ambient-A4_I4,13C_Ambient-A5_I5,13C_Ambient-A6_I6,13C_High-H1_I21,13C_High-H2_I22,13C_High-H3_I23,13C_High-H4_I24,13C_High-H5_I25,13C_High-H6_I26,Dark13C_Ambient-Pool_I19,Dark13C_Ambient-Pool_I20,Dark13C_High-Pool_I39,Dark13C_High-Pool_I40
Citrate,5,0.009554997,0.016232235,0.024445769,0.029142938,0.024161383,0,0,0,0,0,0,0,0,0,0,0,0,0.040489679,0.045404626,0.089723394,0.048382712,0.037375676,0.034619175,0.036126928,0.032746478,0.039490807,0.032337938,0.035516681,0.040015194,0.016391767,0.004559368,0.004211292,0.012252001
Citrate,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005228186,0.004616851,3.75E-05,0.005100149,0.003878574,0.004298053,0.00390957,0.001932131,0.005770242,0.002817579,0.005559322,0.005612911,0,0,0,0
Arginine,0,1,1,1,1,1,1,1,1,1,1,0.999828817,1,0.990909098,0.989231541,1,1,1,1,1,0.9611855,1,0.972047711,0.955642015,0.945577363,0.979623091,0.965107023,0.997830585,1,0.975470691,1,0.978961622,0.966420313,0.991394126
Arginine,1,0,0,0,0,0,0,0,0,0,0,0.000171183,0,0.009090902,0.010768459,0,0,0,0,0,0.0388145,0,0.027952289,0.044357985,0.054422637,0.020376909,0.034892977,0.002169415,0,0.024529309,0,0.021038378,0.033579687,0.008605874
Arginine,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arginine,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arginine,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arginine,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arginine,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ornithine,0,,1,1,1,1,1,0.999717436,0.99559531,0.991879413,0.999972588,1,1,1,0.99968975,0.996825348,0.9961979,0.987556491,0.905317154,0.92724432,0.99477501,0.933982885,0.973585801,0.953591439,0.966007371,0.940060551,0.888078092,0.856400968,0.885362095,0.873969713,0.994275182,0.959884098,0.992433835,0.99164277
Ornithine,1,,0,0,0,0,0,0.000282564,0.00440469,0.008120587,2.74E-05,0,0,0,0.00031025,0.003174652,0,0.012443509,0.042619396,0.027829081,0.001817177,0.019704297,0.007762527,0.019231355,0.012370117,0.021326371,0.036559144,0.078173392,0.055483648,0.060540422,0.005724818,0.040115902,0.007566165,0.00835723
Ornithine,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038380434,0.025386492,0,0.034298253,0.010835738,0.014114964,0.012368866,0.025495904,0.042792673,0.024310099,0.018763716,0.03522567,0,0,0,0
Ornithine,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038021,0,0.013683017,0.019540107,0.003407813,0.012014566,0.007815934,0.013062242,0.009253646,0.013117174,0.032570091,0.04111554,0.040390542,0.030264195,0,0,0,0
Ornithine,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ornithine,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homoarginine,0,,,,0,,0.976275431,1,0.993305988,0.983124882,1,0.954441659,1,0.975089053,1,1,0.994697867,1,1,1,0.962220414,0.98838338,1,0.942662978,0.953643141,1,0.968333712,1,1,1,0.998861348,1,1,0.99426901
Homoarginine,1,,,,1,,0.023724569,0,0.006694012,0.016875118,0,0.045558341,0,0.024910947,0,0,0.005302133,0,0,0,0.037779586,0.01161662,0,0.057337022,0.046356859,0,0.031666288,0,0,0,0.001138652,0,0,0.00573099
Homoarginine,2,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homoarginine,3,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homoarginine,4,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homoarginine,5,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
