label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Blank4,Blank5,12C_Ambient-A1_I7,12C_Ambient-A2_I8,12C_Ambient-A3_I9,12C_Ambient-A4_I10,12C_Ambient-A5_I11,12C_Ambient-A6_I12,12C_High-H1_I27,12C_High-H2_I28,12C_High-H3_I29,12C_High-H4_I30,12C_High-H5_I31,12C_High-H6_I32,13C_Ambient-A1_I1,13C_Ambient-A2_I2,13C_Ambient-A3_I3,13C_Ambient-A4_I4,13C_Ambient-A5_I5,13C_Ambient-A6_I6,13C_High-H1_I21,13C_High-H2_I22,13C_High-H3_I23,13C_High-H4_I24,13C_High-H5_I25,13C_High-H6_I26,Dark-13C_Ambient-Pool_I19,Dark-13C_Ambient-Pool_I20,Dark-13C_High-Pool_I39,Dark-13C_High-Pool_I40
,182,187,28,151.045685,3.573,0.850531,,C13-label-1,Guanine,Guanine,C5H5N5O,0.213,1.313275,150.042267,2757.73,0,0,0,0,8521.88,18416.94,8122.58,13809.23,13250.73,11804.67,4625.1,14307.86,11240.88,6000.57,9369.13,10264.13,42407.73,37350.71,17373.57,23587.6,34533,67853.45,33481.52,10089.31,45774.85,66990.17,29174.35,28681.65,23646.44,37301.71,112329.6,34240.8
,182,188,5,152.049042,3.555,0.712687,,C13-label-2,Guanine,Guanine,C5H5N5O,0.195,1.304609,150.042267,0,0,0,0,0,0,0,0,0,1613.96,0,0,0,0,0,0,0,11350.38,10209.36,1347.72,6151.15,7806.66,29533.28,14269.62,1436.1,23858.91,21064.84,14551.47,14198.46,0,1486.7,6658.91,1315.73
,182,189,8,153.052444,3.568,0.832739,,C13-label-3,Guanine,Guanine,C5H5N5O,0.208,1.595146,150.042267,0,0,0,0,0,0,0,0,0,0,1195.62,0,0,0,0,0,0,7298.04,5438,2079.98,1825.95,4873.76,15123.09,7668,0,9625.45,14291.51,10575.55,9407.36,0,0,0,0
,190,190,25,203.08284,3.672,0.856199,[M-H]-,C12 PARENT,Tryptophan,Tryptophan,C11H12N2O2,0.372,1.202174,203.08284,14036.38,2618.63,847.8,1066.32,833.12,397350.09,281513.22,13342.45,308081.84,146637.92,302049.62,171887.67,70903.4,98104.84,1267.92,1791.61,110976.9,629154.19,518419.41,79254.63,347414.22,408105.97,595753.25,104835.38,90828.09,293655.12,258175.62,243527.88,228914.36,113486.98,205933.5,0,27172.07
,190,198,20,204.086899,3.665,0.844308,,C13-label-1,Tryptophan,Tryptophan,C11H12N2O2,0.365,4.635522,203.08284,3296.65,1540.92,786.42,794.6,967.54,49698.72,31724.65,2107.77,30976.63,19417.45,35295.99,21063.53,8024.67,9036.32,2405.71,3035.63,15050.79,68237.29,66060.05,6078.26,52132.06,45753.27,65106.52,13104.6,13141.72,37441.09,32443.31,29689.55,26391.1,14447.11,23575.71,1749.16,5268.59
,190,199,2,205.087952,3.718,0.82594,,C13-label-2,Tryptophan,Tryptophan,C11H12N2O2,0.418,6.621663,203.08284,3270.2,1688.49,1166.26,1295.76,3117.24,942.27,1876.77,1686.57,839.64,2058.97,1736.81,1418.01,0,1584,2067.02,1768.54,1457.94,9139.7,4570.58,1670.34,2681.3,5708.88,11816.34,0,1145.76,2112.87,2339.11,2246.86,1899.27,0,908.91,1792.91,1285.02
,190,200,4,206.09314,3.63,0.842213,,C13-label-3,Tryptophan,Tryptophan,C11H12N2O2,0.33,2.295193,203.08284,8499.19,1338.87,0,0,0,0,1367.49,922.75,0,0,0,0,1465.46,1621.06,0,0,0,14311.92,11082.13,0,4937.27,10129.95,11002.69,1549.65,0,2188.9,2779.22,1351.45,1904.44,0,0,0,0
,190,201,1,207.096191,3.639,0.835356,,C13-label-4,Tryptophan,Tryptophan,C11H12N2O2,0.339,0.810478,203.08284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712.75,13547.23,1596.09,8947.42,12913.49,13656.01,0,0,2344.54,4506.27,3286.53,1816.88,0,0,0,0
,190,202,4,209.101807,3.824,0.838464,,C13-label-6,Tryptophan,Tryptophan,C11H12N2O2,0.524,4.378362,203.08284,2706.44,1201.89,890.94,955.9,943.39,1033.08,0,973.39,752.68,0,800.19,684.02,1573.97,1231.91,1095.09,870.05,1196.39,10473.6,11393.87,1290.01,8576.9,10364.31,8437.2,1024.22,1171.66,1532.67,2471.24,755.62,1855.45,907.84,810.91,808.36,0
,190,203,3,210.106155,3.667,0.723031,,C13-label-7,Tryptophan,Tryptophan,C11H12N2O2,0.367,0.363121,203.08284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4496.6,3530.29,0,3337.6,6510.86,2915.25,0,737,0,0,0,0,0,0,0,0
