Date,Run,Plate,Temperature,Ptime,Rtime,Times based to give range of window for estimation of slope for P and R
20210618,1,710,27,40,43,
20210618,1,641,30,40,43,
20210618,2,710,27,40,43,
20210618,2,641,30,40,43,
