Measurement Name :,20211208_RunA_Pacu_710_28C,,Generated On :,"08/12/2021, 14:25:33",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
08.12.21 14:04:53,1.28,246.8,231.86,230.42,243.13,244.96,227.54,234.75,214.72,236.2,247.16,236.57,222.53,211.2,225.39,235.11,224.68,224.68,243.49,223.96,188.34,239.48,238.02,226.82,,,28,965,0,27.31,
08.12.21 14:05:08,1.53,247.16,231.86,231.86,242.76,245.69,227.9,234.75,214.72,238.02,247.9,237.29,222.53,210.85,225.39,235.84,224.68,225.03,243.86,223.96,187.65,239.48,238.75,227.18,,,28,965,0,27.3,
08.12.21 14:05:23,1.78,247.16,231.14,231.86,242.76,245.69,227.9,235.11,214.72,236.2,247.9,238.02,222.89,211.2,225.75,236.2,225.03,225.39,244.96,224.68,186.29,239.48,239.11,226.82,,,28,965,0,27.3,
08.12.21 14:05:38,2.03,247.53,230.78,229.34,243.13,246.06,227.54,235.11,215.08,235.84,248.64,238.02,221.82,210.85,225.75,236.2,225.03,225.39,244.96,223.96,184.93,236.57,239.11,226.82,,,28,965,0,27.31,
08.12.21 14:05:53,2.28,247.9,229.7,230.78,243.13,246.43,227.9,235.11,214.37,236.57,248.64,238.75,221.82,210.85,226.11,236.57,225.03,225.39,244.96,223.96,183.91,235.84,239.11,226.47,,,28,965,0,27.3,
08.12.21 14:06:08,2.53,248.27,230.06,230.78,242.76,246.43,227.9,234.75,214.02,236.2,249.01,239.11,221.82,210.85,225.75,236.93,224.68,225.39,245.69,224.32,182.89,235.48,239.11,226.82,,,28,965,0,27.31,
08.12.21 14:06:23,2.78,248.64,229.7,227.9,243.49,247.16,228.26,235.48,213.67,236.93,249.74,240.2,221.82,210.85,226.47,237.66,225.39,226.11,246.06,223.96,181.87,235.84,238.75,226.82,,,28,965,0,27.31,
08.12.21 14:06:38,3.03,249.01,227.9,227.54,243.13,247.16,227.54,235.11,213.31,236.93,249.38,240.57,220.75,210.85,226.47,236.93,225.03,225.39,246.06,224.32,180.18,235.84,238.38,226.47,,,28,965,0,27.31,
08.12.21 14:06:53,3.28,249.38,227.54,228.98,243.13,247.16,227.9,235.11,212.96,237.29,250.11,240.57,220.4,210.5,226.82,237.66,225.03,225.39,246.43,223.96,179.17,235.11,238.02,226.82,,,28,965,0,27.31,
08.12.21 14:07:08,3.53,249.01,227.54,228.62,242.76,246.8,227.54,234.75,212.26,236.93,249.74,241.3,219.68,209.8,226.82,237.66,225.03,225.39,246.43,223.96,178.16,235.11,237.66,226.11,,,28,965,0,27.31,
08.12.21 14:07:23,3.78,249.74,226.11,228.26,243.13,247.16,226.82,234.75,212.26,237.29,250.85,240.93,218.97,210.15,227.18,238.02,224.68,225.75,246.8,223.96,177.15,234.75,237.66,226.11,,,28,965,0,27.31,
08.12.21 14:07:38,4.03,249.38,226.11,227.18,242.76,247.53,227.18,234.75,212.26,236.93,250.11,241.66,218.97,209.09,226.82,238.38,224.68,225.03,247.16,223.6,176.48,235.48,236.93,225.75,,,28,965,0,27.31,
08.12.21 14:07:54,4.3,249.74,225.39,226.11,242.76,247.16,226.82,234.39,211.55,236.93,251.22,242.4,217.91,209.45,226.82,238.02,223.96,225.39,246.8,222.89,176.14,234.75,236.93,225.39,,,28,965,0,27.33,
08.12.21 14:08:09,4.55,249.38,224.32,225.75,242.4,247.16,226.47,234.03,211.2,236.93,250.48,242.03,217.2,208.74,226.47,238.02,223.96,224.68,246.43,222.89,174.8,233.31,236.2,225.03,,,28,965,0,27.31,
08.12.21 14:08:24,4.8,249.38,223.96,221.46,242.4,247.53,226.47,233.31,210.5,236.93,250.85,242.4,216.85,208.39,226.47,238.38,223.96,225.03,247.16,222.18,173.79,233.67,236.2,225.39,,,28,965,0,27.33,
08.12.21 14:08:39,5.05,249.38,223.25,221.46,242.76,248.27,226.47,233.67,209.8,237.66,251.22,242.76,216.85,208.04,226.82,238.38,223.96,225.03,247.53,222.18,172.78,233.67,235.84,225.03,,,28,965,0,27.33,
08.12.21 14:08:54,5.3,249.74,222.53,220.75,242.76,247.53,225.75,233.67,209.09,236.93,250.85,242.76,216.14,208.04,226.11,238.38,223.25,225.03,247.53,221.82,172.45,232.94,235.11,224.68,,,28,965,0,27.33,
08.12.21 14:09:09,5.55,249.01,221.11,221.46,242.03,246.8,225.39,233.31,208.39,237.29,250.85,243.13,215.43,206.99,226.47,238.02,222.89,224.32,247.16,221.11,171.78,232.22,235.11,224.32,,,28,965,0,27.33,
08.12.21 14:09:24,5.8,249.38,220.75,220.4,242.03,247.16,225.03,232.94,208.04,236.93,250.48,242.76,214.72,206.64,226.47,238.02,222.89,223.96,247.53,220.75,170.78,232.58,234.75,223.96,,,28,965,0,27.35,
08.12.21 14:09:39,6.05,249.38,219.68,220.04,242.4,247.16,224.68,232.58,208.04,237.29,250.85,243.49,214.37,206.3,226.47,238.38,222.89,224.32,247.9,220.75,170.44,232.58,234.75,224.32,,,28,965,0,27.34,
08.12.21 14:09:54,6.3,249.38,219.68,220.4,242.03,247.16,224.68,232.58,207.34,236.93,250.48,243.49,213.31,205.25,226.47,238.38,222.18,224.32,247.9,220.04,170.11,231.86,234.03,223.6,,,28,965,0,27.35,
08.12.21 14:10:09,6.55,249.74,220.04,220.4,241.66,247.16,224.32,231.86,206.3,236.57,251.22,243.49,212.61,204.9,226.11,238.38,222.18,223.6,247.53,219.68,169.78,231.5,233.31,223.6,,,28,965,0,27.35,
08.12.21 14:10:24,6.8,249.74,218.62,220.04,242.03,246.8,224.32,231.5,206.3,236.57,250.48,243.86,212.26,204.55,225.39,238.38,221.82,223.25,247.53,219.33,169.44,231.14,233.31,222.89,,,28,965,0,27.35,
08.12.21 14:10:39,7.05,249.74,218.97,219.68,241.3,246.43,223.96,231.14,205.95,236.93,250.85,244.59,211.55,204.2,225.75,238.38,221.82,223.96,247.9,218.62,168.45,231.14,233.67,223.25,,,28,965,0,27.35,
08.12.21 14:10:54,7.3,249.01,217.2,218.97,240.93,246.43,222.53,230.78,204.55,235.84,250.11,243.49,210.5,203.51,225.03,237.66,220.4,222.53,247.53,217.56,167.78,230.06,232.22,221.82,,,28,965,0,27.35,
08.12.21 14:11:09,7.55,249.38,217.2,219.33,241.3,246.43,222.89,230.06,204.2,236.2,250.48,243.86,210.5,202.81,225.39,238.02,220.75,223.25,247.9,217.2,167.11,230.42,232.58,221.82,,,28,965,0,27.35,
08.12.21 14:11:24,7.8,249.38,215.78,218.26,241.3,246.43,222.53,230.06,203.51,235.84,250.11,243.86,209.45,202.11,225.03,238.02,220.4,222.53,247.9,216.49,166.78,229.34,232.22,221.82,,,28,965,0,27.36,
08.12.21 14:11:39,8.05,249.01,214.72,218.26,240.57,245.33,221.82,229.7,202.81,235.48,249.74,243.86,208.39,201.77,225.03,237.66,219.33,222.18,247.53,215.78,166.45,228.98,232.58,221.46,,,28,965,0,27.35,
08.12.21 14:11:54,8.3,250.11,215.43,218.26,240.93,246.8,221.82,229.34,202.81,236.2,250.11,244.23,208.39,201.42,225.03,238.02,220.04,222.53,247.9,215.78,166.45,229.34,230.78,221.46,,,28,965,0,27.36,
08.12.21 14:12:09,8.55,249.38,213.67,217.2,240.57,245.33,220.75,228.98,201.42,235.48,249.38,243.86,207.34,200.38,224.32,237.66,218.97,221.82,247.53,214.37,165.79,228.62,228.62,220.75,,,28,965,0,27.36,
08.12.21 14:12:24,8.8,249.38,213.67,217.2,240.2,245.33,221.11,228.98,201.07,235.11,249.01,244.59,206.99,199.68,224.68,237.66,218.62,222.18,247.53,214.37,165.46,228.26,227.9,220.4,,,28,965,0,27.38,
08.12.21 14:12:39,9.05,249.01,212.61,217.2,240.2,245.69,220.75,228.26,200.72,235.11,249.01,244.59,205.95,198.99,223.6,237.29,218.62,221.46,247.16,213.67,164.46,227.54,227.18,220.04,,,28,965,0,27.38,
08.12.21 14:12:54,9.3,249.38,212.26,216.49,240.57,245.69,220.4,227.9,200.03,235.11,249.01,243.86,205.6,197.95,224.32,237.29,218.26,221.46,247.9,212.96,163.47,226.47,226.11,219.68,,,28,965,0,27.38,
08.12.21 14:13:09,9.55,248.64,211.2,216.49,239.48,245.33,219.33,227.18,199.34,235.11,249.01,244.59,204.55,197.61,223.25,237.29,217.56,221.46,247.53,212.61,163.47,225.75,225.03,220.04,,,28,965,0,27.38,
08.12.21 14:13:24,9.8,249.01,210.5,215.78,239.48,244.59,219.33,226.47,198.3,234.03,247.9,244.23,203.16,196.57,223.25,236.57,216.85,220.4,247.16,211.55,162.15,224.32,224.32,218.97,,,28,965,0,27.38,
08.12.21 14:13:39,10.05,249.01,210.15,214.72,239.48,244.59,218.62,226.47,197.95,233.67,247.9,244.23,202.46,195.88,222.89,236.93,216.49,220.4,247.16,211.2,162.15,223.6,223.96,218.62,,,28,965,0,27.38,
08.12.21 14:13:54,10.3,249.01,209.45,214.37,239.48,244.23,218.26,225.75,196.92,233.67,247.53,244.23,201.77,195.19,222.18,236.2,216.14,220.04,247.16,210.15,161.16,223.25,223.25,218.26,,,28,965,0,27.39,
08.12.21 14:14:09,10.55,248.64,209.09,214.37,239.48,244.23,217.56,225.75,196.92,233.67,247.16,244.59,201.42,194.85,222.53,236.93,216.14,220.04,247.16,210.15,161.49,222.18,222.89,218.26,,,28,965,0,27.39,
08.12.21 14:14:24,10.8,248.27,208.74,214.02,239.48,243.86,217.2,225.39,195.88,233.31,245.69,244.59,200.72,193.82,221.82,236.2,215.43,220.04,247.16,209.09,160.83,221.11,222.53,217.91,,,28,965,0,27.39,
08.12.21 14:14:39,11.05,248.64,208.04,213.67,239.11,243.49,216.85,225.03,195.19,233.31,246.06,244.59,199.68,193.13,222.18,235.84,215.08,219.68,247.16,208.74,159.84,221.46,222.18,217.2,,,28,965,0,27.39,
08.12.21 14:14:54,11.3,248.64,207.34,213.31,238.75,242.4,216.14,224.32,194.51,232.58,244.96,243.86,198.99,192.1,221.46,235.84,214.37,219.33,247.16,207.69,159.18,219.33,221.46,217.2,,,28,965,0,27.42,
08.12.21 14:15:09,11.55,248.27,206.99,215.08,238.38,243.13,216.14,224.68,194.16,232.94,244.59,244.59,198.3,191.41,220.75,235.84,214.37,218.62,247.16,207.34,158.85,217.91,222.53,216.85,,,28,965,0,27.42,
08.12.21 14:15:24,11.8,248.27,206.3,211.9,238.75,242.4,215.08,223.6,192.79,231.14,243.86,244.23,197.26,190.73,221.11,235.48,213.67,218.62,247.16,206.64,158.19,216.49,220.75,216.14,,,28,965,0,27.42,
08.12.21 14:15:39,12.05,248.27,205.95,211.9,238.75,242.4,214.72,222.53,192.44,230.42,243.49,244.23,196.57,190.04,220.4,235.48,213.31,217.91,246.43,205.95,157.54,215.78,219.68,215.78,,,28,965,0,27.42,
08.12.21 14:15:54,12.3,248.27,205.25,210.5,238.02,242.03,214.02,222.53,191.41,229.7,243.13,244.23,195.88,189.02,220.04,235.11,212.96,217.91,246.8,205.6,157.21,214.72,218.62,215.43,,,28,965,0,27.42,
08.12.21 14:16:09,12.55,248.64,204.55,210.5,238.38,241.66,214.02,222.18,191.07,229.34,243.13,244.96,194.85,188.68,220.4,235.11,212.26,218.26,247.16,204.9,156.55,213.67,218.26,215.08,,,28,965,0,27.42,
08.12.21 14:16:24,12.8,248.64,204.2,210.15,237.66,242.03,213.67,221.46,190.04,228.62,242.4,244.59,194.16,187.65,219.68,235.11,211.9,217.56,247.16,204.2,155.9,212.96,217.2,214.37,,,28,965,0,27.42,
08.12.21 14:16:39,13.05,247.9,203.85,208.74,237.66,240.93,212.61,221.46,189.36,228.26,242.4,244.23,193.13,186.63,218.97,234.39,211.2,217.2,247.16,203.85,155.57,211.9,215.43,213.67,,,28,965,0,27.44,
08.12.21 14:16:54,13.3,248.64,203.16,208.39,238.02,240.93,212.26,220.75,189.02,227.9,242.4,244.96,192.44,186.29,218.97,234.39,210.85,217.2,247.16,203.16,155.24,210.5,213.31,214.37,,,28,965,0,27.42,
08.12.21 14:17:09,13.55,248.64,202.81,207.69,237.66,240.2,211.9,220.75,187.99,227.18,241.66,244.96,191.07,185.27,218.62,234.39,210.85,216.49,247.16,202.46,154.59,208.39,212.26,213.67,,,28,965,0,27.44,
08.12.21 14:17:24,13.8,248.27,201.07,206.64,237.29,239.84,210.85,220.04,186.97,226.47,240.93,244.23,190.39,183.91,217.91,233.67,209.8,216.14,246.8,201.77,153.61,204.9,211.55,212.96,,,28,965,0,27.44,
08.12.21 14:17:39,14.05,248.64,201.07,206.3,236.93,240.2,210.5,220.04,186.63,226.82,241.3,244.96,190.04,183.57,217.91,233.31,209.45,215.78,246.8,201.42,152.96,202.46,211.2,212.61,,,28,965,0,27.45,
08.12.21 14:17:54,14.3,248.27,200.72,205.25,236.57,239.48,210.15,219.33,185.95,226.47,240.2,244.59,189.02,183.23,217.2,233.67,208.74,215.78,247.16,200.72,152.3,197.95,210.5,212.26,,,28,965,0,27.46,
08.12.21 14:18:09,14.55,248.64,200.38,204.9,236.93,239.11,209.8,219.33,185.27,226.11,240.57,244.96,187.99,182.21,217.2,233.31,209.09,215.78,247.16,200.38,151.65,193.82,210.5,212.26,,,28,965,0,27.46,
08.12.21 14:18:24,14.8,248.27,199.68,204.2,236.57,238.75,209.09,218.62,184.25,225.39,239.84,244.59,186.97,181.2,216.14,232.94,207.69,215.78,246.8,199.34,150.35,188.34,209.45,211.55,,,28,965,0,27.46,
08.12.21 14:18:39,15.05,248.64,198.99,203.51,236.2,238.75,208.39,217.91,183.57,224.68,239.48,244.23,185.61,179.85,215.08,232.22,206.99,215.08,246.8,198.3,149.38,183.57,208.74,211.2,,,28,965,0,27.49,
08.12.21 14:18:54,15.3,248.27,198.3,203.16,235.84,237.66,208.04,217.56,182.55,224.68,239.11,244.96,184.93,179.85,215.43,232.58,206.99,215.08,246.8,198.3,148.73,179.17,208.39,210.85,,,28,965,0,27.49,
08.12.21 14:19:09,15.55,248.27,198.3,202.81,236.2,238.02,207.69,217.2,182.21,223.96,238.75,244.96,184.59,178.83,214.37,232.22,206.64,214.72,247.16,197.61,148.08,175.47,208.39,210.15,,,28,965,0,27.49,
08.12.21 14:19:24,15.8,248.64,197.61,201.77,235.84,236.93,206.99,216.85,180.86,223.6,238.75,244.96,182.89,178.16,214.02,231.86,205.95,214.37,247.16,196.23,147.11,170.78,207.34,209.8,,,28,965,0,27.49,
08.12.21 14:19:39,16.05,248.27,197.26,201.77,235.48,236.93,206.64,216.14,179.85,222.89,237.66,244.59,181.54,176.81,213.67,231.14,205.25,214.02,247.16,196.23,146.78,167.78,207.34,209.09,,,28,965,0,27.52,
08.12.21 14:19:54,16.3,247.9,197.26,201.07,235.48,236.93,205.95,216.49,179.51,222.89,238.02,245.33,181.2,176.14,212.96,231.5,204.55,214.37,247.16,195.54,146.13,164.79,206.3,208.74,,,28,965,0,27.52,
08.12.21 14:20:09,16.55,247.9,195.88,200.72,235.11,236.93,205.6,216.14,178.83,221.82,237.29,244.96,179.85,174.8,211.9,230.78,204.2,214.02,247.16,194.85,145.49,161.82,205.6,208.74,,,28,965,0,27.52,
08.12.21 14:20:24,16.8,248.27,195.19,200.03,235.11,235.84,204.2,215.43,177.15,221.46,236.93,244.59,178.83,174.12,211.55,230.42,203.85,213.31,246.8,193.82,144.84,158.85,204.9,208.04,,,28,965,0,27.53,
08.12.21 14:20:39,17.05,247.9,194.85,199.34,235.11,235.11,204.55,215.08,176.48,220.4,236.57,244.96,177.48,173.12,210.85,230.06,203.16,212.96,247.16,193.13,144.2,156.55,204.2,207.69,,,28,965,0,27.53,
08.12.21 14:20:54,17.3,247.9,193.82,198.99,234.75,235.11,203.51,214.72,176.14,219.68,236.57,244.59,176.14,172.12,210.15,230.06,202.46,212.61,247.16,193.13,143.55,153.61,203.85,206.99,,,28,965,0,27.53,
08.12.21 14:21:09,17.55,247.53,193.47,197.61,234.39,234.39,203.16,214.02,175.47,219.68,236.2,244.96,174.8,171.11,209.09,229.34,201.77,212.26,246.8,191.76,142.58,151.33,203.16,206.3,,,28,965,0,27.55,
08.12.21 14:21:24,17.8,247.9,192.79,197.26,234.39,233.67,202.46,214.02,174.8,219.33,235.84,245.33,173.12,170.44,208.74,229.34,201.42,212.26,247.16,191.76,141.94,149.38,203.16,205.95,,,28,965,0,27.56,
08.12.21 14:21:39,18.05,248.27,192.79,197.26,234.75,234.39,201.77,214.02,173.79,218.97,235.48,245.69,171.45,169.78,208.04,229.34,201.07,212.26,247.16,191.41,141.3,147.11,202.81,205.95,,,28,965,0,27.56,
08.12.21 14:21:54,18.3,247.9,192.1,196.23,233.67,233.31,201.42,212.96,172.78,217.91,234.75,244.96,169.78,168.78,207.34,228.98,200.03,211.2,246.8,190.04,139.69,144.84,202.11,205.6,,,28,965,0,27.56,
08.12.21 14:22:09,18.55,248.27,191.41,195.88,233.67,232.94,201.07,212.96,172.12,217.56,235.11,245.33,168.45,168.11,206.3,228.62,200.03,211.2,247.16,190.04,139.69,141.94,201.42,204.55,,,28,965,0,27.58,
08.12.21 14:22:24,18.8,248.64,191.07,195.54,233.67,232.58,200.03,212.61,170.78,217.56,234.39,245.69,167.11,167.11,205.95,228.62,199.34,211.55,247.16,189.02,138.73,139.37,201.07,204.55,,,28,965,0,27.58,
08.12.21 14:22:39,19.05,247.9,190.73,194.85,233.67,231.86,199.68,212.26,170.11,216.49,234.03,244.96,165.79,166.45,204.9,227.9,198.65,211.2,247.16,188.34,137.45,136.17,200.72,203.51,,,28,965,0,27.58,
08.12.21 14:22:54,19.3,247.53,190.04,193.13,232.94,231.5,198.65,211.55,169.44,215.78,233.67,244.59,163.8,165.12,203.85,227.18,197.61,210.5,246.8,187.31,136.49,133.62,200.03,202.81,,,28,965,0,27.59,
08.12.21 14:23:09,19.55,247.9,190.04,193.82,233.31,231.14,198.65,211.55,168.78,215.43,233.67,245.33,163.14,164.79,203.51,227.18,197.95,210.85,247.16,187.31,136.49,131.4,199.68,202.46,,,28,965,0,27.6,
08.12.21 14:23:24,19.8,247.53,189.02,192.1,232.58,230.06,197.61,210.5,167.11,214.02,232.58,244.96,161.49,162.81,202.46,226.47,195.88,210.15,246.8,185.95,134.9,129.18,198.65,201.42,,,28,965,0,27.6,
08.12.21 14:23:39,20.05,247.9,188.68,191.76,233.31,229.7,197.26,210.5,166.78,214.37,232.94,245.33,160.5,162.48,201.77,226.47,195.88,210.15,246.8,185.61,134.26,127.92,198.99,201.77,,,28,965,0,27.61,
08.12.21 14:23:54,20.3,247.9,187.99,191.07,232.22,228.98,196.57,210.15,165.79,213.31,232.58,245.33,159.18,161.82,201.07,226.11,195.19,209.45,247.16,185.27,133.94,126.34,197.95,201.07,,,28,965,0,27.61,
08.12.21 14:24:09,20.55,247.53,186.63,190.39,232.22,228.98,195.54,209.09,164.46,212.61,231.5,244.96,157.87,160.5,200.03,225.75,194.16,209.09,246.8,184.25,132.99,124.76,197.26,200.03,,,28,965,0,27.63,
08.12.21 14:24:24,20.8,247.53,186.97,189.7,231.86,228.98,195.19,208.74,163.8,212.26,231.5,244.96,156.88,160.17,199.34,225.39,194.51,208.74,246.8,183.57,132.67,124.13,197.26,199.68,,,28,965,0,27.63,
