Measurement Name :,Plate2_20211204_TPC,,Generated On :,"04/12/2021, 15:57:33",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,
04.12.21 15:44:26,2.8,185.21,186.87,35.75,210.57,134.66,233.96,169.07,196.6,163.55,192.23,188.21,179.24,240,166.79,188.54,155.19,165.17,214.71,182.22,223.05,188.21,189.21,172.99,,22,965,34,24.28,
04.12.21 15:44:41,3.05,184.54,185.87,35.48,210.23,132.48,233.25,169.07,195.93,163.23,189.88,185.87,177.59,239.29,163.55,188.21,155.83,163.55,207.49,181.89,222.7,192.56,187.54,171.68,,22,965,34,24.27,
04.12.21 15:44:56,3.3,184.21,185.87,35.48,209.89,131.24,233.25,169.72,195.25,162.58,190.21,184.21,176.27,239.29,160.65,189.21,156.79,156.47,205.09,181.55,223.05,192.56,184.54,172.99,,22,965,34,24.25,
04.12.21 15:45:11,3.55,183.54,184.87,35.48,209.54,131.24,233.25,169.07,194.24,161.94,187.87,189.88,174.96,239.29,159.68,189.21,156.79,154.55,204.41,180.89,223.05,190.88,182.88,173.32,,22,965,34,24.24,
04.12.21 15:45:26,3.8,182.88,184.21,35.48,209.2,130.93,233.6,168.09,194.24,161.29,189.88,189.21,173.97,239.29,158.07,189.88,154.23,152.95,203.73,179.9,223.05,190.55,182.22,173.32,,22,965,34,24.23,
04.12.21 15:45:41,4.05,182.55,183.54,35.48,208.86,129.07,233.25,168.42,192.23,160.97,189.54,187.21,174.3,239.29,157.11,188.88,153.27,152.63,203.05,179.24,223.05,183.54,180.23,174.3,,22,965,34,24.23,
04.12.21 15:45:56,4.3,181.89,182.88,35.2,208.86,127.53,233.25,168.42,191.89,160.32,188.54,183.88,173.97,239.65,155.83,188.88,152.95,151.67,202.03,178.58,222.7,182.55,176.6,174.3,,22,965,34,24.21,
04.12.21 15:46:11,4.55,180.56,181.22,35.48,208.51,126.6,232.54,167.77,190.55,160.32,187.87,183.54,175.94,239.65,153.59,188.54,153.59,150.72,201.69,177.92,223.05,184.21,171.36,173.97,,22,965,34,24.18,
04.12.21 15:46:26,4.8,180.23,181.22,35.2,208.17,126.6,233.6,168.09,189.88,159.68,186.21,182.88,177.92,239.65,153.91,193.23,151.99,149.76,202.03,177.59,222.7,185.21,170.7,173.97,,22,965,34,24.18,
04.12.21 15:46:41,5.05,179.57,180.89,35.48,208.17,126.91,232.89,168.42,190.21,158.71,185.54,183.21,178.91,239.65,153.27,189.88,147.54,149.13,202.37,175.62,222.7,180.56,170.05,173.97,,22,965,34,24.18,
04.12.21 15:46:56,5.3,178.91,180.56,35.75,207.49,127.53,233.6,168.09,190.21,158.71,185.21,182.88,181.89,238.93,151.67,188.88,145.01,147.86,201.69,177.26,222.7,180.23,170.05,174.3,,22,965,34,24.16,
04.12.21 15:47:11,5.55,178.25,179.24,35.2,206.8,128.45,233.25,168.09,189.54,158.39,183.88,182.88,180.56,238.58,151.67,187.21,147.86,146.59,202.37,176.6,222.7,179.9,170.38,174.63,,22,965,34,24.14,
04.12.21 15:47:26,5.8,177.59,179.24,35.2,206.8,129.07,232.89,168.75,189.54,157.75,182.88,183.21,179.9,239.29,151.35,188.21,143.75,146.59,201.69,176.93,222.7,180.89,171.03,174.3,,22,965,34,24.14,
04.12.21 15:47:41,6.05,176.93,178.58,35.2,206.12,130,233.25,168.42,189.88,157.11,182.22,182.55,179.9,238.93,150.72,186.21,142.18,145.96,202.03,172.99,221.65,177.26,170.05,174.3,,22,965,34,24.11,
04.12.21 15:47:56,6.3,175.94,176.6,35.2,205.77,129.07,232.89,168.75,189.21,156.79,182.22,182.22,179.9,239.29,150.72,186.21,142.8,144.7,202.03,172.66,222,177.26,169.72,174.3,,22,965,34,24.11,
04.12.21 15:48:11,6.55,174.96,175.94,34.93,204.07,126.91,232.89,168.75,188.88,155.83,181.55,181.89,177.92,238.22,149.45,186.21,142.8,143.12,201.35,171.36,221.31,177.26,170.7,172.66,,22,965,34,24.09,
04.12.21 15:48:26,6.8,174.96,175.29,34.93,204.41,127.22,233.25,169.4,188.88,156.15,180.23,183.54,178.91,238.58,150.72,188.21,142.8,143.43,201.69,167.77,222,175.62,171.03,173.97,,22,965,34,24.09,
04.12.21 15:48:41,7.05,173.97,174.3,35.2,203.73,125.99,232.89,168.09,188.54,155.19,179.24,188.21,176.93,238.22,150.08,188.21,138.1,141.86,201.69,166.79,221.65,174.63,170.38,173.65,,22,965,34,24.07,
04.12.21 15:48:56,7.3,173.65,173.65,35.48,203.73,127.53,233.25,168.75,188.88,156.47,178.91,188.54,173.65,238.93,148.81,185.54,134.97,141.55,201.35,167.12,221.65,173.97,171.03,175.29,,22,965,34,24.07,
04.12.21 15:49:11,7.55,172.99,173.32,35.48,203.05,127.22,232.89,167.77,188.54,155.83,178.91,188.54,169.72,239.29,147.54,186.87,133.73,139.98,201.69,165.82,222.7,174.96,170.7,175.29,,22,965,34,24.07,
04.12.21 15:49:26,7.8,172.01,172.34,35.2,202.03,126.6,232.54,167.44,187.87,153.91,177.92,186.21,165.82,238.22,145.33,184.21,132.79,137.78,201.69,165.17,222,174.63,170.05,175.29,,22,965,34,24.05,
04.12.21 15:49:41,8.05,170.7,171.03,35.2,201.69,126.29,232.54,167.12,186.87,152.31,177.59,184.21,161.29,238.22,144.07,183.21,131.55,136.22,201.01,165.5,222,174.3,170.7,173.97,,22,965,34,24.05,
04.12.21 15:49:56,8.3,170.05,171.03,35.48,201.01,125.06,232.19,167.12,187.21,151.99,177.92,181.55,158.39,237.51,143.12,183.21,130.31,134.97,201.01,167.12,220.26,173.97,169.72,174.63,,22,965,34,24.03,
04.12.21 15:50:11,8.55,169.4,170.7,35.2,200.67,122.61,232.54,167.44,186.54,152.95,177.26,181.89,157.75,238.22,141.86,187.21,129.38,134.66,201.69,165.82,221.31,173.65,169.72,174.96,,22,965,34,24.02,
04.12.21 15:50:26,8.8,168.09,169.72,34.93,199.65,121.69,232.19,167.77,187.54,151.35,179.57,180.89,156.47,238.22,139.98,184.21,128.76,132.79,199.99,164.2,220.96,173.32,171.03,175.29,,22,965,34,24,
04.12.21 15:50:41,9.05,167.77,169.72,35.2,200.33,121.07,232.19,167.44,186.21,149.13,178.91,181.22,156.15,237.51,139.04,182.55,127.84,133.42,200.67,164.52,220.96,172.34,171.36,175.29,,22,965,34,24,
04.12.21 15:50:56,9.3,166.47,168.42,34.93,199.31,119.85,231.83,167.44,185.21,146.91,179.9,184.21,154.55,238.22,139.04,181.55,126.91,132.48,200.67,162.26,220.61,172.01,170.38,174.96,,22,965,34,24,
04.12.21 15:51:11,9.55,166.14,167.77,34.93,197.96,119.85,232.54,166.79,184.54,147.23,177.59,185.54,151.67,237.86,138.72,179.9,125.99,132.17,199.99,160.65,220.61,171.36,171.36,174.3,,22,965,34,23.98,
04.12.21 15:51:26,9.8,165.5,167.44,34.93,197.96,119.24,232.19,165.82,184.87,147.86,177.59,185.87,150.4,237.86,138.41,179.24,126.6,131.55,200.33,160.97,220.26,170.7,171.36,174.63,,22,965,34,23.98,
04.12.21 15:51:41,10.05,165.17,166.79,35.2,196.94,119.54,232.54,167.12,186.54,147.23,176.93,185.21,149.13,237.86,138.1,178.25,126.29,130.62,199.99,159.68,221.31,171.68,171.68,174.3,,22,965,34,23.97,
04.12.21 15:51:56,10.3,164.2,166.47,35.2,195.93,117.71,232.19,165.5,187.21,145.33,176.6,184.54,148.18,238.22,137.78,176.6,126.6,128.76,199.99,159.36,220.96,171.36,172.34,173.32,,22,965,34,23.96,
04.12.21 15:52:11,10.55,163.55,165.82,34.93,195.25,117.1,232.19,167.12,186.21,143.75,177.26,183.88,149.13,237.86,135.91,175.94,126.6,128.45,199.99,159.04,221.31,170.38,169.4,173.32,,22,965,34,23.95,
04.12.21 15:52:26,10.8,162.9,165.17,34.93,194.24,117.1,232.19,167.77,185.54,142.18,176.27,184.21,149.76,237.86,133.73,175.29,126.6,127.22,198.97,159.36,220.26,171.68,168.09,172.66,,22,965,34,23.93,
04.12.21 15:52:41,11.05,161.61,164.52,34.93,193.57,115.58,231.48,167.77,185.54,141.55,173.97,183.54,151.35,236.8,131.24,175.62,127.22,125.99,199.31,156.79,220.26,169.4,167.44,172.99,,22,965,34,23.93,
04.12.21 15:52:56,11.3,160.97,164.2,34.66,192.9,113.76,232.19,167.77,185.54,139.66,172.01,185.87,150.08,236.8,131.55,175.29,127.84,124.75,198.97,154.87,219.91,171.36,167.12,172.99,,22,965,34,23.93,
04.12.21 15:53:11,11.55,160.65,164.52,34.93,192.9,113.76,231.83,168.75,183.21,140.29,171.36,180.89,148.81,237.86,130.31,174.96,129.07,124.14,199.65,155.51,220.61,177.26,166.79,171.36,,22,965,34,23.93,
04.12.21 15:53:26,11.8,160,164.2,34.93,191.55,112.85,231.48,168.42,182.88,139.35,169.07,180.23,147.86,237.86,127.53,172.99,130.31,123.53,199.31,154.23,219.91,177.26,166.47,172.01,,22,965,34,23.89,
04.12.21 15:53:41,12.05,159.68,164.52,35.48,190.88,112.55,232.19,167.44,183.54,139.04,168.75,178.25,148.18,237.86,125.37,172.34,130.93,122.61,198.63,153.59,219.91,172.99,167.12,172.34,,22,965,34,23.91,
04.12.21 15:53:56,12.3,158.71,163.55,34.93,189.21,111.64,231.83,165.5,182.88,139.35,166.79,177.59,146.59,237.86,122.61,170.05,130.31,121.99,198.29,152.31,220.26,173.32,165.82,170.7,,22,965,34,23.89,
04.12.21 15:54:11,12.55,158.39,162.26,34.93,188.54,109.83,231.48,164.52,182.55,139.35,164.85,177.92,146.91,237.86,121.99,168.75,131.24,120.46,197.96,151.67,220.26,168.09,164.85,171.03,,22,965,34,23.89,
04.12.21 15:54:26,12.8,157.75,161.29,34.93,187.54,109.53,231.83,164.2,183.21,135.28,164.85,177.92,146.28,237.51,121.07,169.4,132.17,120.46,196.27,150.4,219.56,166.79,166.14,170.7,,22,965,34,23.88,
04.12.21 15:54:41,13.05,156.79,159.68,34.66,186.87,108.02,231.48,163.55,183.21,132.79,163.55,173.97,146.59,237.15,121.07,169.4,135.6,119.85,195.59,150.72,219.91,165.17,165.5,170.38,,22,965,34,23.86,
04.12.21 15:54:56,13.3,155.51,158.07,34.38,185.87,106.52,231.13,162.9,181.55,132.17,162.26,172.99,146.28,237.51,120.77,170.38,132.17,120.46,194.92,150.08,220.26,163.88,165.17,168.75,,22,965,34,23.86,
04.12.21 15:55:11,13.55,154.55,156.47,34.66,184.21,104.42,231.83,161.61,180.89,130,162.9,172.01,145.96,236.8,120.46,169.4,132.48,119.85,194.58,150.08,219.22,163.23,164.2,169.07,,22,965,34,23.84,
04.12.21 15:55:26,13.8,153.27,155.19,34.66,182.88,103.23,231.13,160.32,180.56,125.99,164.2,171.03,143.12,237.51,121.99,163.88,132.79,118.63,191.89,148.81,218.87,164.52,164.52,168.09,,22,965,34,23.84,
04.12.21 15:55:41,14.05,151.99,153.91,34.66,181.89,102.33,231.13,158.07,179.24,124.45,164.52,170.7,140.92,236.8,121.07,164.52,132.48,117.71,191.55,148.49,220.26,164.52,164.2,167.44,,22,965,34,23.82,
04.12.21 15:55:56,14.3,150.72,152.63,34.66,180.56,102.03,231.48,157.75,178.91,122.91,163.23,171.03,139.04,237.86,118.02,163.88,132.79,116.8,190.55,148.18,219.91,165.17,165.17,167.77,,22,965,34,23.84,
04.12.21 15:56:11,14.55,149.76,151.67,34.93,179.57,101.13,231.48,154.87,178.58,121.69,160.97,169.72,136.84,237.15,118.93,160.97,134.35,116.5,193.23,147.54,220.26,166.79,165.5,166.79,,22,965,34,23.82,
04.12.21 15:56:26,14.8,149.13,150.08,34.66,178.58,100.24,232.19,152.63,176.6,121.07,160,169.72,135.91,236.8,121.38,160.65,131.86,115.28,193.23,146.28,219.91,165.82,166.79,166.47,,22,965,34,23.82,
