Measurement Name :,Plate3_20211204_TPC_28C,,Generated On :,"04/12/2021, 17:03:39",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
04.12.21 16:48:53,1.28,146.2,159.86,164.95,140.98,126.12,152.3,102.77,142.35,128.26,176.99,152.02,157.61,130.94,120.53,136.62,142.08,20.35,153.97,156.21,133.37,15.85,128.79,52.55,179.89,,28,965,34,25.15,
04.12.21 16:49:08,1.53,145.65,158.45,164.1,140.44,125.58,152.02,100.71,141.81,126.12,176.12,151.46,156.77,130.94,118.94,135.54,142.08,20.35,153.97,156.21,132.83,15.4,129.6,51.13,180.18,,28,965,34,25.18,
04.12.21 16:49:23,1.78,146.2,157.05,163.53,139.07,124.25,152.02,98.41,140.98,125.85,176.7,151.74,157.33,130.41,118.41,136.08,142.9,20.12,153.97,155.93,132.83,14.96,127.45,50.89,180.18,,28,965,34,25.21,
04.12.21 16:49:38,2.03,145.38,157.89,163.82,139.07,121.59,151.74,98.15,141.53,124.51,176.41,152.02,157.05,130.41,118.68,135,140.71,19.9,153.97,155.93,132.29,15.63,127.45,50.89,180.47,,28,965,34,25.22,
04.12.21 16:49:53,2.28,144.83,154.81,163.25,138.53,122.92,152.3,97.13,139.89,123.72,176.41,152.02,156.21,129.87,117.89,132.83,139.62,20.12,153.41,155.37,132.02,15.18,126.65,50.65,180.47,,28,965,34,25.23,
04.12.21 16:50:08,2.53,144.28,153.13,163.25,137.98,118.41,152.3,95.35,138.8,121.85,176.7,151.46,156.77,129.6,117.1,130.14,139.89,19.9,153.41,155.37,131.21,15.18,125.58,49.94,180.47,,28,965,34,25.25,
04.12.21 16:50:23,2.78,144.28,151.46,163.25,138.25,117.1,152.02,96.37,137.98,120.79,176.7,151.46,156.77,129.6,116.57,129.33,140.71,20.35,153.41,155.65,131.48,15.63,122.92,50.65,180.47,,28,965,34,25.26,
04.12.21 16:50:38,3.03,145.1,151.19,162.68,136.35,115.25,151.74,96.11,136.89,120.26,176.99,152.02,157.05,128.79,115.52,128.26,140.16,21.71,153.41,155.93,130.94,15.18,122.12,50.42,180.47,,28,965,34,25.29,
04.12.21 16:50:53,3.28,145.93,150.35,162.12,136.35,114.47,151.74,93.31,136.62,118.94,175.83,151.19,157.89,128.26,114.73,126.38,140.44,22.39,152.86,157.89,130.41,15.18,121.59,50.18,179.89,,28,965,34,25.29,
04.12.21 16:51:08,3.53,144,149.8,162.12,136.08,115.25,151.74,91.54,136.35,117.62,176.41,151.74,158.17,128.79,114.73,125.85,140.44,22.61,152.3,154.81,130.14,15.4,120.53,49.71,180.18,,28,965,34,25.32,
04.12.21 16:51:23,3.78,142.35,150.08,161.84,136.35,115.78,152.02,90.02,135.81,116.83,176.7,151.19,157.05,128.53,113.68,125.05,139.62,22.16,152.58,154.25,130.14,15.18,119.74,49,180.18,,28,965,34,25.33,
04.12.21 16:51:38,4.03,140.98,149.8,160.99,136.08,115.78,151.46,87.25,134.18,116.04,176.12,151.74,155.09,126.38,113.16,123.72,140.16,21.03,153.13,153.69,130.14,15.4,117.62,48.52,180.47,,28,965,34,25.33,
04.12.21 16:51:53,4.28,139.89,149.24,161.27,136.08,116.04,151.74,88.51,134.45,116.57,176.99,151.46,155.93,126.38,112.89,123.18,139.62,19.45,152.58,153.13,130.14,15.4,117.89,48.05,180.47,,28,965,34,25.36,
04.12.21 16:52:08,4.53,138.53,149.8,160.99,135.27,115.25,152.58,86.25,133.64,116.04,176.41,151.19,155.09,125.85,112.37,121.59,139.89,19.45,152.86,153.41,129.87,15.63,116.04,48.05,180.47,,28,965,34,25.37,
04.12.21 16:52:23,4.78,138.25,148.97,160.71,135.27,116.57,152.3,82.25,133.37,114.47,176.12,151.46,153.97,125.31,111.85,120.26,139.89,19.45,152.58,152.86,130.67,15.63,115.52,46.64,180.18,,28,965,34,25.39,
04.12.21 16:52:38,5.03,136.89,148.69,160.14,134.72,115.78,151.46,81.25,132.83,112.37,175.83,151.19,152.86,123.98,113.94,118.41,139.35,19.67,152.02,152.58,129.87,15.18,113.42,46.17,180.18,,28,965,34,25.4,
04.12.21 16:52:53,5.28,136.35,148.14,160.42,135.27,117.62,151.19,81,132.02,111.07,176.12,150.63,150.63,123.18,113.68,116.83,139.35,19.45,152.3,152.3,129.33,15.63,111.59,45.7,180.47,,28,965,34,25.4,
04.12.21 16:53:08,5.53,135.27,148.14,160.14,135.27,116.83,152.02,82.75,131.48,109.76,176.41,150.63,150.63,122.12,111.07,116.83,139.35,20.12,152.02,152.58,129.6,15.63,111.59,44.99,180.76,,28,965,34,25.41,
04.12.21 16:53:23,5.78,134.45,147.58,160.14,135.81,117.36,151.19,83.25,130.67,108.46,176.41,151.19,150.91,120.79,108.98,115.25,138.25,19.67,152.58,151.74,128.79,15.4,110.54,44.52,180.47,,28,965,34,25.43,
04.12.21 16:53:38,6.03,133.1,147.58,159.58,135.27,117.1,151.46,81.25,129.87,107.42,176.41,150.91,150.08,120,108.46,113.68,138.25,19.45,152.02,151.19,128.26,15.63,107.68,43.82,180.47,,28,965,34,25.44,
04.12.21 16:53:53,6.28,131.75,147.03,159.86,135,116.57,150.91,78.52,129.6,105.09,175.55,150.35,149.24,118.41,106.9,113.94,138.53,19.67,152.02,150.35,128.26,15.85,106.65,43.58,180.18,,28,965,34,25.47,
04.12.21 16:54:08,6.53,130.41,147.31,159.3,134.18,117.1,150.63,78.77,128.79,103.03,175.83,150.35,148.69,116.83,105.61,113.42,137.98,19.22,151.46,150.08,127.72,15.85,104.32,43.35,180.76,,28,965,34,25.47,
04.12.21 16:54:23,6.78,129.33,146.48,159.3,133.64,117.62,151.19,78.52,128.79,101.48,175.26,150.08,148.41,116.57,105.09,112.89,137.71,19.22,151.46,149.52,127.19,15.85,104.58,42.65,180.76,,28,965,34,25.5,
04.12.21 16:54:38,7.03,127.99,146.48,159.58,133.37,117.89,151.46,77.28,128.26,99.43,175.83,150.63,148.41,115.25,104.58,112.89,137.44,20.12,152.02,149.52,126.92,16.3,103.29,44.05,181.05,,28,965,34,25.5,
04.12.21 16:54:53,7.28,127.45,146.75,159.86,133.37,118.41,151.19,77.04,126.92,99.18,175.83,150.08,148.14,114.47,104.06,111.59,137.71,20.12,151.74,148.69,126.65,16.52,100.97,43.58,181.05,,28,965,34,25.51,
04.12.21 16:55:08,7.53,126.12,145.93,159.86,133.1,117.89,150.91,75.55,125.85,97.64,175.83,149.8,147.58,111.33,103.03,111.59,136.35,19.67,151.46,148.69,125.58,15.85,103.29,43.11,181.05,,28,965,34,25.53,
04.12.21 16:55:23,7.78,125.05,145.93,159.58,132.29,117.89,151.19,76.05,125.31,97.9,175.55,150.08,146.48,112.37,102.26,111.07,136.35,19.67,151.46,148.14,124.51,15.85,102.77,41.94,181.35,,28,965,34,25.54,
04.12.21 16:55:38,8.03,123.72,145.93,160.42,132.83,117.1,150.91,75.06,125.85,98.41,175.26,150.35,146.75,109.24,101.74,111.85,136.62,19.67,151.19,147.86,122.92,16.3,99.94,41.71,181.64,,28,965,34,25.55,
04.12.21 16:55:53,8.28,122.92,145.93,160.71,132.02,117.62,150.91,75.55,125.31,97.9,175.55,150.08,147.58,108.72,100.46,111.85,136.89,19.9,150.91,147.03,122.12,16.08,96.88,40.54,181.05,,28,965,34,25.58,
04.12.21 16:56:08,8.53,121.32,145.65,160.99,131.75,115.52,150.63,73.58,126.12,97.9,174.97,149.52,144.83,107.94,99.94,109.76,137.98,19.67,150.63,146.75,121.06,16.52,98.92,39.84,181.05,,28,965,34,25.58,
04.12.21 16:56:23,8.78,119.47,145.38,160.71,131.75,116.04,150.08,73.34,125.58,95.35,174.97,149.24,142.63,107.42,98.92,107.68,135.54,20.12,150.91,146.75,119.47,15.85,99.18,39.15,181.05,,28,965,34,25.61,
04.12.21 16:56:38,9.03,118.15,145.1,161.84,130.94,113.94,150.08,72.36,124.51,92.05,174.68,149.24,141.53,107.16,98.92,105.87,133.64,19.45,150.35,146.2,118.41,16.3,100.97,38.68,181.05,,28,965,34,25.61,
04.12.21 16:56:53,9.28,116.31,144.55,161.55,130.41,113.68,149.8,74.32,124.78,90.28,174.1,148.97,140.16,105.61,97.64,104.58,132.83,19.22,149.8,145.65,117.36,16.08,99.43,38.22,181.05,,28,965,34,25.64,
04.12.21 16:57:08,9.53,115.25,144.83,162.68,130.94,111.59,150.08,72.6,125.05,90.28,174.39,148.97,139.62,106.13,97.39,104.06,132.56,19.9,149.8,145.38,116.83,16.3,100.2,37.75,181.35,,28,965,34,25.65,
04.12.21 16:57:23,9.78,113.68,144.83,162.68,129.87,110.54,149.24,73.09,125.85,88.76,174.1,148.97,138.53,105.61,96.62,103.8,130.94,19.67,149.52,145.1,116.04,16.3,101.74,37.29,181.05,,28,965,34,25.65,
04.12.21 16:57:38,10.03,112.63,144.28,162.97,129.6,109.76,148.69,74.57,125.85,87.76,174.39,148.14,138.25,105.09,95.35,102,130.14,19.45,150.63,144.83,115.25,16.08,100.2,37.29,181.35,,28,965,34,25.68,
04.12.21 16:57:53,10.28,111.59,144,162.97,129.87,108.72,148.14,72.11,125.58,88.01,174.1,147.31,137.44,104.32,95.09,100.97,129.33,19.22,148.69,144.28,114.47,16.08,99.18,36.36,181.64,,28,965,34,25.68,
04.12.21 16:58:08,10.53,111.07,144.28,163.53,127.19,106.65,147.31,72.85,125.31,88.01,173.53,146.48,136.08,101.23,93.57,99.69,127.72,19.67,147.86,142.9,113.68,16.52,100.71,35.9,181.35,,28,965,34,25.71,
04.12.21 16:58:23,10.78,110.02,144.83,163.53,126.92,105.35,147.03,72.85,125.31,87.76,173.53,149.52,135.27,99.69,92.55,97.9,127.19,19.9,147.86,143.18,112.37,16.75,101.74,35.43,181.64,,28,965,34,25.72,
04.12.21 16:58:38,11.03,108.98,144,163.25,126.12,103.8,145.93,68.93,125.31,89.52,173.24,146.48,134.45,98.41,91.29,96.88,125.85,19.67,147.86,142.9,111.33,16.52,99.94,34.74,181.64,,28,965,34,25.72,
04.12.21 16:58:53,11.28,108.46,144.28,163.82,124.51,103.03,146.48,68.2,123.72,87,173.53,142.08,133.91,95.35,90.78,94.07,124.78,19.9,147.58,142.08,110.02,16.3,97.9,34.05,181.93,,28,965,34,25.74,
04.12.21 16:59:09,11.55,107.94,143.73,164.1,124.78,102.77,145.65,67.71,122.92,85.75,172.67,142.08,133.37,92.55,88.26,95.09,123.72,19.45,147.31,141.53,108.46,16.3,98.41,33.59,181.93,,28,965,34,25.74,
04.12.21 16:59:24,11.8,107.16,143.18,163.82,123.98,102.26,145.1,63.34,121.85,84.5,173.24,139.89,133.37,90.02,87.25,93.82,122.65,19.22,146.48,141.53,107.94,16.52,98.66,32.89,181.35,,28,965,34,25.76,
04.12.21 16:59:39,12.05,106.39,143.73,164.1,123.18,102,145.1,62.38,120.53,84.75,172.95,138.25,133.64,87.76,86.5,93.06,121.59,19.9,146.75,140.98,106.9,16.75,96.88,32.43,181.35,,28,965,34,25.78,
04.12.21 16:59:54,12.3,106.65,145.1,164.38,122.39,100.71,144.83,62.38,120.79,83,172.67,139.35,133.37,85.5,86,92.05,123.72,19.67,146.48,140.71,106.9,16.97,94.84,32.43,181.64,,28,965,34,25.79,
04.12.21 17:00:09,12.55,105.35,143.18,164.38,120.53,99.43,144,62.13,120.53,83,172.95,138.8,133.1,83.5,84.25,89.77,122.65,19.9,146.2,140.44,105.35,16.3,96.11,31.74,181.64,,28,965,34,25.8,
04.12.21 17:00:24,12.8,105.09,142.08,164.38,119.21,97.64,142.9,60.69,120.53,81.5,172.09,137.71,132.83,82.25,83,90.53,122.39,19.9,145.65,139.35,103.8,16.52,91.79,31.28,181.64,,28,965,34,25.8,
04.12.21 17:00:39,13.05,104.58,140.16,164.1,118.68,96.62,141.53,60.69,120,80.76,172.67,135.27,132.83,80.01,82,90.28,123.98,19.67,145.1,139.07,103.54,16.52,92.05,31.05,181.64,,28,965,34,25.83,
04.12.21 17:00:54,13.3,104.32,139.07,164.1,117.89,95.6,141.26,59.97,118.41,79.26,172.67,134.45,132.56,77.78,81.5,89.77,122.39,19.67,148.97,138.53,103.03,16.97,92.55,30.6,181.64,,28,965,34,25.82,
04.12.21 17:01:09,13.55,104.06,138.8,164.1,117.1,95.6,140.44,57.33,118.41,77.78,172.67,132.56,132.02,76.79,80.51,87.76,121.06,19.67,144.28,138.25,102,16.52,91.54,30.14,181.93,,28,965,34,25.83,
04.12.21 17:01:25,13.82,103.8,138.8,164.38,116.83,94.58,139.35,57.8,117.1,76.54,172.09,130.41,131.75,75.31,79.26,86.75,120.26,19.9,141.81,137.98,101.48,16.75,91.54,29.91,181.93,,28,965,34,25.86,
04.12.21 17:01:40,14.07,103.03,137.98,164.67,116.04,94.33,136.89,58.04,117.36,74.57,171.52,128.26,131.21,75.8,78.52,85.75,118.68,19.45,141.26,136.89,100.46,16.52,88.26,29.91,181.93,,28,965,34,25.86,
04.12.21 17:01:55,14.32,102.77,137.98,163.82,114.47,93.57,132.83,57.8,118.15,70.64,171.8,126.92,130.94,75.55,77.04,84.75,118.15,19.67,140.16,137.17,98.41,16.08,87.25,28.99,181.64,,28,965,34,25.88,
04.12.21 17:02:10,14.57,101.48,137.44,164.38,114.99,95.6,132.02,57.33,118.15,69.17,171.52,125.05,130.94,75.06,76.54,84.5,117.62,19.9,140.44,136.62,98.15,16.52,85.25,29.45,181.64,,28,965,34,25.9,
04.12.21 17:02:25,14.82,99.94,137.44,164.67,115.25,94.58,130.14,59.97,114.73,67.71,171.8,127.19,130.41,74.82,75.55,84.75,117.1,19.9,139.35,135.81,97.64,16.75,86,28.99,181.93,,28,965,34,25.9,
04.12.21 17:02:40,15.07,99.18,137.44,164.38,115.25,92.81,129.06,57.09,112.89,67.96,171.8,125.05,130.41,75.06,74.57,84.75,116.04,19.9,138.53,135,96.11,16.52,85.5,28.76,182.22,,28,965,34,25.9,
04.12.21 17:02:55,15.32,97.64,136.62,164.1,115.78,90.02,127.72,55.17,110.02,65.52,171.8,124.51,130.14,73.83,74.32,84.5,116.04,20.12,138.53,134.72,94.84,16.97,86,28.99,182.22,,28,965,34,25.93,
