Measurement Name :,Plate5_20211204_TPC_30C,,Generated On :,"04/12/2021, 18:18:21",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
04.12.21 17:59:02,4.55,121.77,73.7,150.78,175.99,128.12,173.78,130.94,166.38,136.36,147.08,164.21,144.18,13.07,155.31,120,141.04,144.97,12.44,144.18,130.68,14.54,102.61,149.72,142.09,,30,965,34,27.33,
04.12.21 17:59:18,4.82,120.76,72.3,153.98,175.44,126.85,173.78,131.2,166.38,136.1,145.5,163.66,143.4,13.07,154.78,117.98,140.26,144.18,12.86,143.4,129.66,14.12,101.38,153.44,141.04,,30,965,34,27.36,
04.12.21 17:59:33,5.07,121.51,74.17,152.38,176.27,127.61,174.33,130.94,166.65,135.84,145.76,163.39,142.35,13.07,154.24,114.73,140.78,143.66,12.86,143.4,128.63,14.54,100.65,150.78,141.04,,30,965,34,27.36,
04.12.21 17:59:48,5.32,118.24,74.63,150.52,176.27,126.85,174.33,130.43,166.38,134.8,145.5,163.39,141.04,13.07,154.24,110,139.74,142.87,12.86,142.09,128.38,14.33,99.19,150.25,138.43,,30,965,34,27.38,
04.12.21 18:00:03,5.57,117.23,69.98,150.25,176.27,125.57,174.33,130.68,166.93,132.74,145.5,163.66,139.74,13.07,153.44,107.03,139.74,142.35,13.07,141.3,127.87,14.12,98.7,150.25,136.36,,30,965,34,27.4,
04.12.21 18:00:18,5.82,116.23,67.9,149.46,176.27,126.34,174.33,130.68,166.93,131.71,144.97,163.66,139.48,13.28,153.44,104.57,139.48,141.82,13.07,139.74,127.1,14.33,98.46,149.72,135.58,,30,965,34,27.43,
04.12.21 18:00:33,6.07,117.23,68.36,149.99,176.82,124.05,175.16,130.17,166.38,129.91,145.23,163.39,138.95,13.28,152.64,100.9,138.95,141.3,13.07,138.95,127.87,14.54,98.46,149.99,134.55,,30,965,34,27.43,
04.12.21 18:00:48,6.32,116.73,67.21,150.52,177.38,123.29,175.16,129.66,166.93,130.94,144.97,163.39,138.17,13.91,151.85,98.7,139.21,141.04,13.28,137.91,127.1,16.65,97.97,150.78,133.51,,30,965,34,27.47,
04.12.21 18:01:03,6.57,119.24,68.36,150.52,177.1,118.74,175.72,128.63,166.93,128.12,143.66,163.66,137.39,13.49,151.31,95.79,139.48,140.52,13.28,136.1,126.08,15.81,97,150.78,133.26,,30,965,34,27.49,
04.12.21 18:01:18,6.82,118.49,67.67,149.46,177.38,116.23,175.16,129.91,166.65,127.61,142.87,163.12,135.84,13.49,150.52,93.62,137.65,140.78,13.28,134.29,125.32,15.6,95.79,150.52,131.97,,30,965,34,27.51,
04.12.21 18:01:33,7.07,116.23,66.75,150.52,177.93,115.48,175.99,128.89,166.65,126.85,142.35,165.56,134.03,13.7,149.99,90.97,136.62,140.52,13.49,133.51,125.06,15.17,95.31,152.91,131.2,,30,965,34,27.53,
04.12.21 18:01:48,7.32,113.23,65.6,149.72,177.66,114.48,176.27,127.87,167.2,126.85,142.87,165.02,136.88,14.12,149.46,89.53,136.88,140.52,13.7,132.23,124.81,14.96,95.31,153.44,130.43,,30,965,34,27.54,
04.12.21 18:02:03,7.57,111.24,65.37,150.52,177.93,112.23,176.27,127.61,166.11,127.36,142.87,163.12,133.51,13.91,149.72,86.43,137.14,140.26,13.49,130.94,124.3,14.96,94.82,151.05,130.17,,30,965,34,27.55,
04.12.21 18:02:18,7.82,109.01,64.91,148.66,178.21,112.23,176.55,127.61,165.84,126.59,142.87,168.02,130.94,14.12,149.72,83.1,137.65,140,13.7,130.17,123.79,15.17,94.34,150.78,129.66,,30,965,34,27.58,
04.12.21 18:02:33,8.07,108.27,63.3,148.66,178.49,110.99,176.55,127.36,163.93,126.08,142.61,162.58,129.14,14.12,147.61,80.03,137.65,139.48,13.49,128.38,123.29,14.96,94.1,149.19,129.4,,30,965,34,27.6,
04.12.21 18:02:48,8.32,104.57,62.16,150.52,178.49,108.76,176.55,126.59,163.66,126.08,142.09,162.58,127.87,14.33,146.55,76.04,137.91,139.74,13.49,126.85,124.81,14.75,93.86,149.19,128.12,,30,965,34,27.63,
04.12.21 18:03:03,8.57,100.65,59.42,149.72,178.77,107.28,176.82,127.36,162.58,124.55,142.09,161.23,125.57,14.12,146.55,72.3,137.65,137.65,13.7,124.55,123.29,15.17,93.13,149.19,129.14,,30,965,34,27.63,
04.12.21 18:03:18,8.82,100.41,60.1,147.87,178.77,107.28,176.82,127.36,161.77,124.05,142.61,161.5,125.06,14.33,145.76,69.75,137.91,136.36,14.12,122.53,124.3,15.17,92.89,148.66,127.87,,30,965,34,27.65,
04.12.21 18:03:33,9.07,100.41,58.74,146.81,178.77,104.08,176.82,124.81,159.88,123.54,141.82,160.69,123.54,14.33,145.5,63.99,137.65,135.32,13.91,117.48,124.3,15.17,92.65,147.87,126.34,,30,965,34,27.65,
04.12.21 18:03:48,9.32,100.16,58.28,146.55,179.6,104.81,177.1,125.32,158.26,123.54,142.87,160.96,123.54,14.33,144.97,59.65,138.17,133.77,14.12,115.23,124.3,15.6,92.41,147.61,125.57,,30,965,34,27.68,
04.12.21 18:04:03,9.57,99.43,56.92,146.55,179.05,102.85,177.38,125.06,157.46,123.29,142.09,160.15,122.78,14.54,144.45,57.83,137.39,132.23,14.12,114.23,124.81,15.39,92.41,147.34,124.55,,30,965,34,27.68,
04.12.21 18:04:18,9.82,97.97,57.38,144.18,179.6,102.36,177.38,124.81,157.19,122.78,141.82,159.07,119.24,14.54,144.45,52.41,136.88,131.45,14.12,110,124.81,15.6,91.45,146.29,122.78,,30,965,34,27.72,
04.12.21 18:04:33,10.07,96.52,54.21,140.78,179.6,100.65,177.66,125.32,155.58,120.5,141.82,159.34,118.24,14.75,143.4,49.05,136.88,130.43,14.12,104.57,125.06,15.6,90.25,145.5,121.51,,30,965,34,27.72,
04.12.21 18:04:48,10.32,95.31,52.41,137.14,180.16,99.19,177.66,125.83,155.58,118.49,141.82,159.34,114.48,14.75,143.4,46.59,137.14,129.91,14.33,100.16,124.81,15.39,88.33,144.71,120.5,,30,965,34,27.74,
04.12.21 18:05:03,10.57,94.1,51.06,136.1,180.16,96.76,177.66,125.06,154.51,118.99,141.82,158.53,111.49,14.75,142.87,43.93,136.88,129.14,14.33,97,125.83,15.81,86.19,144.71,119.24,,30,965,34,27.76,
04.12.21 18:05:18,10.82,92.89,51.06,131.97,179.05,94.82,177.66,125.06,154.51,117.98,141.04,158.53,109.25,14.96,142.35,41.27,136.62,128.89,14.54,93.13,125.57,15.6,87.14,143.13,118.24,,30,965,34,27.78,
04.12.21 18:05:33,11.07,92.17,50.84,133.77,179.88,92.65,178.21,122.78,153.18,117.48,140.78,160.69,107.28,14.96,142.35,38.19,135.58,128.38,14.33,89.77,127.1,16.02,88.81,141.82,116.48,,30,965,34,27.79,
04.12.21 18:05:48,11.32,90.73,49.94,128.12,179.88,90.49,177.93,122.53,153.44,117.23,141.04,156.12,106.29,14.96,141.56,35.35,134.8,127.87,14.33,85.71,125.83,15.81,89.77,139.74,114.73,,30,965,34,27.8,
04.12.21 18:06:03,11.57,90.25,49.72,125.83,181,92.17,178.21,122.78,152.91,117.23,141.04,155.85,106.29,14.54,141.3,35.57,134.03,127.61,14.75,82.86,123.03,16.02,91.45,138.43,113.98,,30,965,34,27.83,
04.12.21 18:06:18,11.82,90.73,49.49,124.05,180.72,94.58,178.49,121.77,152.38,115.98,141.04,155.05,104.32,15.17,141.3,29.91,131.97,127.1,14.54,77.91,121.26,16.02,93.13,137.39,113.48,,30,965,34,27.85,
04.12.21 18:06:33,12.07,90.97,49.05,122.27,180.72,95.06,178.21,120.25,151.58,114.73,140.52,157.19,101.87,14.96,140.26,27.32,130.43,126.08,14.54,72.77,120.25,15.81,94.82,136.36,112.23,,30,965,34,27.88,
04.12.21 18:06:48,12.32,92.17,48.15,120.76,180.44,91.21,178.49,119.75,151.31,113.98,139.21,153.71,102.61,15.17,140,25.17,128.89,126.08,14.54,68.13,118.74,15.81,96.03,135.84,112.23,,30,965,34,27.88,
04.12.21 18:07:03,12.57,92.89,47.93,119.49,180.16,87.14,178.49,118.74,151.58,111.98,137.65,153.18,100.41,15.39,139.48,23.46,127.61,124.81,14.96,62.16,119.49,16.23,96.52,134.8,112.73,,30,965,34,27.9,
04.12.21 18:07:18,12.82,93.38,47.04,118.49,180.44,86.66,178.77,117.98,151.31,110.49,136.36,152.64,98.46,15.6,139.21,22.82,125.83,124.55,14.75,56.7,117.48,16.02,96.52,134.03,110.25,,30,965,34,27.9,
04.12.21 18:07:33,13.07,94.58,46.15,117.48,180.72,85.47,179.05,120.76,151.58,109.01,135.32,152.38,97.97,15.39,138.69,21.32,123.79,124.3,14.96,51.96,117.23,16.23,96.52,132.74,108.76,,30,965,34,27.93,
04.12.21 18:07:48,13.32,94.1,45.04,115.98,181.55,85,179.32,115.73,150.78,109.01,135.32,152.11,97.24,15.6,138.69,20.9,123.54,123.29,15.17,48.38,116.23,16.44,95.79,129.4,106.04,,30,965,34,27.93,
04.12.21 18:08:03,13.57,93.13,45.26,114.48,182.11,84.29,178.77,113.98,150.78,106.29,135.06,151.85,97,15.39,137.91,20.26,121.51,122.53,15.17,45.7,115.23,16.23,95.06,127.87,102.61,,30,965,34,27.94,
04.12.21 18:08:18,13.82,90.97,44.59,112.73,181.83,83.1,179.6,112.98,150.25,105.06,133.51,151.31,95.55,15.81,137.91,20.47,119.24,121.51,15.39,43.48,113.98,16.23,94.82,128.12,102.36,,30,965,34,27.97,
04.12.21 18:08:33,14.07,90.25,43.71,111.74,181.55,82.15,179.6,112.73,149.99,102.61,133.26,150.78,94.82,15.39,137.39,21.75,116.73,121.01,15.17,41.5,112.98,16.44,93.86,125.83,101.14,,30,965,34,27.99,
04.12.21 18:08:48,14.32,89.77,42.38,109.5,182.39,81.44,179.88,110.49,149.19,101.14,133,150.52,93.62,15.81,136.36,19.83,113.98,120.5,15.17,39.95,111.24,16.44,93.86,123.54,100.16,,30,965,34,28,
04.12.21 18:09:03,14.57,89.53,42.16,107.28,182.39,80.97,179.6,109.5,149.19,99.92,132.74,150.25,92.41,15.6,136.62,18.98,113.48,120.5,15.39,37.54,109.75,16.44,93.38,119.75,98.7,,30,965,34,28.01,
04.12.21 18:09:18,14.82,88.57,41.05,104.81,182.39,79.32,179.6,107.03,148.66,98.7,132.23,148.93,90.49,15.6,135.84,18.14,111.98,120.25,15.17,33.39,107.77,16.44,92.89,117.98,95.55,,30,965,34,28.04,
04.12.21 18:09:33,15.07,88.33,43.04,103.1,182.39,78.15,180.16,105.8,148.66,97.73,132.74,149.19,90.49,15.81,135.58,18.14,108.76,120.5,15.39,33.17,106.04,16.65,92.41,116.73,95.06,,30,965,34,28.04,
04.12.21 18:09:48,15.32,87.38,42.82,101.87,182.11,77.44,179.6,102.12,148.93,97,134.29,147.87,90.01,16.02,135.06,17.71,107.28,121.01,15.17,30.78,104.57,16.86,92.41,116.23,94.1,,30,965,34,28.07,
04.12.21 18:10:03,15.57,87.86,39.73,101.87,182.39,76.97,180.16,98.95,149.19,95.31,129.14,147.34,88.57,16.02,134.55,17.5,106.54,121.26,15.6,29.48,104.08,16.44,92.17,118.24,93.13,,30,965,34,28.08,
04.12.21 18:10:18,15.82,88.57,39.07,101.87,182.95,75.57,180.16,97.49,148.66,93.38,127.36,146.81,87.86,16.44,134.03,19.41,105.55,121.77,15.6,29.05,103.59,16.65,92.17,115.23,90.97,,30,965,34,28.08,
04.12.21 18:10:33,16.07,86.66,38.41,102.85,183.51,74.63,179.88,96.52,146.02,92.17,126.59,145.76,89.29,16.02,133.26,17.5,108.02,122.02,15.6,28.19,102.12,16.86,91.45,115.48,89.53,,30,965,34,28.11,
04.12.21 18:10:48,16.32,84.76,38.19,101.63,182.95,74.87,180.16,94.1,144.71,91.93,128.63,144.71,87.14,16.02,132.48,17.08,106.54,122.02,15.39,27.54,100.9,16.44,90.73,115.48,89.05,,30,965,34,28.13,
04.12.21 18:11:03,16.57,84.52,38.63,101.14,183.23,75.1,180.72,95.31,144.18,92.65,125.57,144.97,86.43,16.02,131.97,17.08,101.87,121.77,15.39,26.25,100.65,16.86,89.77,115.48,88.1,,30,965,34,28.14,
04.12.21 18:11:18,16.82,83.57,38.19,101.14,183.23,75.33,180.72,90.01,144.18,93.13,125.32,144.45,84.52,16.02,131.2,18.14,101.38,122.27,15.81,25.6,102.85,16.86,89.05,116.48,86.66,,30,965,34,28.15,
04.12.21 18:11:33,17.07,83.57,38.63,100.9,183.51,74.87,180.44,88.1,143.66,93.13,125.06,143.92,84.05,16.23,131.2,17.08,100.65,121.77,16.02,24.75,100.16,16.86,87.38,115.48,86.9,,30,965,34,28.15,
04.12.21 18:11:48,17.32,82.86,37.1,100.65,183.51,75.1,180.72,83.81,142.87,91.45,124.81,143.13,82.15,16.23,130.43,17.29,99.19,121.26,15.81,23.89,100.16,16.65,86.43,113.48,85,,30,965,34,28.18,
04.12.21 18:12:03,17.57,83.57,36.66,96.52,183.79,75.1,181,81.92,143.13,89.77,124.81,143.13,82.15,16.44,129.14,16.86,99.43,121.01,16.23,23.67,100.41,17.08,85.47,112.48,83.81,,30,965,34,28.18,
04.12.21 18:12:18,17.82,81.21,37.1,97,183.79,74.17,180.72,80.26,142.09,88.81,124.05,141.82,80.26,16.23,126.34,16.65,98.95,120,15.6,23.03,97.73,16.44,84.52,111.74,82.86,,30,965,34,28.19,
04.12.21 18:12:33,18.07,80.5,36.44,93.62,183.51,73.93,180.16,80.26,141.3,87.38,123.54,141.56,79.09,16.23,124.81,16.65,98.95,118.99,15.81,22.39,96.27,16.86,84.05,111.24,81.44,,30,965,34,28.21,
04.12.21 18:12:48,18.32,80.26,36.88,95.06,184.07,73.47,180.72,76.27,141.04,85.24,123.29,141.3,76.74,16.44,124.05,16.02,98.95,117.98,15.81,22.61,96.52,16.86,83.34,110.49,81.44,,30,965,34,28.22,
04.12.21 18:13:03,18.57,79.79,38.19,92.89,184.35,72.77,181,74.17,140.78,83.1,122.78,140,75.8,16.65,123.79,16.65,99.92,117.48,16.02,21.54,94.1,17.08,83.34,110,80.74,,30,965,34,28.24,
04.12.21 18:13:18,18.82,80.03,35.35,87.86,184.64,72.77,181.55,73,139.74,82.86,122.02,138.95,75.1,16.65,122.78,16.86,97.49,116.98,16.23,21.54,90.97,17.29,82.86,108.51,80.26,,30,965,34,28.25,
04.12.21 18:13:33,19.07,79.79,36.22,89.29,184.92,72.3,181.55,71.14,139.74,82.63,122.78,137.65,74.17,16.86,121.01,16.44,97.24,115.23,16.23,20.9,90.73,17.29,82.15,107.52,77.44,,30,965,34,28.28,
04.12.21 18:13:48,19.32,79.09,37.32,88.57,185.2,71.14,181.55,70.21,138.69,81.92,123.03,136.36,73.23,16.44,120,16.65,96.27,114.23,16.02,20.47,89.05,17.29,82.39,105.8,77.44,,30,965,34,28.29,
04.12.21 18:14:03,19.57,77.91,37.54,86.9,184.35,70.91,181.55,68.36,141.56,81.92,123.79,135.06,72.07,16.65,118.49,16.65,94.58,114.73,16.23,20.26,90.25,17.08,82.15,107.03,78.38,,30,965,34,28.29,
04.12.21 18:14:18,19.82,75.57,37.54,85.24,184.92,69.98,181.83,67.44,137.39,80.5,120.5,134.29,71.37,16.86,117.73,16.44,93.13,112.98,16.23,20.26,87.62,17.29,82.15,103.83,75.8,,30,965,34,28.29,
04.12.21 18:14:33,20.07,74.87,37.32,84.52,184.92,68.59,181.83,66.98,136.62,78.85,120.25,133,69.98,16.65,116.73,16.65,91.21,111.98,16.02,21.11,86.19,17.29,82.15,103.1,73.93,,30,965,34,28.33,
04.12.21 18:14:48,20.32,73.93,35.79,85.71,185.48,67.44,182.11,65.83,135.84,78.85,118.99,132.48,69.52,16.86,116.48,16.44,90.73,111.24,16.23,19.83,83.81,17.5,81.44,103.1,71.84,,30,965,34,28.35,
04.12.21 18:15:03,20.57,73.23,34.91,83.81,185.2,66.75,182.39,64.45,135.84,77.44,117.98,130.94,68.13,17.08,115.73,16.65,89.77,110,16.02,19.62,84.05,17.08,80.97,103.59,72.07,,30,965,34,28.35,
04.12.21 18:15:18,20.82,72.77,34.69,80.26,184.92,66.06,182.39,63.76,134.8,76.27,119.24,129.66,67.9,17.29,114.98,16.86,87.86,107.77,16.44,19.41,82.86,17.5,80.26,100.41,69.52,,30,965,34,28.36,
04.12.21 18:15:34,21.08,72.07,34.26,81.68,186.04,64.68,182.39,63.07,134.29,74.87,119.24,127.61,66.98,16.86,113.73,16.65,85.95,106.04,16.44,20.26,82.86,16.86,79.79,99.68,67.67,,30,965,34,28.38,
04.12.21 18:15:49,21.33,71.61,33.6,80.74,185.48,63.76,182.95,63.76,134.55,73.93,118.24,125.83,66.52,17.08,113.48,16.86,84.76,105.31,16.44,18.98,83.34,17.71,79.32,99.68,66.29,,30,965,34,28.4,
04.12.21 18:16:04,21.58,70.91,33.39,79.79,185.76,62.84,182.95,59.88,134.29,72.77,113.73,123.54,66.06,17.29,112.48,16.44,84.05,103.83,16.44,19.62,83.34,17.71,78.62,98.95,65.14,,30,965,34,28.4,
04.12.21 18:16:19,21.83,70.45,32.73,78.62,186.04,64.91,182.95,58.28,133.77,71.84,110.25,122.27,65.83,17.08,112.23,16.86,83.1,102.61,16.65,19.41,83.34,17.71,78.15,98.22,65.14,,30,965,34,28.41,
04.12.21 18:16:34,22.08,69.52,32.3,78.62,186.04,62.62,182.95,57.15,132.48,67.67,108.51,121.01,66.29,16.86,110.99,16.44,81.92,101.38,16.44,19.41,83.34,17.29,77.21,97.24,63.3,,30,965,34,28.43,
04.12.21 18:16:49,22.33,68.82,32.73,77.91,186.04,62.16,183.23,55.79,133,68.59,107.52,119.49,64.22,17.08,110.25,16.86,81.92,100.9,16.86,18.77,83.1,17.92,77.44,98.46,63.53,,30,965,34,28.44,
04.12.21 18:17:04,22.58,68.13,32.3,77.68,186.04,60.1,183.23,55.34,132.23,68.59,103.83,118.24,63.76,17.5,109.01,16.86,80.74,99.92,17.08,18.98,83.1,17.92,76.97,97.73,62.16,,30,965,34,28.46,
04.12.21 18:17:19,22.83,67.21,31.65,74.17,186.32,59.88,183.23,54.66,131.71,67.44,102.36,115.98,63.76,17.29,107.03,16.86,78.38,98.95,16.86,19.83,82.86,18.14,76.27,93.86,61.7,,30,965,34,28.47,
04.12.21 18:17:34,23.08,66.29,32.95,74.63,186.04,60.79,182.95,53.76,131.2,67.67,100.16,114.73,61.93,17.29,105.55,16.86,76.97,97.49,16.65,18.77,82.15,17.71,76.04,93.13,60.1,,30,965,34,28.47,
04.12.21 18:17:49,23.33,65.37,31.65,75.1,186.32,60.33,182.95,52.86,130.68,67.44,98.22,113.48,60.1,17.08,104.57,17.29,76.74,96.76,16.86,19.41,82.15,17.71,75.33,92.41,58.74,,30,965,34,28.5,
