Measurement Name :,Plate1_20211204_TPC,,Generated On :,"04/12/2021, 15:57:11",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
04.12.21 15:44:26,2.8,238.51,206.85,224.16,241.85,204.71,187.09,185.7,215.82,197.97,156.98,186.4,196.56,163.73,231.12,191.29,196.56,243.71,252.34,254.61,186.75,35.52,186.05,201.86,203.29,,20,965,34,22.3,
04.12.21 15:44:41,3.05,238.51,205.06,223.44,241.11,204,186.75,185.01,215.1,197.97,156.31,186.4,195.85,163.73,230.75,189.89,197.26,243.34,252.34,254.61,184.66,35.23,185.7,202.22,202.57,,20,965,34,22.3,
04.12.21 15:44:56,3.3,238.51,204,223.8,241.85,204,185.7,185.35,215.1,197.26,155.98,186.4,195.85,162.38,230.75,189.89,197.62,243.34,251.97,254.23,183.96,34.94,185.01,201.86,202.22,,20,965,34,22.28,
04.12.21 15:45:11,3.55,238.51,203.64,222.71,240.36,202.57,185.35,183.27,213.66,196.56,155.64,186.4,194.45,161.03,230.02,189.54,196.21,242.6,251.21,253.85,182.23,34.94,185.01,201.51,201.51,,20,965,34,22.28,
04.12.21 15:45:26,3.8,237.02,203.64,221.62,241.85,201.86,186.05,183.27,215.46,196.56,156.31,185.35,194.1,160.69,229.65,187.79,196.21,242.22,251.59,253.48,180.84,35.23,183.62,201.86,201.16,,20,965,34,22.27,
04.12.21 15:45:41,4.05,237.02,202.57,222.71,242.22,201.51,185.35,182.58,214.74,195.85,159.68,185.35,193.39,159.68,229.28,186.75,195.15,241.85,251.21,254.23,179.81,34.94,183.27,200.8,200.09,,20,965,34,22.26,
04.12.21 15:45:56,4.3,237.39,200.8,221.98,240.73,201.16,183.27,182.23,214.02,195.15,161.03,185.7,193.39,158.67,228.92,185.7,195.15,241.85,251.59,253.85,178.43,34.36,182.23,200.8,199.74,,20,965,34,22.26,
04.12.21 15:46:11,4.55,237.02,200.45,222.34,240.73,200.09,182.58,182.23,215.1,195.15,156.31,186.05,193.04,157.32,229.28,185.7,195.15,242.22,251.97,253.48,178.43,34.94,181.54,200.45,200.45,,20,965,34,22.25,
04.12.21 15:46:26,4.8,237.39,199.38,221.62,241.85,201.51,180.84,181.54,219.08,194.8,155.98,186.4,193.39,156.65,228.92,184.66,194.1,241.48,251.59,254.23,176.02,35.23,181.88,200.8,200.45,,20,965,34,22.23,
04.12.21 15:46:41,5.05,236.28,198.32,220.89,241.85,199.74,178.43,180.15,216.9,193.74,151.63,186.05,190.59,154.97,228.18,182.92,193.74,241.48,251.59,253.48,174.3,34.65,180.5,199.74,198.68,,20,965,34,22.23,
04.12.21 15:46:56,5.3,236.28,204.71,221.25,239.62,200.09,179.46,180.15,212.94,193.04,149.29,185.7,191.64,154.64,227.82,180.84,193.39,241.11,251.21,253.85,174.99,34.94,179.81,199.38,197.62,,20,965,34,22.23,
04.12.21 15:47:11,5.55,235.54,209.35,220.16,241.85,200.8,181.19,180.84,211.5,193.39,148.96,185.7,190.24,153.63,227.45,181.54,193.04,240.73,250.84,253.48,173.61,35.23,179.46,198.32,197.62,,20,965,34,22.23,
04.12.21 15:47:26,5.8,235.54,204,220.89,239.99,199.03,183.62,180.15,212.58,193.74,148.96,184.66,189.89,151.96,227.82,179.46,192.34,241.11,250.46,253.48,172.24,34.36,179.46,198.68,196.91,,20,965,34,22.21,
04.12.21 15:47:41,6.05,234.8,202.22,220.16,239.99,196.21,183.96,179.46,213.66,192.69,149.29,184.31,190.24,150.96,226.35,178.43,191.64,241.48,251.21,253.1,172.59,34.65,178.43,197.62,196.91,,20,965,34,22.21,
04.12.21 15:47:56,6.3,235.54,204.71,220.53,238.88,194.1,181.54,178.43,213.3,192.34,148.96,184.31,189.19,149.96,227.09,178.43,191.29,241.11,250.84,252.72,169.85,34.65,177.05,197.97,195.85,,20,965,34,22.19,
04.12.21 15:48:11,6.55,234.44,205.42,220.16,240.36,193.39,177.05,179.46,212.58,191.64,149.96,185.01,187.79,149.63,226.72,178.08,191.29,241.48,250.84,253.1,169.17,34.94,176.02,197.62,195.5,,20,965,34,22.19,
04.12.21 15:48:26,6.8,234.44,204.35,219.8,240.36,192.34,174.99,180.5,213.3,190.59,151.63,184.31,187.09,149.63,227.09,180.5,189.89,241.11,250.08,253.1,167.81,34.07,175.67,197.62,194.8,,20,965,34,22.19,
04.12.21 15:48:41,7.05,233.7,199.03,221.25,238.88,191.29,174.3,178.43,210.07,189.89,151.63,185.01,186.75,149.29,226.35,179.81,190.59,240.73,250.46,253.1,167.12,34.36,174.99,196.91,194.45,,20,965,34,22.16,
04.12.21 15:48:56,7.3,234.8,194.45,223.44,239.25,189.89,173.27,179.81,208.63,190.59,151.96,183.62,186.75,148.96,225.99,178.43,189.54,241.48,250.84,252.34,166.44,34.94,174.3,196.91,194.45,,20,965,34,22.16,
04.12.21 15:49:11,7.55,234.44,191.64,223.44,239.25,187.79,172.93,177.74,205.78,189.19,150.29,182.58,185.7,148.63,225.26,176.02,189.19,241.48,250.84,253.1,165.77,34.65,174.64,196.91,193.39,,20,965,34,22.16,
04.12.21 15:49:26,7.8,234.07,189.19,221.98,240.36,182.58,170.88,176.02,203.64,188.49,148.63,182.58,185.7,148.63,225.26,174.99,188.84,240.36,250.46,253.48,166.44,34.94,172.93,196.21,193.39,,20,965,34,22.16,
04.12.21 15:49:41,8.05,234.07,187.44,218.71,240.73,182.92,173.61,174.99,202.57,188.49,146.3,180.84,183.62,148.3,224.53,174.64,188.49,239.25,250.08,253.1,166.11,34.65,172.59,195.85,192.34,,20,965,34,22.16,
04.12.21 15:49:56,8.3,232.96,186.05,216.9,241.48,180.15,174.99,174.99,203.64,188.14,144.65,180.5,183.96,148.3,225.62,173.27,188.14,238.88,250.08,252.72,167.12,34.36,171.9,195.85,191.99,,20,965,34,22.14,
04.12.21 15:50:11,8.55,232.96,186.75,217.27,240.36,180.15,174.64,174.64,202.93,186.4,143.99,179.81,183.96,147.96,225.26,172.93,187.79,238.51,250.46,252.34,166.44,34.07,171.9,196.21,191.64,,20,965,34,22.12,
04.12.21 15:50:26,8.8,233.7,186.05,216.18,237.39,176.7,174.3,172.93,204.35,185.35,142.99,178.77,182.92,147.96,224.16,171.9,187.09,238.13,250.08,252.72,165.09,34.07,171.56,195.85,191.29,,20,965,34,22.12,
04.12.21 15:50:41,9.05,232.59,186.75,215.46,239.62,176.02,172.59,174.64,204,183.62,142.99,177.74,182.92,147.3,224.89,171.56,186.4,237.39,250.46,252.72,160.01,34.36,171.22,195.15,190.59,,20,965,34,22.12,
04.12.21 15:50:56,9.3,232.59,189.19,215.1,239.62,175.33,170.88,173.27,204.35,185.01,142.66,177.05,181.54,146.3,224.16,170.53,187.44,236.65,250.46,251.97,157.66,34.07,170.53,195.5,190.59,,20,965,34,22.1,
04.12.21 15:51:11,9.55,233.33,192.34,215.82,238.88,175.67,167.12,171.9,203.64,182.58,142.99,175.67,180.84,145.64,224.53,170.88,185.35,237.39,250.08,252.72,154.97,34.36,170.88,194.45,190.59,,20,965,34,22.12,
04.12.21 15:51:26,9.8,231.49,194.1,215.1,239.62,173.96,169.17,172.24,203.29,180.84,142.33,174.3,180.5,145.31,224.16,169.17,183.96,237.02,249.71,252.34,152.96,33.79,170.19,193.74,188.49,,20,965,34,22.1,
04.12.21 15:51:41,10.05,231.86,193.04,214.74,238.51,172.59,173.27,171.9,204.35,179.12,142.33,173.61,180.15,144.32,223.07,170.53,181.88,236.65,249.71,251.21,151.29,33.5,169.17,192.69,188.49,,20,965,34,22.09,
04.12.21 15:51:56,10.3,231.86,193.74,214.74,238.51,171.56,173.61,172.24,204.35,177.74,142,171.56,179.12,144.98,223.07,169.85,182.92,236.65,250.08,252.34,149.96,34.36,168.83,191.29,188.49,,20,965,34,22.09,
04.12.21 15:52:11,10.55,230.75,193.04,214.38,239.99,169.85,171.9,173.27,204.35,175.33,142,170.19,178.77,144.65,223.8,168.83,182.23,237.02,249.71,252.34,149.96,33.5,168.15,190.24,187.79,,20,965,34,22.09,
04.12.21 15:52:26,10.8,231.86,192.69,212.22,235.54,167.81,170.53,172.59,204,174.3,142.66,169.85,178.08,142.99,223.07,168.83,180.15,236.65,249.33,251.21,148.96,34.07,167.47,188.84,187.44,,20,965,34,22.07,
04.12.21 15:52:41,11.05,231.12,191.29,211.86,237.76,166.78,169.51,170.19,205.78,173.96,142,168.83,178.43,143.32,223.8,169.17,180.84,236.28,249.71,251.97,149.96,34.07,167.47,188.49,187.44,,20,965,34,22.05,
04.12.21 15:52:56,11.3,230.39,185.35,209.35,238.88,165.43,168.15,167.12,204.71,172.59,146.3,168.15,177.05,142,221.98,166.44,179.81,236.65,248.96,251.97,149.63,34.07,166.44,186.05,186.4,,20,965,34,22.05,
04.12.21 15:53:11,11.55,230.75,183.62,208.28,235.91,165.43,166.78,165.77,205.06,171.9,145.97,167.12,176.7,142.66,222.71,165.77,180.15,237.02,249.33,252.34,147.3,34.07,166.44,190.94,187.09,,20,965,34,22.05,
04.12.21 15:53:26,11.8,230.75,178.43,207.56,237.76,163.73,167.81,162.04,204.71,171.22,142.33,166.11,175.67,141.67,222.34,164.41,179.12,235.91,248.96,251.21,146.97,33.79,165.77,189.19,187.79,,20,965,34,22.05,
04.12.21 15:53:41,12.05,231.12,177.05,206.49,235.91,163.39,166.78,161.7,204.71,170.19,139.7,165.43,175.33,140.69,222.71,165.43,179.46,236.28,249.33,251.21,146.97,34.07,165.77,187.44,188.49,,20,965,34,22.03,
04.12.21 15:53:56,12.3,230.02,175.67,203.64,237.39,162.71,166.78,160.69,205.06,169.51,138.71,164.07,175.67,140.03,221.98,164.07,178.43,236.28,249.71,251.21,145.64,34.07,165.09,188.49,187.09,,20,965,34,22.01,
04.12.21 15:54:11,12.55,229.65,173.61,203.64,237.02,162.38,166.78,159.68,206.13,169.51,137.73,163.39,173.96,139.7,221.62,164.75,177.74,235.91,248.96,251.97,144.65,33.21,163.39,186.4,186.4,,20,965,34,22.03,
04.12.21 15:54:26,12.8,229.65,174.64,201.16,237.02,162.38,165.77,160.01,204.71,168.15,136.74,163.39,174.3,139.37,221.62,164.41,176.7,235.17,248.58,251.21,142.33,33.79,163.73,185.35,186.4,,20,965,34,22.02,
04.12.21 15:54:41,13.05,229.65,175.33,201.51,237.39,163.05,167.47,159.34,205.42,167.47,137.07,163.05,174.64,138.06,221.62,163.39,177.39,235.54,248.96,251.97,141.34,33.79,164.41,186.05,186.4,,20,965,34,22.01,
04.12.21 15:54:56,13.3,229.28,173.27,199.03,238.88,162.38,166.11,159.34,205.78,166.11,135.43,162.38,173.27,137.07,221.62,162.71,176.7,234.44,248.96,251.97,139.37,33.79,162.71,185.35,185.35,,20,965,34,22.01,
04.12.21 15:55:11,13.55,227.09,169.17,196.91,236.65,158.33,165.77,157.66,205.06,163.39,133.15,161.7,171.22,134.78,218.71,162.04,174.64,230.02,246.33,248.58,136.42,30.91,159.68,182.92,183.96,,20,965,34,22.01,
04.12.21 15:55:26,13.8,229.28,171.22,195.85,237.02,161.7,169.17,159,205.42,163.73,135.43,162.38,173.61,136.09,221.62,163.73,176.02,230.02,249.33,252.34,136.74,34.07,162.04,183.27,185.01,,20,965,34,22,
04.12.21 15:55:41,14.05,228.55,170.19,196.21,237.02,161.03,169.85,158.67,204,162.71,133.8,160.35,172.24,134.45,220.53,163.73,176.36,228.55,248.21,250.84,134.78,33.5,162.38,182.58,184.31,,20,965,34,21.98,
04.12.21 15:55:56,14.3,228.92,169.85,195.15,238.13,159.68,169.85,157.32,205.06,162.04,134.45,160.01,170.19,134.13,220.89,161.7,178.43,226.35,248.96,250.46,133.8,33.79,161.7,181.19,183.27,,20,965,34,21.98,
04.12.21 15:56:11,14.55,228.92,170.53,193.74,235.54,161.03,167.47,155.98,204.35,161.36,135.11,158.33,170.53,133.8,219.8,160.01,179.46,225.99,248.58,250.46,132.49,33.79,161.36,181.19,182.58,,20,965,34,21.98,
04.12.21 15:56:26,14.8,227.82,168.83,193.04,237.39,160.01,168.15,155.64,204,159.68,135.43,156.98,168.83,133.15,220.16,157.99,178.43,225.62,248.96,250.08,131.52,33.5,161.36,180.15,182.58,,20,965,34,21.98,
