Date,Run,Plate,Temperature,Ptime,Rtime
20211205,1,641,27,17,25
20211205,2,710,31,17,25
20211206,3,641,27,16,23
20211206,4,710,31,16,23
20211206,5,641,27,15,22
20211206,6,710,31,15,22
20211207,7,641,27,16,22
20211207,8,710,34,16,22
20211207,9,641,27,16,22
20211207,A,710,34,16,22
