Temperature,Cross,N,Mean_R,SE_R,Mean_P,SE_P,Mean_GP,SE_GP,Mean_PR,SE_PR
27,204x222,5,-0.008572727949831696,0.003275837620072272,0.0010672680644032634,0.0023906163809986718,0.009639996014234958,0.00524163302680567,1.228157627121806,0.16368062956528628
27,210x4,6,-0.011520367490462782,0.005280137059687817,-6.800506789392034e-4,0.003241303711826253,0.01084031681152359,0.0045973015055008224,1.2408402290715561,0.5015708960116638
27,222x204,3,-0.0181020364531844,0.002535842569316316,-6.839196537011565e-4,0.004100841221952546,0.017418116799483255,0.006621263410260762,0.8840298208532906,0.2819928874860799
27,222x210,8,-0.009908198972144466,0.0019978021842823046,0.004835647233224381,0.0017892441751667738,0.01474384620536886,0.0031441172190110884,1.5183013867183197,0.21423290562300656
27,222x4,5,-0.00732705563159547,0.003174022785299185,-0.004555455292849974,0.0037984821666136883,0.002771600338745494,0.0023373323051649577,0.8595174133092234,0.35039858892094616
27,4x210,5,-0.010446284177851551,0.002134343259425547,-0.002918875264688814,0.0031028975801742956,0.007527408913162774,0.0021893298417805206,0.9110413764185132,0.2885957988017185
30,204x222,5,-0.012545880920892078,0.0035639926328925207,-0.003972175623161481,0.002552481681204523,0.008573705297730562,0.0037029588124465477,0.8440233474606513,0.17074289226129669
30,210x4,6,-0.010911871876823099,0.0026677479166727918,-0.0063342202267058926,0.004201686836382168,0.004577651650117196,0.0039314498441733224,0.9704572162426821,0.4237998666509123
30,222x204,3,-0.0220410181056397,0.0039050065901604885,0.002512344546755973,0.005648913967046611,0.024553362652395667,0.008268475258707036,1.0706903900737077,0.22328274749112076
30,222x210,8,-0.01787388678617107,0.0038557308239535893,-0.005626824498732879,0.0030309183082627943,0.01224706228743818,0.003519011872661406,0.7510548898571459,0.15101189263890205
30,222x4,4,-0.010975793469385216,0.003305914981770414,-0.005573485014117775,8.947569401629489e-4,0.0054023084552674286,0.0024914725956633214,0.44634603722313987,0.09687473692880244
30,4x210,5,-0.01683917517153979,0.004703227679925772,-0.01236641192843257,0.007495631608038002,0.00447276324310723,0.0067187006551306955,0.9281056101268964,0.18212880155285666
