"Plot Title: 20987159"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20987159, SEN S/N: 20987159)","Coupler Detached (LGR S/N: 20987159)","Coupler Attached (LGR S/N: 20987159)","Host Connected (LGR S/N: 20987159)","Stopped (LGR S/N: 20987159)","End Of File (LGR S/N: 20987159)"
1,06/11/21 03:00:00 PM,35.022,Logged,,,,
2,06/11/21 03:10:00 PM,36.960,,,,,
3,06/11/21 03:20:00 PM,39.205,,,,,
4,06/11/21 03:30:00 PM,37.288,,,,,
5,06/11/21 03:40:00 PM,29.941,,,,,
6,06/11/21 03:50:00 PM,28.667,,,,,
7,06/11/21 04:00:00 PM,28.444,,,,,
8,06/11/21 04:10:00 PM,28.444,,,,,
9,06/11/21 04:20:00 PM,28.097,,,,,
10,06/11/21 04:30:00 PM,28.369,,,,,
11,06/11/21 04:40:00 PM,28.270,,,,,
12,06/11/21 04:50:00 PM,28.122,,,,,
13,06/11/21 05:00:00 PM,28.345,,,,,
14,06/11/21 05:10:00 PM,27.727,,,,,
15,06/11/21 05:20:00 PM,27.481,,,,,
16,06/11/21 05:30:00 PM,27.456,,,,,
17,06/11/21 05:40:00 PM,27.210,,,,,
18,06/11/21 05:50:00 PM,27.063,,,,,
19,06/11/21 06:00:00 PM,27.038,,,,,
20,06/11/21 06:10:00 PM,26.965,,,,,
21,06/11/21 06:20:00 PM,26.916,,,,,
22,06/11/21 06:30:00 PM,26.891,,,,,
23,06/11/21 06:40:00 PM,26.818,,,,,
24,06/11/21 06:50:00 PM,26.769,,,,,
25,06/11/21 07:00:00 PM,26.671,,,,,
26,06/11/21 07:10:00 PM,26.671,,,,,
27,06/11/21 07:20:00 PM,26.451,,,,,
28,06/11/21 07:30:00 PM,26.426,,,,,
29,06/11/21 07:40:00 PM,26.378,,,,,
30,06/11/21 07:50:00 PM,26.353,,,,,
31,06/11/21 08:00:00 PM,26.329,,,,,
32,06/11/21 08:10:00 PM,26.304,,,,,
33,06/11/21 08:20:00 PM,26.280,,,,,
34,06/11/21 08:30:00 PM,26.256,,,,,
